timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/03/17 10:35:21.565, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.36 W
2026/03/17 10:35:22.566, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.96 W
2026/03/17 10:35:23.566, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.48 W
2026/03/17 10:35:24.567, 95 %, 42 %, 18710 MiB, 24564 MiB, 156.73 W
2026/03/17 10:35:25.567, 95 %, 42 %, 18710 MiB, 24564 MiB, 430.58 W
2026/03/17 10:35:26.567, 95 %, 42 %, 18720 MiB, 24564 MiB, 434.04 W
2026/03/17 10:35:27.568, 95 %, 40 %, 18728 MiB, 24564 MiB, 406.85 W
2026/03/17 10:35:28.568, 95 %, 40 %, 18738 MiB, 24564 MiB, 431.22 W
2026/03/17 10:35:29.568, 95 %, 39 %, 18746 MiB, 24564 MiB, 429.26 W
2026/03/17 10:35:30.569, 90 %, 37 %, 18772 MiB, 24564 MiB, 425.89 W
2026/03/17 10:35:31.569, 0 %, 0 %, 18772 MiB, 24564 MiB, 212.69 W
2026/03/17 10:35:32.569, 0 %, 0 %, 18772 MiB, 24564 MiB, 115.49 W
2026/03/17 10:35:33.570, 0 %, 0 %, 18772 MiB, 24564 MiB, 59.36 W
2026/03/17 10:35:34.570, 0 %, 0 %, 18772 MiB, 24564 MiB, 125.69 W
2026/03/17 10:35:35.570, 0 %, 0 %, 18772 MiB, 24564 MiB, 109.04 W
2026/03/17 10:35:36.571, 19 %, 5 %, 18772 MiB, 24564 MiB, 61.36 W
2026/03/17 10:35:37.571, 0 %, 0 %, 18772 MiB, 24564 MiB, 225.29 W
2026/03/17 10:35:38.571, 0 %, 0 %, 18772 MiB, 24564 MiB, 114.96 W
2026/03/17 10:35:39.572, 0 %, 0 %, 18772 MiB, 24564 MiB, 65.46 W
2026/03/17 10:35:40.572, 95 %, 93 %, 18776 MiB, 24564 MiB, 199.44 W
2026/03/17 10:35:41.572, 0 %, 0 %, 18776 MiB, 24564 MiB, 242.13 W
2026/03/17 10:35:42.573, 0 %, 0 %, 18776 MiB, 24564 MiB, 117.07 W
2026/03/17 10:35:43.573, 0 %, 0 %, 18776 MiB, 24564 MiB, 66.71 W
2026/03/17 10:35:44.573, 41 %, 13 %, 18776 MiB, 24564 MiB, 64.22 W
2026/03/17 10:35:45.596, 95 %, 40 %, 18776 MiB, 24564 MiB, 398.22 W
2026/03/17 10:35:46.596, 94 %, 39 %, 18776 MiB, 24564 MiB, 429.02 W
2026/03/17 10:35:47.597, 94 %, 94 %, 18776 MiB, 24564 MiB, 360.54 W
2026/03/17 10:35:48.597, 67 %, 67 %, 18776 MiB, 24564 MiB, 328.47 W
2026/03/17 10:35:49.597, 5 %, 0 %, 18776 MiB, 24564 MiB, 84.82 W
2026/03/17 10:35:50.598, 94 %, 93 %, 18776 MiB, 24564 MiB, 312.23 W
2026/03/17 10:35:51.598, 0 %, 0 %, 18776 MiB, 24564 MiB, 94.06 W
2026/03/17 10:35:52.598, 0 %, 0 %, 18776 MiB, 24564 MiB, 64.57 W
2026/03/17 10:35:53.599, 75 %, 54 %, 18778 MiB, 24564 MiB, 103.37 W
2026/03/17 10:35:54.599, 0 %, 0 %, 18778 MiB, 24564 MiB, 227.88 W
2026/03/17 10:35:55.599, 94 %, 93 %, 18778 MiB, 24564 MiB, 193.68 W
2026/03/17 10:35:56.599, 0 %, 0 %, 18778 MiB, 24564 MiB, 263.98 W
2026/03/17 10:35:57.600, 92 %, 72 %, 18778 MiB, 24564 MiB, 149.95 W
2026/03/17 10:35:58.600, 94 %, 93 %, 18778 MiB, 24564 MiB, 330.18 W
2026/03/17 10:35:59.600, 0 %, 0 %, 18778 MiB, 24564 MiB, 105.54 W
2026/03/17 10:36:00.600, 95 %, 94 %, 18778 MiB, 24564 MiB, 298.19 W
2026/03/17 10:36:01.601, 43 %, 42 %, 18778 MiB, 24564 MiB, 290.35 W
2026/03/17 10:36:02.601, 0 %, 0 %, 18778 MiB, 24564 MiB, 117.00 W
2026/03/17 10:36:03.604, 0 %, 0 %, 18778 MiB, 24564 MiB, 67.50 W
2026/03/17 10:36:04.604, 0 %, 0 %, 18778 MiB, 24564 MiB, 59.99 W
2026/03/17 10:36:05.605, 95 %, 94 %, 18778 MiB, 24564 MiB, 197.29 W
2026/03/17 10:36:06.605, 16 %, 16 %, 18778 MiB, 24564 MiB, 280.36 W
2026/03/17 10:36:07.605, 0 %, 0 %, 18778 MiB, 24564 MiB, 103.44 W
2026/03/17 10:36:08.606, 0 %, 0 %, 18780 MiB, 24564 MiB, 61.49 W
2026/03/17 10:36:09.606, 94 %, 94 %, 18780 MiB, 24564 MiB, 328.30 W
2026/03/17 10:36:10.606, 0 %, 0 %, 18780 MiB, 24564 MiB, 107.63 W
2026/03/17 10:36:11.607, 0 %, 0 %, 18780 MiB, 24564 MiB, 64.59 W
2026/03/17 10:36:12.607, 84 %, 33 %, 18780 MiB, 24564 MiB, 130.43 W
2026/03/17 10:36:13.607, 94 %, 38 %, 18780 MiB, 24564 MiB, 420.71 W
2026/03/17 10:36:14.608, 94 %, 38 %, 18780 MiB, 24564 MiB, 425.97 W
