timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/03/09 06:49:30.763, 0 %, 0 %, 18806 MiB, 24564 MiB, 4.85 W
2026/03/09 06:49:31.764, 0 %, 0 %, 18806 MiB, 24564 MiB, 4.73 W
2026/03/09 06:49:32.764, 0 %, 0 %, 18806 MiB, 24564 MiB, 4.76 W
2026/03/09 06:49:33.765, 0 %, 0 %, 18806 MiB, 24564 MiB, 4.71 W
2026/03/09 06:49:34.765, 0 %, 0 %, 18806 MiB, 24564 MiB, 4.62 W
2026/03/09 06:49:35.765, 0 %, 0 %, 18806 MiB, 24564 MiB, 4.73 W
2026/03/09 06:49:36.767, 0 %, 0 %, 18806 MiB, 24564 MiB, 4.73 W
2026/03/09 06:49:37.767, 0 %, 0 %, 18806 MiB, 24564 MiB, 4.72 W
2026/03/09 06:49:38.768, 0 %, 0 %, 18806 MiB, 24564 MiB, 4.71 W
2026/03/09 06:49:39.768, 0 %, 0 %, 18806 MiB, 24564 MiB, 4.62 W
2026/03/09 06:49:40.768, 0 %, 0 %, 18806 MiB, 24564 MiB, 4.62 W
2026/03/09 06:49:41.769, 0 %, 0 %, 18806 MiB, 24564 MiB, 4.57 W
2026/03/09 06:49:42.769, 0 %, 0 %, 18806 MiB, 24564 MiB, 4.49 W
2026/03/09 06:49:43.769, 0 %, 0 %, 18806 MiB, 24564 MiB, 4.42 W
2026/03/09 06:49:44.770, 92 %, 74 %, 18806 MiB, 24564 MiB, 168.16 W
2026/03/09 06:49:45.770, 95 %, 97 %, 18806 MiB, 24564 MiB, 331.80 W
2026/03/09 06:49:46.771, 95 %, 97 %, 18806 MiB, 24564 MiB, 333.20 W
2026/03/09 06:49:47.771, 94 %, 96 %, 18806 MiB, 24564 MiB, 334.21 W
2026/03/09 06:49:48.771, 93 %, 95 %, 18806 MiB, 24564 MiB, 334.20 W
2026/03/09 06:49:49.772, 94 %, 96 %, 18806 MiB, 24564 MiB, 334.29 W
2026/03/09 06:49:50.772, 94 %, 96 %, 18806 MiB, 24564 MiB, 337.32 W
2026/03/09 06:49:51.772, 94 %, 96 %, 18806 MiB, 24564 MiB, 336.15 W
2026/03/09 06:49:52.773, 94 %, 96 %, 18806 MiB, 24564 MiB, 333.11 W
2026/03/09 06:49:53.773, 95 %, 96 %, 18806 MiB, 24564 MiB, 333.60 W
2026/03/09 06:49:54.773, 95 %, 97 %, 18806 MiB, 24564 MiB, 334.15 W
2026/03/09 06:49:55.774, 94 %, 96 %, 18806 MiB, 24564 MiB, 331.76 W
2026/03/09 06:49:56.774, 95 %, 96 %, 18806 MiB, 24564 MiB, 334.83 W
2026/03/09 06:49:57.774, 94 %, 96 %, 18806 MiB, 24564 MiB, 335.26 W
2026/03/09 06:49:58.775, 94 %, 96 %, 18806 MiB, 24564 MiB, 335.80 W
2026/03/09 06:49:59.775, 94 %, 96 %, 18806 MiB, 24564 MiB, 336.07 W
2026/03/09 06:50:00.775, 95 %, 96 %, 18806 MiB, 24564 MiB, 336.21 W
2026/03/09 06:50:01.776, 94 %, 96 %, 18806 MiB, 24564 MiB, 334.71 W
2026/03/09 06:50:02.776, 95 %, 97 %, 18806 MiB, 24564 MiB, 338.08 W
2026/03/09 06:50:03.776, 95 %, 96 %, 18806 MiB, 24564 MiB, 338.25 W
2026/03/09 06:50:04.777, 94 %, 96 %, 18806 MiB, 24564 MiB, 338.43 W
2026/03/09 06:50:05.777, 94 %, 96 %, 18806 MiB, 24564 MiB, 339.10 W
2026/03/09 06:50:06.777, 95 %, 97 %, 18806 MiB, 24564 MiB, 339.64 W
2026/03/09 06:50:07.778, 94 %, 96 %, 18806 MiB, 24564 MiB, 337.59 W
2026/03/09 06:50:08.778, 74 %, 75 %, 18806 MiB, 24564 MiB, 332.84 W
2026/03/09 06:50:09.778, 0 %, 0 %, 18806 MiB, 24564 MiB, 109.27 W
2026/03/09 06:50:10.779, 95 %, 97 %, 18806 MiB, 24564 MiB, 257.85 W
2026/03/09 06:50:11.779, 95 %, 97 %, 18806 MiB, 24564 MiB, 343.12 W
2026/03/09 06:50:12.779, 94 %, 96 %, 18806 MiB, 24564 MiB, 343.53 W
2026/03/09 06:50:13.780, 94 %, 96 %, 18806 MiB, 24564 MiB, 343.96 W
2026/03/09 06:50:14.780, 94 %, 96 %, 18806 MiB, 24564 MiB, 344.25 W
2026/03/09 06:50:15.780, 93 %, 95 %, 18806 MiB, 24564 MiB, 342.34 W
2026/03/09 06:50:16.781, 94 %, 96 %, 18806 MiB, 24564 MiB, 345.39 W
2026/03/09 06:50:17.781, 94 %, 96 %, 18806 MiB, 24564 MiB, 345.46 W
2026/03/09 06:50:18.781, 94 %, 96 %, 18806 MiB, 24564 MiB, 345.86 W
2026/03/09 06:50:19.782, 94 %, 96 %, 18806 MiB, 24564 MiB, 346.15 W
2026/03/09 06:50:20.782, 94 %, 96 %, 18806 MiB, 24564 MiB, 346.06 W
