timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/03/09 07:01:13.423, 0 %, 0 %, 22356 MiB, 24564 MiB, 5.12 W
2026/03/09 07:01:14.424, 0 %, 0 %, 22356 MiB, 24564 MiB, 5.09 W
2026/03/09 07:01:15.424, 0 %, 0 %, 22356 MiB, 24564 MiB, 4.98 W
2026/03/09 07:01:16.425, 0 %, 0 %, 22356 MiB, 24564 MiB, 4.89 W
2026/03/09 07:01:17.425, 0 %, 0 %, 22356 MiB, 24564 MiB, 4.81 W
2026/03/09 07:01:18.425, 0 %, 0 %, 22356 MiB, 24564 MiB, 4.82 W
2026/03/09 07:01:19.426, 0 %, 0 %, 22356 MiB, 24564 MiB, 5.05 W
2026/03/09 07:01:20.426, 0 %, 0 %, 22356 MiB, 24564 MiB, 5.12 W
2026/03/09 07:01:21.426, 0 %, 0 %, 22356 MiB, 24564 MiB, 5.03 W
2026/03/09 07:01:22.427, 0 %, 0 %, 22356 MiB, 24564 MiB, 5.00 W
2026/03/09 07:01:23.427, 0 %, 0 %, 22356 MiB, 24564 MiB, 4.94 W
2026/03/09 07:01:24.427, 0 %, 0 %, 22356 MiB, 24564 MiB, 4.94 W
2026/03/09 07:01:25.428, 0 %, 0 %, 22356 MiB, 24564 MiB, 4.98 W
2026/03/09 07:01:26.428, 0 %, 0 %, 22356 MiB, 24564 MiB, 4.86 W
2026/03/09 07:01:27.428, 0 %, 0 %, 22356 MiB, 24564 MiB, 4.98 W
2026/03/09 07:01:28.429, 77 %, 50 %, 22358 MiB, 24564 MiB, 204.56 W
2026/03/09 07:01:29.429, 78 %, 51 %, 22358 MiB, 24564 MiB, 211.30 W
2026/03/09 07:01:30.430, 82 %, 53 %, 22358 MiB, 24564 MiB, 213.22 W
2026/03/09 07:01:31.430, 80 %, 52 %, 22358 MiB, 24564 MiB, 211.55 W
2026/03/09 07:01:32.430, 82 %, 53 %, 22358 MiB, 24564 MiB, 212.98 W
2026/03/09 07:01:33.431, 82 %, 53 %, 22358 MiB, 24564 MiB, 213.75 W
2026/03/09 07:01:34.431, 78 %, 51 %, 22358 MiB, 24564 MiB, 214.93 W
2026/03/09 07:01:35.431, 0 %, 0 %, 22358 MiB, 24564 MiB, 100.35 W
2026/03/09 07:01:36.432, 81 %, 53 %, 22358 MiB, 24564 MiB, 152.44 W
2026/03/09 07:01:37.432, 78 %, 51 %, 22358 MiB, 24564 MiB, 212.81 W
2026/03/09 07:01:38.432, 82 %, 53 %, 22358 MiB, 24564 MiB, 215.46 W
2026/03/09 07:01:39.433, 82 %, 53 %, 22358 MiB, 24564 MiB, 215.05 W
2026/03/09 07:01:40.433, 82 %, 53 %, 22358 MiB, 24564 MiB, 216.54 W
2026/03/09 07:01:41.433, 78 %, 51 %, 22358 MiB, 24564 MiB, 215.56 W
2026/03/09 07:01:42.434, 82 %, 53 %, 22358 MiB, 24564 MiB, 217.39 W
2026/03/09 07:01:43.434, 29 %, 19 %, 22358 MiB, 24564 MiB, 185.10 W
2026/03/09 07:01:44.434, 0 %, 0 %, 22358 MiB, 24564 MiB, 90.53 W
2026/03/09 07:01:45.468, 82 %, 53 %, 22358 MiB, 24564 MiB, 183.28 W
2026/03/09 07:01:46.469, 0 %, 0 %, 22358 MiB, 24564 MiB, 172.29 W
2026/03/09 07:01:47.470, 44 %, 19 %, 22358 MiB, 24564 MiB, 94.77 W
2026/03/09 07:01:48.470, 82 %, 53 %, 22358 MiB, 24564 MiB, 223.00 W
2026/03/09 07:01:49.470, 0 %, 0 %, 22358 MiB, 24564 MiB, 135.48 W
2026/03/09 07:01:50.471, 84 %, 47 %, 22358 MiB, 24564 MiB, 129.34 W
2026/03/09 07:01:51.471, 82 %, 53 %, 22358 MiB, 24564 MiB, 211.74 W
2026/03/09 07:01:52.471, 82 %, 53 %, 22358 MiB, 24564 MiB, 215.67 W
2026/03/09 07:01:53.472, 0 %, 0 %, 22358 MiB, 24564 MiB, 126.22 W
2026/03/09 07:01:54.472, 82 %, 53 %, 22358 MiB, 24564 MiB, 142.50 W
2026/03/09 07:01:55.473, 82 %, 53 %, 22358 MiB, 24564 MiB, 214.58 W
2026/03/09 07:01:56.473, 82 %, 53 %, 22358 MiB, 24564 MiB, 216.10 W
2026/03/09 07:01:57.473, 0 %, 0 %, 22358 MiB, 24564 MiB, 87.04 W
2026/03/09 07:01:58.474, 77 %, 50 %, 22358 MiB, 24564 MiB, 156.86 W
2026/03/09 07:01:59.474, 82 %, 53 %, 22358 MiB, 24564 MiB, 208.79 W
2026/03/09 07:02:00.474, 81 %, 53 %, 22358 MiB, 24564 MiB, 212.18 W
2026/03/09 07:02:01.475, 0 %, 0 %, 22358 MiB, 24564 MiB, 153.19 W
2026/03/09 07:02:02.475, 85 %, 49 %, 22358 MiB, 24564 MiB, 108.02 W
2026/03/09 07:02:03.475, 82 %, 53 %, 22358 MiB, 24564 MiB, 214.08 W
2026/03/09 07:02:04.476, 81 %, 53 %, 22358 MiB, 24564 MiB, 216.26 W
2026/03/09 07:02:05.476, 82 %, 53 %, 22358 MiB, 24564 MiB, 213.17 W
2026/03/09 07:02:06.476, 0 %, 0 %, 22358 MiB, 24564 MiB, 182.30 W
2026/03/09 07:02:07.477, 0 %, 0 %, 22358 MiB, 24564 MiB, 87.13 W
2026/03/09 07:02:08.477, 0 %, 0 %, 22358 MiB, 24564 MiB, 66.11 W
2026/03/09 07:02:09.477, 0 %, 0 %, 22358 MiB, 24564 MiB, 59.00 W
2026/03/09 07:02:10.478, 0 %, 0 %, 22358 MiB, 24564 MiB, 51.99 W
2026/03/09 07:02:11.478, 0 %, 0 %, 22358 MiB, 24564 MiB, 52.00 W
2026/03/09 07:02:12.478, 0 %, 0 %, 22358 MiB, 24564 MiB, 52.16 W
2026/03/09 07:02:13.479, 0 %, 0 %, 22358 MiB, 24564 MiB, 52.14 W
2026/03/09 07:02:14.479, 0 %, 0 %, 22358 MiB, 24564 MiB, 51.97 W
2026/03/09 07:02:15.480, 0 %, 0 %, 22358 MiB, 24564 MiB, 51.89 W
2026/03/09 07:02:16.480, 0 %, 0 %, 22358 MiB, 24564 MiB, 51.95 W
2026/03/09 07:02:17.480, 0 %, 0 %, 22358 MiB, 24564 MiB, 51.93 W
2026/03/09 07:02:18.481, 0 %, 0 %, 22358 MiB, 24564 MiB, 51.76 W
