timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/03/09 06:36:55.879, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.90 W
2026/03/09 06:36:56.879, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.84 W
2026/03/09 06:36:57.879, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.69 W
2026/03/09 06:36:58.880, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.58 W
2026/03/09 06:36:59.880, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.63 W
2026/03/09 06:37:00.881, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.55 W
2026/03/09 06:37:01.887, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.52 W
2026/03/09 06:37:02.887, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.62 W
2026/03/09 06:37:03.888, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.71 W
2026/03/09 06:37:04.888, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.75 W
2026/03/09 06:37:05.888, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.96 W
2026/03/09 06:37:06.889, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.95 W
2026/03/09 06:37:07.889, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.95 W
2026/03/09 06:37:08.889, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.30 W
2026/03/09 06:37:09.890, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.32 W
2026/03/09 06:37:10.890, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.24 W
2026/03/09 06:37:11.891, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.30 W
2026/03/09 06:37:12.891, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.28 W
2026/03/09 06:37:13.891, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.14 W
2026/03/09 06:37:14.892, 94 %, 96 %, 18712 MiB, 24564 MiB, 129.74 W
2026/03/09 06:37:15.892, 94 %, 96 %, 18712 MiB, 24564 MiB, 329.52 W
2026/03/09 06:37:16.892, 94 %, 96 %, 18712 MiB, 24564 MiB, 331.58 W
2026/03/09 06:37:17.892, 94 %, 96 %, 18712 MiB, 24564 MiB, 333.46 W
2026/03/09 06:37:18.893, 94 %, 96 %, 18712 MiB, 24564 MiB, 334.15 W
2026/03/09 06:37:19.893, 95 %, 97 %, 18712 MiB, 24564 MiB, 336.43 W
2026/03/09 06:37:20.893, 94 %, 96 %, 18712 MiB, 24564 MiB, 337.21 W
2026/03/09 06:37:21.894, 90 %, 91 %, 18712 MiB, 24564 MiB, 334.40 W
2026/03/09 06:37:22.894, 95 %, 97 %, 18712 MiB, 24564 MiB, 334.72 W
2026/03/09 06:37:23.894, 95 %, 97 %, 18712 MiB, 24564 MiB, 337.65 W
2026/03/09 06:37:24.895, 95 %, 97 %, 18712 MiB, 24564 MiB, 338.03 W
