timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/03/09 06:55:09.921, 0 %, 0 %, 22290 MiB, 24564 MiB, 5.62 W
2026/03/09 06:55:10.921, 0 %, 0 %, 22290 MiB, 24564 MiB, 5.32 W
2026/03/09 06:55:11.921, 0 %, 0 %, 22290 MiB, 24564 MiB, 5.24 W
2026/03/09 06:55:12.922, 0 %, 0 %, 22290 MiB, 24564 MiB, 5.36 W
2026/03/09 06:55:13.922, 0 %, 0 %, 22290 MiB, 24564 MiB, 5.36 W
2026/03/09 06:55:14.923, 0 %, 0 %, 22290 MiB, 24564 MiB, 5.20 W
2026/03/09 06:55:15.923, 0 %, 0 %, 22290 MiB, 24564 MiB, 5.08 W
2026/03/09 06:55:16.923, 0 %, 0 %, 22290 MiB, 24564 MiB, 5.29 W
2026/03/09 06:55:17.924, 0 %, 0 %, 22290 MiB, 24564 MiB, 5.41 W
2026/03/09 06:55:18.924, 0 %, 0 %, 22290 MiB, 24564 MiB, 5.17 W
2026/03/09 06:55:19.924, 0 %, 0 %, 22290 MiB, 24564 MiB, 5.04 W
2026/03/09 06:55:20.925, 0 %, 0 %, 22290 MiB, 24564 MiB, 5.01 W
2026/03/09 06:55:21.925, 0 %, 0 %, 22290 MiB, 24564 MiB, 5.02 W
2026/03/09 06:55:22.925, 0 %, 0 %, 22290 MiB, 24564 MiB, 5.22 W
2026/03/09 06:55:23.926, 0 %, 0 %, 22290 MiB, 24564 MiB, 5.32 W
2026/03/09 06:55:24.926, 77 %, 49 %, 22308 MiB, 24564 MiB, 59.10 W
2026/03/09 06:55:25.926, 82 %, 53 %, 22308 MiB, 24564 MiB, 207.51 W
2026/03/09 06:55:26.927, 79 %, 51 %, 22308 MiB, 24564 MiB, 211.77 W
2026/03/09 06:55:27.927, 82 %, 53 %, 22308 MiB, 24564 MiB, 212.30 W
2026/03/09 06:55:28.927, 0 %, 0 %, 22308 MiB, 24564 MiB, 131.12 W
2026/03/09 06:55:29.928, 74 %, 48 %, 22308 MiB, 24564 MiB, 134.11 W
2026/03/09 06:55:30.928, 78 %, 51 %, 22308 MiB, 24564 MiB, 209.16 W
2026/03/09 06:55:31.928, 78 %, 51 %, 22308 MiB, 24564 MiB, 207.50 W
2026/03/09 06:55:32.929, 81 %, 53 %, 22308 MiB, 24564 MiB, 208.50 W
2026/03/09 06:55:33.929, 79 %, 51 %, 22308 MiB, 24564 MiB, 213.03 W
2026/03/09 06:55:34.929, 82 %, 53 %, 22308 MiB, 24564 MiB, 214.66 W
2026/03/09 06:55:35.930, 0 %, 0 %, 22308 MiB, 24564 MiB, 126.75 W
2026/03/09 06:55:36.930, 78 %, 51 %, 22308 MiB, 24564 MiB, 132.74 W
2026/03/09 06:55:37.930, 82 %, 53 %, 22308 MiB, 24564 MiB, 213.33 W
2026/03/09 06:55:38.931, 82 %, 53 %, 22308 MiB, 24564 MiB, 212.55 W
2026/03/09 06:55:39.931, 82 %, 53 %, 22308 MiB, 24564 MiB, 215.49 W
2026/03/09 06:55:40.931, 82 %, 53 %, 22308 MiB, 24564 MiB, 213.61 W
2026/03/09 06:55:41.932, 13 %, 9 %, 22308 MiB, 24564 MiB, 166.54 W
2026/03/09 06:55:42.932, 4 %, 0 %, 22308 MiB, 24564 MiB, 91.91 W
2026/03/09 06:55:43.932, 78 %, 51 %, 22308 MiB, 24564 MiB, 214.21 W
2026/03/09 06:55:44.933, 82 %, 53 %, 22308 MiB, 24564 MiB, 211.22 W
2026/03/09 06:55:45.933, 79 %, 51 %, 22308 MiB, 24564 MiB, 212.77 W
2026/03/09 06:55:46.933, 82 %, 53 %, 22308 MiB, 24564 MiB, 214.26 W
2026/03/09 06:55:47.934, 0 %, 0 %, 22308 MiB, 24564 MiB, 116.82 W
2026/03/09 06:55:48.934, 78 %, 51 %, 22308 MiB, 24564 MiB, 140.34 W
2026/03/09 06:55:49.934, 78 %, 51 %, 22308 MiB, 24564 MiB, 211.15 W
2026/03/09 06:55:50.935, 82 %, 53 %, 22308 MiB, 24564 MiB, 215.04 W
2026/03/09 06:55:51.935, 82 %, 53 %, 22308 MiB, 24564 MiB, 214.11 W
2026/03/09 06:55:52.935, 78 %, 50 %, 22308 MiB, 24564 MiB, 216.08 W
2026/03/09 06:55:53.936, 82 %, 53 %, 22308 MiB, 24564 MiB, 215.35 W
2026/03/09 06:55:54.936, 76 %, 49 %, 22308 MiB, 24564 MiB, 215.44 W
2026/03/09 06:55:55.937, 0 %, 0 %, 22308 MiB, 24564 MiB, 92.81 W
2026/03/09 06:55:56.937, 73 %, 47 %, 22308 MiB, 24564 MiB, 181.84 W
2026/03/09 06:55:57.937, 82 %, 53 %, 22308 MiB, 24564 MiB, 210.96 W
2026/03/09 06:55:58.938, 82 %, 53 %, 22308 MiB, 24564 MiB, 211.85 W
2026/03/09 06:55:59.938, 82 %, 53 %, 22308 MiB, 24564 MiB, 212.90 W
2026/03/09 06:56:00.938, 81 %, 53 %, 22308 MiB, 24564 MiB, 211.00 W
