timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/03/08 11:48:49.671, 0 %, 0 %, 17652 MiB, 24564 MiB, 5.66 W
2026/03/08 11:48:50.671, 0 %, 0 %, 17652 MiB, 24564 MiB, 5.84 W
2026/03/08 11:48:51.672, 0 %, 0 %, 17652 MiB, 24564 MiB, 6.02 W
2026/03/08 11:48:52.672, 0 %, 0 %, 17652 MiB, 24564 MiB, 5.92 W
2026/03/08 11:48:53.672, 0 %, 0 %, 17652 MiB, 24564 MiB, 5.93 W
2026/03/08 11:48:54.672, 0 %, 0 %, 17652 MiB, 24564 MiB, 5.97 W
2026/03/08 11:48:55.673, 0 %, 0 %, 17652 MiB, 24564 MiB, 5.86 W
2026/03/08 11:48:56.674, 0 %, 0 %, 17652 MiB, 24564 MiB, 5.57 W
2026/03/08 11:48:57.674, 0 %, 0 %, 17652 MiB, 24564 MiB, 5.51 W
2026/03/08 11:48:58.674, 87 %, 36 %, 17672 MiB, 24564 MiB, 63.89 W
2026/03/08 11:48:59.674, 94 %, 95 %, 17672 MiB, 24564 MiB, 325.27 W
2026/03/08 11:49:00.675, 94 %, 95 %, 17672 MiB, 24564 MiB, 336.47 W
2026/03/08 11:49:01.675, 94 %, 95 %, 17672 MiB, 24564 MiB, 337.81 W
2026/03/08 11:49:02.675, 94 %, 95 %, 17672 MiB, 24564 MiB, 338.41 W
2026/03/08 11:49:03.676, 94 %, 95 %, 17672 MiB, 24564 MiB, 338.07 W
2026/03/08 11:49:04.676, 94 %, 95 %, 17672 MiB, 24564 MiB, 340.86 W
2026/03/08 11:49:05.676, 94 %, 95 %, 17672 MiB, 24564 MiB, 340.74 W
2026/03/08 11:49:06.677, 94 %, 95 %, 17672 MiB, 24564 MiB, 340.83 W
2026/03/08 11:49:07.677, 94 %, 95 %, 17672 MiB, 24564 MiB, 340.98 W
2026/03/08 11:49:08.683, 94 %, 95 %, 17672 MiB, 24564 MiB, 340.08 W
