timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/03/08 11:36:55.579, 94 %, 96 %, 18712 MiB, 24564 MiB, 332.90 W
2026/03/08 11:36:56.579, 94 %, 96 %, 18712 MiB, 24564 MiB, 335.85 W
2026/03/08 11:36:57.580, 94 %, 96 %, 18712 MiB, 24564 MiB, 335.97 W
2026/03/08 11:36:58.580, 94 %, 96 %, 18712 MiB, 24564 MiB, 336.55 W
2026/03/08 11:36:59.580, 95 %, 97 %, 18712 MiB, 24564 MiB, 336.81 W
2026/03/08 11:37:00.581, 93 %, 95 %, 18712 MiB, 24564 MiB, 336.29 W
2026/03/08 11:37:01.581, 94 %, 96 %, 18712 MiB, 24564 MiB, 335.54 W
2026/03/08 11:37:02.581, 94 %, 96 %, 18712 MiB, 24564 MiB, 338.20 W
2026/03/08 11:37:03.582, 95 %, 97 %, 18712 MiB, 24564 MiB, 338.26 W
2026/03/08 11:37:04.582, 95 %, 97 %, 18712 MiB, 24564 MiB, 335.63 W
2026/03/08 11:37:05.582, 94 %, 96 %, 18712 MiB, 24564 MiB, 335.25 W
2026/03/08 11:37:06.583, 93 %, 94 %, 18712 MiB, 24564 MiB, 334.70 W
2026/03/08 11:37:07.583, 94 %, 96 %, 18712 MiB, 24564 MiB, 333.57 W
2026/03/08 11:37:08.583, 94 %, 96 %, 18712 MiB, 24564 MiB, 336.38 W
2026/03/08 11:37:09.583, 94 %, 96 %, 18712 MiB, 24564 MiB, 336.93 W
2026/03/08 11:37:10.584, 95 %, 97 %, 18712 MiB, 24564 MiB, 336.66 W
2026/03/08 11:37:11.584, 95 %, 97 %, 18712 MiB, 24564 MiB, 336.94 W
2026/03/08 11:37:12.584, 90 %, 92 %, 18712 MiB, 24564 MiB, 335.82 W
2026/03/08 11:37:13.585, 95 %, 97 %, 18712 MiB, 24564 MiB, 335.20 W
2026/03/08 11:37:14.585, 94 %, 96 %, 18712 MiB, 24564 MiB, 338.35 W
