2026/03/08 00:24:35.555, 0 %, 0 %, 3 MiB, 24564 MiB, 65.77 W
2026/03/08 00:24:36.559, 1 %, 0 %, 394 MiB, 24564 MiB, 64.11 W
2026/03/08 00:24:37.559, 0 %, 0 %, 394 MiB, 24564 MiB, 52.47 W
2026/03/08 00:24:38.559, 96 %, 1 %, 16508 MiB, 24564 MiB, 56.52 W
2026/03/08 00:24:39.560, 96 %, 1 %, 16508 MiB, 24564 MiB, 68.34 W
2026/03/08 00:24:40.560, 0 %, 0 %, 22092 MiB, 24564 MiB, 68.01 W
2026/03/08 00:24:41.560, 0 %, 0 %, 22478 MiB, 24564 MiB, 85.74 W
2026/03/08 00:24:42.561, 0 %, 0 %, 22478 MiB, 24564 MiB, 84.54 W
2026/03/08 00:24:43.561, 0 %, 0 %, 22478 MiB, 24564 MiB, 53.74 W
2026/03/08 00:24:44.561, 0 %, 0 %, 22478 MiB, 24564 MiB, 52.28 W
2026/03/08 00:24:45.562, 0 %, 0 %, 22478 MiB, 24564 MiB, 52.25 W
2026/03/08 00:24:46.562, 0 %, 0 %, 22478 MiB, 24564 MiB, 52.28 W
2026/03/08 00:24:47.563, 0 %, 0 %, 22478 MiB, 24564 MiB, 52.17 W
2026/03/08 00:24:48.563, 0 %, 0 %, 22478 MiB, 24564 MiB, 52.10 W
2026/03/08 00:24:49.563, 0 %, 0 %, 22478 MiB, 24564 MiB, 51.99 W
2026/03/08 00:24:50.564, 0 %, 0 %, 22478 MiB, 24564 MiB, 51.97 W
2026/03/08 00:24:51.564, 0 %, 0 %, 22478 MiB, 24564 MiB, 52.14 W
2026/03/08 00:24:52.564, 0 %, 0 %, 22478 MiB, 24564 MiB, 52.19 W
2026/03/08 00:24:53.565, 0 %, 0 %, 22478 MiB, 24564 MiB, 52.11 W
2026/03/08 00:24:54.565, 0 %, 0 %, 22478 MiB, 24564 MiB, 52.08 W
2026/03/08 00:24:55.565, 0 %, 0 %, 22478 MiB, 24564 MiB, 51.96 W
2026/03/08 00:24:56.566, 0 %, 0 %, 22478 MiB, 24564 MiB, 51.82 W
2026/03/08 00:24:57.566, 0 %, 0 %, 22478 MiB, 24564 MiB, 51.88 W
2026/03/08 00:24:58.566, 0 %, 0 %, 22478 MiB, 24564 MiB, 43.73 W
2026/03/08 00:24:59.567, 0 %, 0 %, 22478 MiB, 24564 MiB, 26.71 W
2026/03/08 00:25:00.567, 0 %, 0 %, 22478 MiB, 24564 MiB, 12.75 W
2026/03/08 00:25:01.568, 0 %, 0 %, 22478 MiB, 24564 MiB, 7.17 W
