2026/03/08 00:13:16.943, 0 %, 0 %, 3 MiB, 24564 MiB, 68.61 W
2026/03/08 00:13:17.945, 1 %, 0 %, 394 MiB, 24564 MiB, 62.59 W
2026/03/08 00:13:18.946, 0 %, 0 %, 394 MiB, 24564 MiB, 53.19 W
2026/03/08 00:13:19.946, 96 %, 1 %, 15476 MiB, 24564 MiB, 59.27 W
2026/03/08 00:13:20.946, 96 %, 1 %, 15476 MiB, 24564 MiB, 68.95 W
2026/03/08 00:13:21.947, 0 %, 0 %, 17652 MiB, 24564 MiB, 84.09 W
2026/03/08 00:13:22.947, 0 %, 0 %, 17652 MiB, 24564 MiB, 81.62 W
2026/03/08 00:13:23.947, 0 %, 0 %, 17652 MiB, 24564 MiB, 57.10 W
2026/03/08 00:13:24.948, 0 %, 0 %, 17652 MiB, 24564 MiB, 54.54 W
2026/03/08 00:13:25.948, 0 %, 0 %, 17652 MiB, 24564 MiB, 52.98 W
2026/03/08 00:13:26.949, 0 %, 0 %, 17652 MiB, 24564 MiB, 52.92 W
2026/03/08 00:13:27.949, 0 %, 0 %, 17652 MiB, 24564 MiB, 52.89 W
2026/03/08 00:13:28.949, 0 %, 0 %, 17652 MiB, 24564 MiB, 52.88 W
2026/03/08 00:13:29.950, 0 %, 0 %, 17652 MiB, 24564 MiB, 52.86 W
2026/03/08 00:13:30.950, 0 %, 0 %, 17652 MiB, 24564 MiB, 52.82 W
2026/03/08 00:13:31.950, 0 %, 0 %, 17652 MiB, 24564 MiB, 52.72 W
2026/03/08 00:13:32.951, 0 %, 0 %, 17652 MiB, 24564 MiB, 52.57 W
2026/03/08 00:13:33.951, 0 %, 0 %, 17652 MiB, 24564 MiB, 52.58 W
2026/03/08 00:13:34.951, 0 %, 0 %, 17652 MiB, 24564 MiB, 52.62 W
2026/03/08 00:13:35.952, 0 %, 0 %, 17652 MiB, 24564 MiB, 52.63 W
2026/03/08 00:13:36.952, 0 %, 0 %, 17652 MiB, 24564 MiB, 52.65 W
2026/03/08 00:13:37.952, 0 %, 0 %, 17652 MiB, 24564 MiB, 52.60 W
2026/03/08 00:13:38.953, 0 %, 0 %, 17652 MiB, 24564 MiB, 45.10 W
