2026/03/07 23:30:18.551, 0 %, 0 %, 3 MiB, 24564 MiB, 66.29 W
2026/03/07 23:30:19.554, 1 %, 0 %, 394 MiB, 24564 MiB, 61.03 W
2026/03/07 23:30:20.554, 0 %, 0 %, 15476 MiB, 24564 MiB, 51.64 W
2026/03/07 23:30:21.555, 96 %, 1 %, 15476 MiB, 24564 MiB, 60.54 W
2026/03/07 23:30:22.555, 96 %, 1 %, 15476 MiB, 24564 MiB, 68.09 W
2026/03/07 23:30:23.555, 0 %, 0 %, 17652 MiB, 24564 MiB, 82.49 W
2026/03/07 23:30:24.556, 0 %, 0 %, 17652 MiB, 24564 MiB, 82.16 W
2026/03/07 23:30:25.556, 0 %, 0 %, 17652 MiB, 24564 MiB, 55.58 W
2026/03/07 23:30:26.556, 0 %, 0 %, 17652 MiB, 24564 MiB, 52.68 W
2026/03/07 23:30:27.557, 0 %, 0 %, 17652 MiB, 24564 MiB, 50.76 W
2026/03/07 23:30:28.557, 0 %, 0 %, 17652 MiB, 24564 MiB, 50.66 W
2026/03/07 23:30:29.558, 0 %, 0 %, 17652 MiB, 24564 MiB, 50.66 W
2026/03/07 23:30:30.558, 0 %, 0 %, 17652 MiB, 24564 MiB, 50.43 W
2026/03/07 23:30:31.559, 0 %, 0 %, 17652 MiB, 24564 MiB, 50.41 W
2026/03/07 23:30:32.560, 0 %, 0 %, 17652 MiB, 24564 MiB, 50.57 W
2026/03/07 23:30:33.560, 0 %, 0 %, 17652 MiB, 24564 MiB, 50.53 W
2026/03/07 23:30:34.560, 0 %, 0 %, 17652 MiB, 24564 MiB, 50.39 W
2026/03/07 23:30:35.561, 0 %, 0 %, 17652 MiB, 24564 MiB, 50.21 W
2026/03/07 23:30:36.561, 0 %, 0 %, 17652 MiB, 24564 MiB, 50.33 W
2026/03/07 23:30:37.562, 0 %, 0 %, 17652 MiB, 24564 MiB, 50.62 W
2026/03/07 23:30:38.562, 0 %, 0 %, 17652 MiB, 24564 MiB, 50.68 W
2026/03/07 23:30:39.562, 0 %, 0 %, 17652 MiB, 24564 MiB, 50.67 W
2026/03/07 23:30:40.563, 0 %, 0 %, 17652 MiB, 24564 MiB, 44.99 W
2026/03/07 23:30:41.563, 0 %, 0 %, 17652 MiB, 24564 MiB, 29.32 W
2026/03/07 23:30:42.563, 0 %, 0 %, 17652 MiB, 24564 MiB, 12.45 W
2026/03/07 23:30:43.564, 0 %, 0 %, 17652 MiB, 24564 MiB, 5.65 W
2026/03/07 23:30:44.564, 0 %, 0 %, 17652 MiB, 24564 MiB, 5.45 W
2026/03/07 23:30:45.565, 0 %, 0 %, 17652 MiB, 24564 MiB, 5.35 W
2026/03/07 23:30:46.567, 0 %, 0 %, 17652 MiB, 24564 MiB, 5.56 W
2026/03/07 23:30:47.568, 0 %, 0 %, 17652 MiB, 24564 MiB, 5.36 W
2026/03/07 23:30:48.568, 0 %, 0 %, 17652 MiB, 24564 MiB, 5.07 W
2026/03/07 23:30:49.568, 0 %, 0 %, 17652 MiB, 24564 MiB, 5.01 W
2026/03/07 23:30:50.569, 92 %, 93 %, 17672 MiB, 24564 MiB, 140.58 W
2026/03/07 23:30:51.569, 90 %, 90 %, 17672 MiB, 24564 MiB, 332.29 W
2026/03/07 23:30:52.570, 94 %, 95 %, 17672 MiB, 24564 MiB, 334.83 W
2026/03/07 23:30:53.570, 94 %, 95 %, 17672 MiB, 24564 MiB, 333.28 W
2026/03/07 23:30:54.570, 94 %, 95 %, 17672 MiB, 24564 MiB, 333.96 W
2026/03/07 23:30:55.571, 94 %, 95 %, 17672 MiB, 24564 MiB, 334.71 W
2026/03/07 23:30:56.571, 94 %, 95 %, 17672 MiB, 24564 MiB, 335.57 W
2026/03/07 23:30:57.571, 94 %, 95 %, 17672 MiB, 24564 MiB, 333.69 W
2026/03/07 23:30:58.574, 94 %, 95 %, 17672 MiB, 24564 MiB, 336.04 W
2026/03/07 23:30:59.574, 94 %, 95 %, 17672 MiB, 24564 MiB, 336.40 W
2026/03/07 23:31:00.575, 94 %, 95 %, 17672 MiB, 24564 MiB, 337.15 W
2026/03/07 23:31:01.575, 94 %, 95 %, 17672 MiB, 24564 MiB, 337.88 W
2026/03/07 23:31:02.575, 94 %, 95 %, 17672 MiB, 24564 MiB, 338.35 W
2026/03/07 23:31:03.576, 94 %, 95 %, 17672 MiB, 24564 MiB, 336.31 W
2026/03/07 23:31:04.576, 94 %, 95 %, 17672 MiB, 24564 MiB, 339.34 W
2026/03/07 23:31:05.576, 94 %, 95 %, 17672 MiB, 24564 MiB, 341.14 W
2026/03/07 23:31:06.577, 94 %, 95 %, 17672 MiB, 24564 MiB, 344.02 W
2026/03/07 23:31:07.577, 94 %, 95 %, 17672 MiB, 24564 MiB, 344.28 W
2026/03/07 23:31:08.577, 90 %, 90 %, 17672 MiB, 24564 MiB, 342.23 W
2026/03/07 23:31:09.578, 94 %, 95 %, 17672 MiB, 24564 MiB, 343.22 W
2026/03/07 23:31:10.578, 0 %, 0 %, 17672 MiB, 24564 MiB, 267.10 W
2026/03/07 23:31:11.578, 0 %, 0 %, 17672 MiB, 24564 MiB, 115.40 W
2026/03/07 23:31:12.579, 0 %, 0 %, 17672 MiB, 24564 MiB, 65.20 W
2026/03/07 23:31:13.579, 94 %, 95 %, 17672 MiB, 24564 MiB, 212.82 W
2026/03/07 23:31:14.579, 94 %, 95 %, 17672 MiB, 24564 MiB, 341.08 W
2026/03/07 23:31:15.580, 94 %, 95 %, 17672 MiB, 24564 MiB, 344.72 W
2026/03/07 23:31:16.580, 94 %, 95 %, 17672 MiB, 24564 MiB, 345.19 W
2026/03/07 23:31:17.580, 94 %, 95 %, 17672 MiB, 24564 MiB, 345.71 W
2026/03/07 23:31:18.581, 94 %, 95 %, 17672 MiB, 24564 MiB, 346.07 W
2026/03/07 23:31:19.581, 94 %, 95 %, 17672 MiB, 24564 MiB, 346.66 W
2026/03/07 23:31:20.581, 94 %, 95 %, 17672 MiB, 24564 MiB, 344.86 W
2026/03/07 23:31:21.582, 94 %, 95 %, 17672 MiB, 24564 MiB, 347.95 W
2026/03/07 23:31:22.582, 94 %, 95 %, 17672 MiB, 24564 MiB, 348.07 W
2026/03/07 23:31:23.582, 94 %, 95 %, 17672 MiB, 24564 MiB, 348.26 W
2026/03/07 23:31:24.583, 94 %, 95 %, 17672 MiB, 24564 MiB, 348.97 W
2026/03/07 23:31:25.583, 94 %, 95 %, 17672 MiB, 24564 MiB, 349.09 W
2026/03/07 23:31:26.584, 94 %, 95 %, 17672 MiB, 24564 MiB, 347.34 W
2026/03/07 23:31:27.584, 94 %, 95 %, 17672 MiB, 24564 MiB, 350.43 W
2026/03/07 23:31:28.584, 94 %, 95 %, 17672 MiB, 24564 MiB, 350.74 W
2026/03/07 23:31:29.585, 94 %, 95 %, 17672 MiB, 24564 MiB, 350.95 W
2026/03/07 23:31:30.585, 94 %, 95 %, 17672 MiB, 24564 MiB, 351.69 W
2026/03/07 23:31:31.585, 0 %, 0 %, 17672 MiB, 24564 MiB, 155.36 W
2026/03/07 23:31:32.586, 94 %, 95 %, 17672 MiB, 24564 MiB, 212.17 W
2026/03/07 23:31:33.586, 94 %, 95 %, 17672 MiB, 24564 MiB, 343.02 W
2026/03/07 23:31:34.586, 94 %, 95 %, 17672 MiB, 24564 MiB, 346.17 W
2026/03/07 23:31:35.587, 94 %, 95 %, 17672 MiB, 24564 MiB, 347.27 W
2026/03/07 23:31:36.587, 94 %, 95 %, 17672 MiB, 24564 MiB, 347.81 W
2026/03/07 23:31:37.587, 94 %, 95 %, 17672 MiB, 24564 MiB, 347.83 W
2026/03/07 23:31:38.588, 94 %, 95 %, 17672 MiB, 24564 MiB, 348.30 W
2026/03/07 23:31:39.588, 94 %, 95 %, 17672 MiB, 24564 MiB, 346.14 W
2026/03/07 23:31:40.588, 94 %, 95 %, 17672 MiB, 24564 MiB, 349.10 W
2026/03/07 23:31:41.589, 94 %, 95 %, 17672 MiB, 24564 MiB, 349.07 W
2026/03/07 23:31:42.589, 94 %, 95 %, 17672 MiB, 24564 MiB, 349.15 W
2026/03/07 23:31:43.589, 94 %, 95 %, 17672 MiB, 24564 MiB, 349.18 W
2026/03/07 23:31:44.590, 91 %, 91 %, 17672 MiB, 24564 MiB, 347.27 W
2026/03/07 23:31:45.590, 94 %, 95 %, 17672 MiB, 24564 MiB, 347.93 W
2026/03/07 23:31:46.590, 94 %, 95 %, 17672 MiB, 24564 MiB, 350.33 W
2026/03/07 23:31:47.591, 94 %, 95 %, 17672 MiB, 24564 MiB, 350.48 W
2026/03/07 23:31:48.591, 94 %, 95 %, 17672 MiB, 24564 MiB, 350.88 W
2026/03/07 23:31:49.591, 94 %, 95 %, 17672 MiB, 24564 MiB, 350.88 W
2026/03/07 23:31:50.592, 94 %, 95 %, 17672 MiB, 24564 MiB, 349.21 W
2026/03/07 23:31:51.592, 94 %, 95 %, 17672 MiB, 24564 MiB, 351.84 W
2026/03/07 23:31:52.592, 0 %, 0 %, 17672 MiB, 24564 MiB, 137.95 W
2026/03/07 23:31:53.593, 94 %, 95 %, 17672 MiB, 24564 MiB, 252.11 W
2026/03/07 23:31:54.593, 94 %, 95 %, 17672 MiB, 24564 MiB, 349.58 W
2026/03/07 23:31:55.594, 94 %, 95 %, 17672 MiB, 24564 MiB, 350.18 W
2026/03/07 23:31:56.594, 94 %, 95 %, 17672 MiB, 24564 MiB, 348.51 W
2026/03/07 23:31:57.594, 94 %, 95 %, 17672 MiB, 24564 MiB, 350.98 W
2026/03/07 23:31:58.595, 94 %, 95 %, 17672 MiB, 24564 MiB, 351.08 W
2026/03/07 23:31:59.595, 94 %, 95 %, 17672 MiB, 24564 MiB, 351.32 W
2026/03/07 23:32:00.595, 94 %, 95 %, 17672 MiB, 24564 MiB, 351.16 W
2026/03/07 23:32:01.596, 94 %, 95 %, 17672 MiB, 24564 MiB, 350.92 W
2026/03/07 23:32:02.596, 94 %, 95 %, 17672 MiB, 24564 MiB, 349.19 W
2026/03/07 23:32:03.598, 94 %, 95 %, 17672 MiB, 24564 MiB, 352.11 W
2026/03/07 23:32:04.598, 94 %, 95 %, 17672 MiB, 24564 MiB, 352.24 W
2026/03/07 23:32:05.599, 94 %, 95 %, 17672 MiB, 24564 MiB, 352.56 W
2026/03/07 23:32:06.599, 94 %, 95 %, 17672 MiB, 24564 MiB, 353.02 W
2026/03/07 23:32:07.599, 91 %, 92 %, 17672 MiB, 24564 MiB, 351.17 W
2026/03/07 23:32:08.600, 0 %, 0 %, 17672 MiB, 24564 MiB, 138.70 W
2026/03/07 23:32:09.600, 94 %, 95 %, 17672 MiB, 24564 MiB, 253.37 W
2026/03/07 23:32:10.601, 94 %, 94 %, 17672 MiB, 24564 MiB, 351.97 W
2026/03/07 23:32:11.601, 90 %, 90 %, 17672 MiB, 24564 MiB, 350.00 W
2026/03/07 23:32:12.601, 94 %, 95 %, 17672 MiB, 24564 MiB, 353.31 W
2026/03/07 23:32:13.602, 94 %, 95 %, 17672 MiB, 24564 MiB, 353.61 W
2026/03/07 23:32:14.602, 94 %, 95 %, 17672 MiB, 24564 MiB, 353.53 W
2026/03/07 23:32:15.602, 94 %, 95 %, 17672 MiB, 24564 MiB, 353.26 W
2026/03/07 23:32:16.603, 94 %, 95 %, 17672 MiB, 24564 MiB, 353.41 W
2026/03/07 23:32:17.603, 94 %, 95 %, 17672 MiB, 24564 MiB, 351.44 W
2026/03/07 23:32:18.603, 94 %, 95 %, 17672 MiB, 24564 MiB, 354.11 W
2026/03/07 23:32:19.604, 94 %, 95 %, 17672 MiB, 24564 MiB, 354.36 W
2026/03/07 23:32:20.604, 94 %, 95 %, 17672 MiB, 24564 MiB, 354.47 W
2026/03/07 23:32:21.604, 94 %, 95 %, 17672 MiB, 24564 MiB, 354.58 W
2026/03/07 23:32:22.605, 94 %, 95 %, 17672 MiB, 24564 MiB, 354.77 W
2026/03/07 23:32:23.608, 94 %, 95 %, 17672 MiB, 24564 MiB, 352.78 W
2026/03/07 23:32:24.609, 94 %, 95 %, 17672 MiB, 24564 MiB, 355.21 W
2026/03/07 23:32:25.609, 94 %, 95 %, 17672 MiB, 24564 MiB, 355.61 W
2026/03/07 23:32:26.610, 94 %, 95 %, 17672 MiB, 24564 MiB, 355.68 W
2026/03/07 23:32:27.610, 94 %, 95 %, 17672 MiB, 24564 MiB, 355.88 W
2026/03/07 23:32:28.610, 94 %, 95 %, 17672 MiB, 24564 MiB, 355.84 W
2026/03/07 23:32:29.611, 0 %, 0 %, 17672 MiB, 24564 MiB, 251.07 W
2026/03/07 23:32:30.611, 0 %, 0 %, 17672 MiB, 24564 MiB, 125.19 W
2026/03/07 23:32:31.611, 0 %, 0 %, 17672 MiB, 24564 MiB, 70.91 W
2026/03/07 23:32:32.612, 0 %, 0 %, 17672 MiB, 24564 MiB, 63.68 W
2026/03/07 23:32:33.612, 94 %, 94 %, 17672 MiB, 24564 MiB, 175.93 W
2026/03/07 23:32:34.612, 94 %, 95 %, 17672 MiB, 24564 MiB, 355.23 W
2026/03/07 23:32:35.613, 94 %, 95 %, 17672 MiB, 24564 MiB, 356.66 W
2026/03/07 23:32:36.617, 94 %, 95 %, 17672 MiB, 24564 MiB, 357.27 W
2026/03/07 23:32:37.620, 94 %, 95 %, 17672 MiB, 24564 MiB, 357.33 W
2026/03/07 23:32:38.620, 94 %, 95 %, 17672 MiB, 24564 MiB, 357.82 W
2026/03/07 23:32:39.620, 94 %, 95 %, 17672 MiB, 24564 MiB, 356.03 W
2026/03/07 23:32:40.621, 94 %, 95 %, 17672 MiB, 24564 MiB, 359.13 W
2026/03/07 23:32:41.621, 94 %, 95 %, 17672 MiB, 24564 MiB, 358.83 W
2026/03/07 23:32:42.621, 94 %, 95 %, 17672 MiB, 24564 MiB, 359.29 W
2026/03/07 23:32:43.622, 94 %, 95 %, 17672 MiB, 24564 MiB, 359.59 W
2026/03/07 23:32:44.622, 94 %, 95 %, 17672 MiB, 24564 MiB, 359.89 W
2026/03/07 23:32:45.622, 94 %, 95 %, 17672 MiB, 24564 MiB, 357.50 W
2026/03/07 23:32:46.623, 94 %, 95 %, 17672 MiB, 24564 MiB, 359.70 W
2026/03/07 23:32:47.623, 94 %, 95 %, 17672 MiB, 24564 MiB, 360.21 W
2026/03/07 23:32:48.623, 94 %, 95 %, 17672 MiB, 24564 MiB, 360.45 W
2026/03/07 23:32:49.624, 94 %, 95 %, 17672 MiB, 24564 MiB, 360.02 W
2026/03/07 23:32:50.624, 94 %, 94 %, 17672 MiB, 24564 MiB, 358.06 W
2026/03/07 23:32:51.625, 94 %, 95 %, 17672 MiB, 24564 MiB, 360.52 W
2026/03/07 23:32:52.625, 94 %, 95 %, 17672 MiB, 24564 MiB, 360.90 W
2026/03/07 23:32:53.625, 94 %, 95 %, 17672 MiB, 24564 MiB, 361.25 W
2026/03/07 23:32:54.626, 94 %, 95 %, 17672 MiB, 24564 MiB, 361.51 W
2026/03/07 23:32:55.626, 95 %, 95 %, 17672 MiB, 24564 MiB, 362.03 W
2026/03/07 23:32:56.626, 94 %, 94 %, 17672 MiB, 24564 MiB, 359.35 W
