2026/03/07 23:23:14.045, 0 %, 0 %, 3 MiB, 24564 MiB, 63.84 W
2026/03/07 23:23:15.047, 1 %, 0 %, 394 MiB, 24564 MiB, 58.92 W
2026/03/07 23:23:16.048, 0 %, 0 %, 16508 MiB, 24564 MiB, 50.46 W
2026/03/07 23:23:17.048, 96 %, 1 %, 16508 MiB, 24564 MiB, 59.37 W
2026/03/07 23:23:18.048, 96 %, 1 %, 16508 MiB, 24564 MiB, 66.62 W
2026/03/07 23:23:19.049, 23 %, 14 %, 18692 MiB, 24564 MiB, 80.21 W
2026/03/07 23:23:20.049, 0 %, 0 %, 18692 MiB, 24564 MiB, 79.66 W
2026/03/07 23:23:21.049, 0 %, 0 %, 18692 MiB, 24564 MiB, 53.63 W
2026/03/07 23:23:22.050, 0 %, 0 %, 18692 MiB, 24564 MiB, 51.18 W
2026/03/07 23:23:23.050, 0 %, 0 %, 18692 MiB, 24564 MiB, 49.86 W
2026/03/07 23:23:24.050, 0 %, 0 %, 18692 MiB, 24564 MiB, 49.97 W
2026/03/07 23:23:25.051, 0 %, 0 %, 18692 MiB, 24564 MiB, 49.92 W
2026/03/07 23:23:26.051, 0 %, 0 %, 18692 MiB, 24564 MiB, 49.70 W
2026/03/07 23:23:27.051, 0 %, 0 %, 18692 MiB, 24564 MiB, 49.69 W
2026/03/07 23:23:28.052, 0 %, 0 %, 18692 MiB, 24564 MiB, 49.64 W
2026/03/07 23:23:29.052, 0 %, 0 %, 18692 MiB, 24564 MiB, 49.90 W
2026/03/07 23:23:30.053, 0 %, 0 %, 18692 MiB, 24564 MiB, 50.17 W
2026/03/07 23:23:31.053, 0 %, 0 %, 18692 MiB, 24564 MiB, 50.01 W
2026/03/07 23:23:32.053, 0 %, 0 %, 18692 MiB, 24564 MiB, 50.04 W
2026/03/07 23:23:33.054, 0 %, 0 %, 18692 MiB, 24564 MiB, 50.18 W
2026/03/07 23:23:34.054, 0 %, 0 %, 18692 MiB, 24564 MiB, 50.32 W
2026/03/07 23:23:35.054, 0 %, 0 %, 18692 MiB, 24564 MiB, 50.35 W
2026/03/07 23:23:36.055, 0 %, 0 %, 18692 MiB, 24564 MiB, 46.88 W
2026/03/07 23:23:37.055, 0 %, 0 %, 18692 MiB, 24564 MiB, 28.75 W
2026/03/07 23:23:38.055, 0 %, 0 %, 18692 MiB, 24564 MiB, 9.70 W
2026/03/07 23:23:39.056, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.35 W
2026/03/07 23:23:40.056, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.25 W
2026/03/07 23:23:41.056, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.15 W
2026/03/07 23:23:42.057, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.21 W
2026/03/07 23:23:43.057, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.39 W
2026/03/07 23:23:44.060, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.53 W
2026/03/07 23:23:45.060, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.54 W
2026/03/07 23:23:46.061, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.31 W
2026/03/07 23:23:47.061, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.06 W
2026/03/07 23:23:48.062, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.88 W
2026/03/07 23:23:49.062, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.74 W
2026/03/07 23:23:50.062, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.76 W
2026/03/07 23:23:51.063, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.77 W
2026/03/07 23:23:52.063, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.79 W
2026/03/07 23:23:53.063, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.00 W
2026/03/07 23:23:54.064, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.03 W
2026/03/07 23:23:55.064, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.86 W
2026/03/07 23:23:56.064, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.92 W
2026/03/07 23:23:57.065, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.12 W
2026/03/07 23:23:58.065, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.17 W
2026/03/07 23:23:59.066, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.04 W
2026/03/07 23:24:00.066, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.93 W
2026/03/07 23:24:01.066, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.91 W
2026/03/07 23:24:02.067, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.93 W
2026/03/07 23:24:03.067, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.10 W
2026/03/07 23:24:04.067, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.35 W
2026/03/07 23:24:05.068, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.33 W
2026/03/07 23:24:06.068, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.11 W
2026/03/07 23:24:07.068, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.19 W
2026/03/07 23:24:08.069, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.27 W
2026/03/07 23:24:09.069, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.27 W
2026/03/07 23:24:10.069, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.46 W
2026/03/07 23:24:11.070, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.66 W
2026/03/07 23:24:12.070, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.78 W
2026/03/07 23:24:13.070, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.74 W
2026/03/07 23:24:14.071, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.61 W
2026/03/07 23:24:15.071, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.53 W
2026/03/07 23:24:16.071, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.59 W
2026/03/07 23:24:17.072, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.53 W
2026/03/07 23:24:18.072, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.38 W
2026/03/07 23:24:19.073, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.21 W
2026/03/07 23:24:20.073, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.96 W
2026/03/07 23:24:21.073, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.83 W
2026/03/07 23:24:22.074, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.66 W
