timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/03/25 22:01:31.515, 0 %, 0 %, 18806 MiB, 24564 MiB, 6.97 W
2026/03/25 22:01:32.517, 0 %, 0 %, 18806 MiB, 24564 MiB, 7.22 W
2026/03/25 22:01:33.518, 0 %, 0 %, 18806 MiB, 24564 MiB, 7.26 W
2026/03/25 22:01:34.518, 0 %, 0 %, 18806 MiB, 24564 MiB, 7.24 W
2026/03/25 22:01:35.519, 0 %, 0 %, 18806 MiB, 24564 MiB, 7.18 W
2026/03/25 22:01:36.519, 0 %, 0 %, 18806 MiB, 24564 MiB, 7.11 W
2026/03/25 22:01:37.519, 0 %, 0 %, 18806 MiB, 24564 MiB, 7.31 W
2026/03/25 22:01:38.520, 0 %, 0 %, 18806 MiB, 24564 MiB, 7.24 W
2026/03/25 22:01:39.520, 0 %, 0 %, 18806 MiB, 24564 MiB, 6.86 W
2026/03/25 22:01:40.521, 0 %, 0 %, 18806 MiB, 24564 MiB, 6.72 W
2026/03/25 22:01:41.521, 0 %, 0 %, 18806 MiB, 24564 MiB, 6.44 W
2026/03/25 22:01:42.522, 0 %, 0 %, 18806 MiB, 24564 MiB, 6.07 W
2026/03/25 22:01:43.525, 95 %, 96 %, 18806 MiB, 24564 MiB, 216.08 W
2026/03/25 22:01:44.525, 94 %, 96 %, 18806 MiB, 24564 MiB, 330.92 W
2026/03/25 22:01:45.525, 94 %, 96 %, 18806 MiB, 24564 MiB, 332.08 W
2026/03/25 22:01:46.526, 95 %, 97 %, 18806 MiB, 24564 MiB, 332.71 W
2026/03/25 22:01:47.526, 95 %, 96 %, 18806 MiB, 24564 MiB, 333.21 W
2026/03/25 22:01:48.526, 94 %, 96 %, 18806 MiB, 24564 MiB, 331.65 W
2026/03/25 22:01:49.527, 95 %, 97 %, 18806 MiB, 24564 MiB, 334.28 W
2026/03/25 22:01:50.527, 95 %, 97 %, 18806 MiB, 24564 MiB, 334.65 W
2026/03/25 22:01:51.527, 94 %, 96 %, 18806 MiB, 24564 MiB, 333.83 W
2026/03/25 22:01:52.528, 94 %, 96 %, 18806 MiB, 24564 MiB, 335.78 W
2026/03/25 22:01:53.528, 95 %, 97 %, 18806 MiB, 24564 MiB, 336.42 W
2026/03/25 22:01:54.528, 94 %, 96 %, 18806 MiB, 24564 MiB, 334.39 W
2026/03/25 22:01:55.529, 94 %, 96 %, 18806 MiB, 24564 MiB, 337.09 W
2026/03/25 22:01:56.529, 94 %, 96 %, 18806 MiB, 24564 MiB, 337.63 W
2026/03/25 22:01:57.529, 95 %, 97 %, 18806 MiB, 24564 MiB, 338.01 W
2026/03/25 22:01:58.530, 95 %, 97 %, 18806 MiB, 24564 MiB, 338.36 W
2026/03/25 22:01:59.530, 94 %, 96 %, 18806 MiB, 24564 MiB, 338.95 W
2026/03/25 22:02:00.530, 95 %, 97 %, 18806 MiB, 24564 MiB, 337.29 W
2026/03/25 22:02:01.533, 95 %, 97 %, 18806 MiB, 24564 MiB, 339.80 W
