timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/03/25 22:11:23.722, 0 %, 0 %, 18108 MiB, 24564 MiB, 5.36 W
2026/03/25 22:11:24.723, 0 %, 0 %, 18108 MiB, 24564 MiB, 5.22 W
2026/03/25 22:11:25.723, 0 %, 0 %, 18108 MiB, 24564 MiB, 5.31 W
2026/03/25 22:11:26.724, 0 %, 0 %, 18108 MiB, 24564 MiB, 5.46 W
2026/03/25 22:11:27.724, 0 %, 0 %, 18108 MiB, 24564 MiB, 5.54 W
2026/03/25 22:11:28.724, 0 %, 0 %, 18108 MiB, 24564 MiB, 5.72 W
2026/03/25 22:11:29.725, 0 %, 0 %, 18108 MiB, 24564 MiB, 5.72 W
2026/03/25 22:11:30.725, 0 %, 0 %, 18108 MiB, 24564 MiB, 5.46 W
2026/03/25 22:11:31.725, 0 %, 0 %, 18108 MiB, 24564 MiB, 5.20 W
2026/03/25 22:11:32.726, 0 %, 0 %, 18108 MiB, 24564 MiB, 5.37 W
2026/03/25 22:11:33.726, 0 %, 0 %, 18108 MiB, 24564 MiB, 5.57 W
2026/03/25 22:11:34.726, 0 %, 0 %, 18108 MiB, 24564 MiB, 5.62 W
2026/03/25 22:11:35.727, 84 %, 64 %, 18108 MiB, 24564 MiB, 155.63 W
2026/03/25 22:11:36.727, 84 %, 65 %, 18108 MiB, 24564 MiB, 255.01 W
2026/03/25 22:11:37.727, 84 %, 64 %, 18108 MiB, 24564 MiB, 255.82 W
2026/03/25 22:11:38.728, 83 %, 63 %, 18108 MiB, 24564 MiB, 257.02 W
2026/03/25 22:11:39.728, 0 %, 0 %, 18108 MiB, 24564 MiB, 136.48 W
2026/03/25 22:11:40.728, 84 %, 65 %, 18108 MiB, 24564 MiB, 199.13 W
2026/03/25 22:11:41.729, 84 %, 64 %, 18108 MiB, 24564 MiB, 256.41 W
2026/03/25 22:11:42.729, 84 %, 64 %, 18108 MiB, 24564 MiB, 258.03 W
2026/03/25 22:11:43.729, 82 %, 63 %, 18108 MiB, 24564 MiB, 260.00 W
2026/03/25 22:11:44.730, 84 %, 64 %, 18108 MiB, 24564 MiB, 259.61 W
2026/03/25 22:11:45.730, 0 %, 0 %, 18108 MiB, 24564 MiB, 165.25 W
2026/03/25 22:11:46.730, 62 %, 30 %, 18108 MiB, 24564 MiB, 140.48 W
2026/03/25 22:11:47.731, 84 %, 64 %, 18108 MiB, 24564 MiB, 249.68 W
2026/03/25 22:11:48.731, 0 %, 0 %, 18108 MiB, 24564 MiB, 93.79 W
2026/03/25 22:11:49.731, 84 %, 65 %, 18108 MiB, 24564 MiB, 223.79 W
2026/03/25 22:11:50.732, 0 %, 0 %, 18108 MiB, 24564 MiB, 169.81 W
2026/03/25 22:11:51.732, 84 %, 65 %, 18108 MiB, 24564 MiB, 145.41 W
2026/03/25 22:11:52.732, 84 %, 64 %, 18108 MiB, 24564 MiB, 255.37 W
2026/03/25 22:11:53.733, 84 %, 64 %, 18108 MiB, 24564 MiB, 255.71 W
2026/03/25 22:11:54.733, 22 %, 17 %, 18108 MiB, 24564 MiB, 231.62 W
2026/03/25 22:11:55.733, 0 %, 0 %, 18108 MiB, 24564 MiB, 94.85 W
2026/03/25 22:11:56.734, 83 %, 63 %, 18108 MiB, 24564 MiB, 209.10 W
2026/03/25 22:11:57.734, 26 %, 20 %, 18108 MiB, 24564 MiB, 233.29 W
2026/03/25 22:11:58.734, 3 %, 0 %, 18108 MiB, 24564 MiB, 67.95 W
2026/03/25 22:11:59.735, 84 %, 64 %, 18108 MiB, 24564 MiB, 269.80 W
2026/03/25 22:12:00.735, 82 %, 63 %, 18108 MiB, 24564 MiB, 256.23 W
2026/03/25 22:12:01.735, 0 %, 0 %, 18108 MiB, 24564 MiB, 108.67 W
2026/03/25 22:12:02.736, 82 %, 63 %, 18108 MiB, 24564 MiB, 186.64 W
2026/03/25 22:12:03.736, 84 %, 64 %, 18108 MiB, 24564 MiB, 257.02 W
2026/03/25 22:12:04.736, 84 %, 64 %, 18108 MiB, 24564 MiB, 256.70 W
2026/03/25 22:12:05.737, 0 %, 0 %, 18108 MiB, 24564 MiB, 149.34 W
2026/03/25 22:12:06.737, 84 %, 64 %, 18108 MiB, 24564 MiB, 178.65 W
2026/03/25 22:12:07.737, 83 %, 63 %, 18108 MiB, 24564 MiB, 256.36 W
2026/03/25 22:12:08.738, 84 %, 64 %, 18108 MiB, 24564 MiB, 257.03 W
2026/03/25 22:12:09.738, 0 %, 0 %, 18108 MiB, 24564 MiB, 176.83 W
2026/03/25 22:12:10.738, 0 %, 0 %, 18108 MiB, 24564 MiB, 102.63 W
2026/03/25 22:12:11.739, 84 %, 64 %, 18108 MiB, 24564 MiB, 257.89 W
