timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/03/25 21:50:11.839, 0 %, 0 %, 18710 MiB, 24564 MiB, 5.46 W
2026/03/25 21:50:12.840, 0 %, 0 %, 18710 MiB, 24564 MiB, 5.46 W
2026/03/25 21:50:13.840, 0 %, 0 %, 18710 MiB, 24564 MiB, 5.29 W
2026/03/25 21:50:14.840, 0 %, 0 %, 18710 MiB, 24564 MiB, 5.39 W
2026/03/25 21:50:15.841, 0 %, 0 %, 18710 MiB, 24564 MiB, 5.56 W
2026/03/25 21:50:16.842, 0 %, 0 %, 18710 MiB, 24564 MiB, 5.64 W
2026/03/25 21:50:17.842, 0 %, 0 %, 18710 MiB, 24564 MiB, 5.67 W
2026/03/25 21:50:18.842, 0 %, 0 %, 18710 MiB, 24564 MiB, 5.77 W
2026/03/25 21:50:19.843, 0 %, 0 %, 18710 MiB, 24564 MiB, 5.61 W
2026/03/25 21:50:20.843, 0 %, 0 %, 18710 MiB, 24564 MiB, 5.26 W
2026/03/25 21:50:21.843, 0 %, 0 %, 18710 MiB, 24564 MiB, 4.95 W
2026/03/25 21:50:22.844, 0 %, 0 %, 18710 MiB, 24564 MiB, 4.94 W
2026/03/25 21:50:23.844, 0 %, 0 %, 18710 MiB, 24564 MiB, 5.25 W
2026/03/25 21:50:24.844, 95 %, 97 %, 18712 MiB, 24564 MiB, 145.11 W
2026/03/25 21:50:25.845, 94 %, 96 %, 18712 MiB, 24564 MiB, 328.58 W
2026/03/25 21:50:26.845, 94 %, 96 %, 18712 MiB, 24564 MiB, 331.81 W
2026/03/25 21:50:27.845, 94 %, 96 %, 18712 MiB, 24564 MiB, 332.25 W
2026/03/25 21:50:28.846, 94 %, 96 %, 18712 MiB, 24564 MiB, 333.23 W
2026/03/25 21:50:29.846, 94 %, 96 %, 18712 MiB, 24564 MiB, 336.31 W
2026/03/25 21:50:30.846, 94 %, 96 %, 18712 MiB, 24564 MiB, 335.23 W
2026/03/25 21:50:31.846, 95 %, 97 %, 18712 MiB, 24564 MiB, 333.48 W
2026/03/25 21:50:32.847, 95 %, 97 %, 18712 MiB, 24564 MiB, 336.63 W
2026/03/25 21:50:33.847, 95 %, 97 %, 18712 MiB, 24564 MiB, 336.67 W
2026/03/25 21:50:34.847, 94 %, 96 %, 18712 MiB, 24564 MiB, 337.25 W
2026/03/25 21:50:35.848, 94 %, 96 %, 18712 MiB, 24564 MiB, 337.42 W
2026/03/25 21:50:36.848, 94 %, 96 %, 18712 MiB, 24564 MiB, 337.78 W
2026/03/25 21:50:37.848, 95 %, 97 %, 18712 MiB, 24564 MiB, 335.78 W
2026/03/25 21:50:38.849, 95 %, 97 %, 18712 MiB, 24564 MiB, 338.55 W
2026/03/25 21:50:39.849, 95 %, 97 %, 18712 MiB, 24564 MiB, 339.02 W
2026/03/25 21:50:40.849, 95 %, 97 %, 18712 MiB, 24564 MiB, 339.17 W
2026/03/25 21:50:41.849, 94 %, 96 %, 18712 MiB, 24564 MiB, 339.89 W
2026/03/25 21:50:42.850, 0 %, 0 %, 18712 MiB, 24564 MiB, 117.95 W
2026/03/25 21:50:43.850, 95 %, 97 %, 18712 MiB, 24564 MiB, 255.24 W
2026/03/25 21:50:44.850, 94 %, 96 %, 18712 MiB, 24564 MiB, 335.99 W
2026/03/25 21:50:45.851, 94 %, 96 %, 18712 MiB, 24564 MiB, 338.60 W
2026/03/25 21:50:46.851, 94 %, 96 %, 18712 MiB, 24564 MiB, 339.73 W
2026/03/25 21:50:47.851, 94 %, 96 %, 18712 MiB, 24564 MiB, 340.12 W
2026/03/25 21:50:48.852, 94 %, 96 %, 18712 MiB, 24564 MiB, 340.02 W
2026/03/25 21:50:49.852, 94 %, 96 %, 18712 MiB, 24564 MiB, 340.38 W
2026/03/25 21:50:50.852, 94 %, 96 %, 18712 MiB, 24564 MiB, 338.81 W
2026/03/25 21:50:51.853, 94 %, 96 %, 18712 MiB, 24564 MiB, 341.63 W
2026/03/25 21:50:52.853, 94 %, 96 %, 18712 MiB, 24564 MiB, 341.62 W
2026/03/25 21:50:53.853, 94 %, 96 %, 18712 MiB, 24564 MiB, 341.87 W
2026/03/25 21:50:54.853, 94 %, 96 %, 18712 MiB, 24564 MiB, 342.04 W
2026/03/25 21:50:55.854, 94 %, 96 %, 18712 MiB, 24564 MiB, 342.51 W
2026/03/25 21:50:56.854, 94 %, 96 %, 18712 MiB, 24564 MiB, 340.18 W
2026/03/25 21:50:57.854, 94 %, 96 %, 18712 MiB, 24564 MiB, 343.45 W
2026/03/25 21:50:58.855, 94 %, 96 %, 18712 MiB, 24564 MiB, 343.97 W
2026/03/25 21:50:59.855, 94 %, 96 %, 18712 MiB, 24564 MiB, 344.86 W
2026/03/25 21:51:00.855, 0 %, 0 %, 18712 MiB, 24564 MiB, 110.80 W
2026/03/25 21:51:01.856, 95 %, 96 %, 18712 MiB, 24564 MiB, 287.40 W
2026/03/25 21:51:02.857, 94 %, 96 %, 18712 MiB, 24564 MiB, 341.12 W
2026/03/25 21:51:03.857, 95 %, 97 %, 18712 MiB, 24564 MiB, 343.70 W
2026/03/25 21:51:04.858, 95 %, 97 %, 18712 MiB, 24564 MiB, 344.60 W
2026/03/25 21:51:05.858, 95 %, 97 %, 18712 MiB, 24564 MiB, 345.22 W
2026/03/25 21:51:06.858, 95 %, 97 %, 18712 MiB, 24564 MiB, 345.90 W
2026/03/25 21:51:07.859, 95 %, 97 %, 18712 MiB, 24564 MiB, 346.17 W
2026/03/25 21:51:08.859, 94 %, 96 %, 18712 MiB, 24564 MiB, 344.16 W
2026/03/25 21:51:09.859, 94 %, 96 %, 18712 MiB, 24564 MiB, 347.37 W
2026/03/25 21:51:10.860, 95 %, 97 %, 18712 MiB, 24564 MiB, 347.06 W
2026/03/25 21:51:11.860, 95 %, 97 %, 18712 MiB, 24564 MiB, 347.45 W
2026/03/25 21:51:12.860, 95 %, 97 %, 18712 MiB, 24564 MiB, 347.56 W
2026/03/25 21:51:13.861, 95 %, 97 %, 18712 MiB, 24564 MiB, 348.31 W
2026/03/25 21:51:14.861, 94 %, 96 %, 18712 MiB, 24564 MiB, 346.41 W
2026/03/25 21:51:15.861, 95 %, 97 %, 18712 MiB, 24564 MiB, 348.58 W
2026/03/25 21:51:16.862, 95 %, 97 %, 18712 MiB, 24564 MiB, 349.74 W
2026/03/25 21:51:17.862, 95 %, 97 %, 18712 MiB, 24564 MiB, 349.27 W
2026/03/25 21:51:18.862, 94 %, 96 %, 18712 MiB, 24564 MiB, 349.70 W
2026/03/25 21:51:19.863, 0 %, 0 %, 18712 MiB, 24564 MiB, 252.65 W
2026/03/25 21:51:20.864, 88 %, 40 %, 18712 MiB, 24564 MiB, 145.04 W
2026/03/25 21:51:21.864, 94 %, 96 %, 18712 MiB, 24564 MiB, 347.95 W
2026/03/25 21:51:22.864, 94 %, 96 %, 18712 MiB, 24564 MiB, 348.67 W
2026/03/25 21:51:23.865, 93 %, 94 %, 18712 MiB, 24564 MiB, 346.76 W
2026/03/25 21:51:24.868, 95 %, 97 %, 18712 MiB, 24564 MiB, 348.50 W
2026/03/25 21:51:25.868, 95 %, 97 %, 18712 MiB, 24564 MiB, 350.22 W
2026/03/25 21:51:26.869, 94 %, 96 %, 18712 MiB, 24564 MiB, 350.68 W
2026/03/25 21:51:27.869, 94 %, 96 %, 18712 MiB, 24564 MiB, 350.98 W
2026/03/25 21:51:28.869, 94 %, 96 %, 18712 MiB, 24564 MiB, 350.97 W
2026/03/25 21:51:29.870, 91 %, 92 %, 18712 MiB, 24564 MiB, 349.12 W
2026/03/25 21:51:30.870, 95 %, 97 %, 18712 MiB, 24564 MiB, 351.94 W
2026/03/25 21:51:31.870, 95 %, 97 %, 18712 MiB, 24564 MiB, 352.04 W
2026/03/25 21:51:32.870, 94 %, 96 %, 18712 MiB, 24564 MiB, 352.04 W
2026/03/25 21:51:33.871, 94 %, 96 %, 18712 MiB, 24564 MiB, 352.67 W
2026/03/25 21:51:34.871, 94 %, 96 %, 18712 MiB, 24564 MiB, 353.10 W
2026/03/25 21:51:35.871, 91 %, 92 %, 18712 MiB, 24564 MiB, 351.01 W
2026/03/25 21:51:36.872, 95 %, 97 %, 18712 MiB, 24564 MiB, 353.70 W
2026/03/25 21:51:37.872, 94 %, 96 %, 18712 MiB, 24564 MiB, 353.85 W
2026/03/25 21:51:38.872, 0 %, 0 %, 18712 MiB, 24564 MiB, 124.53 W
2026/03/25 21:51:39.873, 94 %, 96 %, 18714 MiB, 24564 MiB, 281.77 W
2026/03/25 21:51:40.873, 94 %, 96 %, 18714 MiB, 24564 MiB, 351.44 W
2026/03/25 21:51:41.874, 94 %, 96 %, 18714 MiB, 24564 MiB, 350.40 W
2026/03/25 21:51:42.874, 95 %, 97 %, 18714 MiB, 24564 MiB, 350.75 W
2026/03/25 21:51:43.874, 95 %, 97 %, 18714 MiB, 24564 MiB, 353.15 W
2026/03/25 21:51:44.875, 94 %, 96 %, 18714 MiB, 24564 MiB, 353.79 W
2026/03/25 21:51:45.875, 94 %, 96 %, 18714 MiB, 24564 MiB, 353.87 W
2026/03/25 21:51:46.875, 94 %, 96 %, 18714 MiB, 24564 MiB, 354.32 W
2026/03/25 21:51:47.876, 93 %, 95 %, 18714 MiB, 24564 MiB, 352.46 W
2026/03/25 21:51:48.876, 95 %, 97 %, 18714 MiB, 24564 MiB, 353.29 W
2026/03/25 21:51:49.876, 95 %, 97 %, 18714 MiB, 24564 MiB, 355.49 W
2026/03/25 21:51:50.877, 94 %, 96 %, 18714 MiB, 24564 MiB, 355.72 W
2026/03/25 21:51:51.877, 94 %, 96 %, 18714 MiB, 24564 MiB, 356.08 W
2026/03/25 21:51:52.877, 94 %, 96 %, 18714 MiB, 24564 MiB, 356.17 W
2026/03/25 21:51:53.878, 92 %, 94 %, 18714 MiB, 24564 MiB, 354.02 W
2026/03/25 21:51:54.878, 94 %, 96 %, 18714 MiB, 24564 MiB, 355.32 W
2026/03/25 21:51:55.878, 94 %, 96 %, 18714 MiB, 24564 MiB, 356.92 W
2026/03/25 21:51:56.878, 95 %, 97 %, 18714 MiB, 24564 MiB, 356.97 W
2026/03/25 21:51:57.879, 95 %, 97 %, 18714 MiB, 24564 MiB, 357.00 W
2026/03/25 21:51:58.879, 95 %, 97 %, 18714 MiB, 24564 MiB, 357.44 W
2026/03/25 21:51:59.879, 94 %, 96 %, 18714 MiB, 24564 MiB, 354.98 W
2026/03/25 21:52:00.880, 0 %, 0 %, 18714 MiB, 24564 MiB, 204.21 W
2026/03/25 21:52:01.880, 94 %, 55 %, 18714 MiB, 24564 MiB, 186.35 W
2026/03/25 21:52:02.880, 95 %, 97 %, 18714 MiB, 24564 MiB, 350.90 W
