timestamp_utc,task_id,family,description,repeat_index,http_status,success,max_tokens,prompt_chars,context_file_count,prompt_tokens,completion_tokens,total_tokens,finish_reason,elapsed_ms,network_retry_count,prompt_ms,predicted_ms,predicted_per_second,reasoning_content_length,content_length,reasoning_preview,content_preview,error_message
2026-03-26T01:50:42.050807+00:00,java_null_nested_config,java,Optional nested config causes startup-time null handling bug.,1,200,True,900,2152,4,459,761,1220,stop,19156.359,0,243.536,17757.715,42.85461276971728,0,3340,,"### Highest-Risk Correctness Bug\n\n**Location:** `src/main/java/com/example/config/DataSourceFactory.java`, line 6 (`buildJdbcUrl` method).\n\n**Issue:** `NullPointerException` (NPE) during application startup.\n\n**Root Cause:**\nThe method `buildJdbcUrl` performs a chained method call on potentially null objects without null checks:\n1.  `config.getDatabase()` can return `null` if the `AppConfig` was n",
2026-03-26T01:51:00.016106+00:00,java_transaction_partial_commit,java,Order update spans multiple repositories without a transaction boundary.,1,200,True,1000,2332,4,458,715,1173,stop,17964.22,0,196.452,16674.429,42.8800290552678,0,3412,,### Code Review: `java_transaction_partial_commit`\n\n#### 1. Root Cause Analysis\nThe `confirm` method in `OrderService` executes three distinct repository operations sequentially:\n1.  `inventoryRepository.reserve(...)`\n2.  `auditRepository.record(...)`\n3.  `orderRepository.markConfirmed(...)`\n\n**The Bug:** There is no transactional boundary wrapping these operations. If the system uses a standard d,
2026-03-26T01:51:19.555177+00:00,java_path_body_id_mismatch,java,Controller trusts request body identifier over path identifier.,1,200,True,900,2399,3,473,782,1255,stop,19538.029,0,198.792,18240.335,42.87201962025369,0,3144,,"### Code Review: Critical Security Vulnerability\n\n**Severity:** Critical (IDOR / Privilege Escalation)\n**Root Cause:** The `AccountController` ignores the `pathAccountId` (which is typically protected by authentication/authorization filters) and blindly trusts the `accountId` provided in the request body.\n\n#### Analysis\nIn a standard RESTful design, the path parameter (e.g., `/accounts/{id}`) is t",
2026-03-26T01:51:38.139041+00:00,java_audit_success_on_failure,java,Audit log currently records a successful change even when the write fails.,1,200,True,1000,1956,3,384,742,1126,stop,18589.374,0,157.033,17307.006,42.87281116098301,0,3235,,"### Code Review: Audit Consistency Bug\n\n**Severity:** Critical (Data Integrity / Compliance)\n**Root Cause:** The `changeStatus` method in `ProfileService` records a successful audit event in the `finally` block. This block executes regardless of whether the `try` block succeeds or throws an exception. If `profileRepository.save(profile)` fails (e.g., database constraint violation, network timeout)",
2026-03-26T01:52:00.422612+00:00,java_pagination_boundary,java,Pagination code has an index boundary bug and unstable empty-page behavior.,1,200,True,900,1933,3,408,900,1308,length,22287.056,0,180.431,21004.056,42.84886690456358,0,3362,,"### Code Review: Pagination Boundary Bug\n\n#### 1. Root Cause Analysis\nThere is a **contract mismatch** between `UserQueryService` and `UserRepository` regarding index boundaries, combined with a **missing boundary check** in the service layer.\n\n*   **The Contract Mismatch:**\n    *   `UserRepository.findRange` is documented (via parameter names) and implemented to accept `endInclusive`.\n    *   `In",
2026-03-26T01:52:26.290650+00:00,java_optimistic_lock_missing,java,Version field exists but update flow does not actually enforce optimistic locking.,1,200,True,1050,2414,4,518,1050,1568,length,25867.683,0,242.272,24530.333,42.804147827915756,0,4723,,"### Code Review: Optimistic Locking Bypass\n\n**Root Cause:**\nThe `OrderService.approve()` method fails to enforce optimistic locking because it does not pass the **current version** of the entity to the update operation.\n\n1.  **Missing Check:** The service reads the order, modifies the status, and increments the version locally (`order.getVersion() + 1`).\n2.  **Race Condition:** If two threads read",
2026-03-26T01:52:39.315922+00:00,java_enum_db_compat,java,Database enum values no longer match Java enum names after a migration.,1,200,True,1000,1635,4,348,504,852,stop,13020.998,0,156.16,11756.682,42.86923810646575,0,2308,,"### Root Cause Analysis\n\nThe migration script `V42__payment_state_lowercase.sql` converts all existing database `state` values to lowercase (e.g., `PENDING` becomes `pending`).\n\nHowever, the Java `PaymentState` enum defines constants in uppercase (`PENDING`, `PROCESSING`, `COMPLETED`).\n\nIn `PaymentMapper.java`, the method `toDomain` uses `PaymentState.valueOf(record.getState())`.\n- `Enum.valueOf(S",
2026-03-26T01:53:02.546747+00:00,java_soft_delete_unique_email,java,Soft-deleted rows still participate in uniqueness checks and block re-registration.,1,200,True,950,2018,4,410,939,1349,stop,23226.585,0,180.391,21932.397,42.81337785377494,0,3993,,"### Code Review: Soft Delete Uniqueness Bug\n\n**Highest-Risk Bug:**\nThe `existsByEmail` check in `UserService` (and its implementation in `JdbcUserRepository`) does not account for the `deleted_at` column added in migration `V18`. Consequently, a soft-deleted user (where `deleted_at` is not null) will still cause `existsByEmail` to return `true`, blocking a legitimate new registration with the same",
2026-03-26T01:53:40.854987+00:00,ts_boot_restore_consistency,ts,Boot-time restore can expose an inconsistent running state before threads are restored.,1,200,True,1250,86231,6,21368,1081,22449,stop,38302.641,0,9182.786,27027.786,39.995876835786696,0,4337,,"### Root Cause Analysis\n\nThe highest-risk bug is in `apps/game-runtime/src/runtime/GameRuntimeServer.ts` within the `restoreSession` method.\n\n**The Bug:**\nWhen the runtime restores a session from disk (`restoreSession`), it correctly restores the `Simulation` state (agents, world, tick) and the `threadIds` (mapping agent IDs to Codex thread IDs). However, it **fails to restore the `threadToAgentId",
2026-03-26T01:54:25.609305+00:00,ts_runtime_metrics_protocol,ts,Runtime metrics exist server-side but are not exposed to the client in a protocol-first way.,1,200,True,1250,98189,7,24301,1250,25551,length,44749.08,0,10595.228,31558.914,39.60846054461823,0,5169,,"To expose runtime metrics to the client HUD in a protocol-first manner while maintaining simulation authority in the runtime, we need to:\n\n1.  **Extend the Protocol**: Add a new `runtime.metrics` server message type to `packages/protocol/src/messages.ts`.\n2.  **Update Runtime**: Modify `apps/game-runtime/src/runtime/GameRuntimeServer.ts` to emit these metrics whenever the session state or world sn",
2026-03-26T01:54:52.100357+00:00,java_idempotency_payment_callback,java,Payment callback handler applies duplicate provider events more than once.,1,200,True,1050,3025,5,650,1050,1700,length,26487.351,0,355.695,24568.104,42.73834073642801,0,4365,,"### Code Review: Idempotency Bug in Payment Callback\n\n**Highest-Risk Bug:**\nThe `PaymentCallbackService.onCallback` method lacks idempotency checks. If the payment provider retries the callback (a common occurrence in distributed systems due to network timeouts), the service will:\n1.  Re-apply the `markPaid` logic (potentially overwriting data or triggering side effects if `markPaid` were more com",
2026-03-26T01:55:18.049772+00:00,java_outbox_publish_before_commit,java,Domain event is published inline before the database write is durably committed.,1,200,True,1050,2028,3,409,1050,1459,length,25947.567,0,183.831,24557.46,42.75686492006909,0,4722,,### Code Review: `java_outbox_publish_before_commit`\n\n#### 1. Root Cause Analysis\nThe critical consistency bug is in **`InvoiceService.approve()`**.\n\n*   **Current Flow:**\n    1.  Load Invoice.\n    2.  Modify Invoice state (`invoice.approve`).\n    3.  **Publish Domain Event** (`domainEventPublisher.publish`).\n    4.  Persist Invoice (`invoiceRepository.save`).\n*   **The Risk:** If the system crash,
2026-03-26T01:55:33.672078+00:00,java_cache_stale_after_write,java,Profile update writes to DB but leaves the cache stale on the read path.,1,200,True,950,2268,3,464,612,1076,stop,15621.179,0,199.857,14306.955,42.77639791276341,0,2729,,### Code Review: `java_cache_stale_after_write`\n\n#### 1. Root Cause Analysis\nThe bug is located in `ProfileService.updateDisplayName`.\n- **Current Behavior**: The method updates the database (`profileRepository.save`) but **never invalidates or updates the cache**.\n- **Consequence**: Any subsequent call to `get(profileId)` will return the stale `ProfileView` from the cache (the old display name) u,
2026-03-26T01:55:52.065749+00:00,java_csv_import_partial_batch,java,CSV batch import persists rows incrementally before the full batch is validated.,1,200,True,1100,1981,3,411,732,1143,stop,18391.979,0,180.719,17109.421,42.78344661692527,0,3083,,"### Code Review: `java_csv_import_partial_batch`\n\n#### 1. Highest-Risk Data Consistency Bug\n**Location:** `src/main/java/com/example/importer/UserImportService.java`, method `importCsv`.\n\n**Root Cause:**\nThe service performs **immediate persistence** inside the iteration loop (`userRepository.insert`) before validating the entire batch.\n- If the CSV contains 100 rows and the 50th row has a missing",
2026-03-26T01:56:17.945792+00:00,java_retry_duplicate_side_effect,java,Retry wrapper around a remote call duplicates the user-visible side effect.,1,200,True,1050,2081,4,431,1050,1481,length,25877.636,0,182.366,24557.67,42.75649929329615,0,4548,,"### Code Review: `java_retry_duplicate_side_effect`\n\n#### 1. Highest-Risk Bug\n**Non-Idempotent Side Effects within a Retry Block.**\n\nIn `InvoiceNotificationService.java`, the `send` method wraps **both** `invoiceGateway.markSent(invoiceId)` and `emailGateway.sendInvoice(invoiceId)` inside the `retryExecutor.run()` block.\n\nIf the `emailGateway.sendInvoice()` call fails (e.g., network timeout) but `",
2026-03-26T01:56:33.035422+00:00,java_permission_scope_trust_bug,java,Service trusts orgId from request payload instead of the authenticated operator context.,1,200,True,1000,1904,3,407,589,996,stop,15085.328,0,180.98,13765.682,42.78756403060887,0,2560,,"### Security Bug Analysis\n\n**Highest-Risk Bug:** **Insecure Direct Object Reference (IDOR) / Privilege Escalation via Trust Boundary Violation.**\n\nIn `ReportController.java`, the `generate` method passes `request.getOrgId()` directly to the service layer. This `orgId` comes from the request payload (user-controlled input). The `UserSession` object, which represents the authenticated context, alrea",
2026-03-26T01:57:04.935122+00:00,script_python_csv_reconcile,script,Write a Python reconciliation script for two daily business CSV exports with duplicate and blank-row edge cases.,1,200,True,1300,1722,3,596,1300,1896,length,31898.015,0,338.058,30426.22,42.72630645541904,0,6196,,"Here is the production-safe reconciliation script. It is designed to be a single-file utility (`reconcile.py`) that handles the specific edge cases (BOM, duplicates, blank lines) and implements the matching logic defined in `docs/reconcile_rules.md`.\n\n### Script: `reconcile.py`\n\n```python\n#!/usr/bin/env python3\n""""""\nProduction Reconciliation Script for Finance Exports.\nHandles BOM, duplicates, blan",
2026-03-26T01:57:33.276327+00:00,script_bash_log_triage,script,Write a shell script to summarize recurring production errors from mixed application logs.,1,200,True,1150,1627,2,471,1150,1621,length,28338.577,0,205.807,26915.657,42.72606089459381,0,3993,,"Here is the production-safe Bash script to triage and summarize recurring error signatures.\n\n### Solution: `scripts/log_triage.sh`\n\nThis script accepts a list of log files (plain or gzipped), filters out noise, normalizes error signatures by stripping variable data (IDs, emails, timestamps), and outputs a sorted frequency count.\n\n```bash\n#!/usr/bin/env bash\n#\n# log_triage.sh - Summarize top recurr",
2026-03-26T01:58:01.974472+00:00,script_python_jsonl_replay_analyzer,script,Write a small Python analyzer for replay JSONL files with malformed-line tolerance.,1,200,True,1300,2243,3,518,1161,1679,stop,28695.824,0,209.376,27164.39,42.739778069744986,0,4683,,"Here is the production-safe, dependency-free Python script designed to handle multi-GB JSONL files with malformed-line tolerance.\n\n### Solution: `analyze_replay.py`\n\nThis script uses a streaming approach (line-by-line reading) to ensure memory usage remains constant regardless of file size. It aggregates statistics in memory (which is safe as the number of unique sessions is typically orders of ma",
2026-03-26T01:58:25.089974+00:00,script_bash_atomic_deploy,script,Write a deploy script that performs atomic release swap with health check and rollback.,1,200,True,1250,1279,2,292,931,1223,stop,23110.178,0,131.036,21765.728,42.77366693179295,0,3194,,"Here is the production-safe Bash deployment script adhering to your constraints.\n\n### File: `deploy.sh`\n\n```bash\n#!/usr/bin/env bash\nset -euo pipefail\n\n# Configuration\nreadonly APP_ROOT=""/srv/myapp""\nreadonly RELEASES_DIR=""${APP_ROOT}/releases""\nreadonly CURRENT_LINK=""${APP_ROOT}/current""\nreadonly LOG_FILE=""${APP_ROOT}/deploy.log""\nreadonly HEALTH_URL=""http://127.0.0.1:8080/healthz""\nreadonly HEALTH_T",
