timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/03/25 22:07:07.302, 0 %, 0 %, 18084 MiB, 24564 MiB, 6.44 W
2026/03/25 22:07:08.303, 0 %, 0 %, 18084 MiB, 24564 MiB, 6.54 W
2026/03/25 22:07:09.303, 0 %, 0 %, 18084 MiB, 24564 MiB, 6.54 W
2026/03/25 22:07:10.304, 0 %, 0 %, 18084 MiB, 24564 MiB, 6.30 W
2026/03/25 22:07:11.304, 0 %, 0 %, 18084 MiB, 24564 MiB, 5.92 W
2026/03/25 22:07:12.304, 0 %, 0 %, 18084 MiB, 24564 MiB, 5.84 W
2026/03/25 22:07:13.305, 0 %, 0 %, 18084 MiB, 24564 MiB, 5.95 W
2026/03/25 22:07:14.305, 0 %, 0 %, 18084 MiB, 24564 MiB, 5.78 W
2026/03/25 22:07:15.305, 0 %, 0 %, 18084 MiB, 24564 MiB, 5.45 W
2026/03/25 22:07:16.306, 0 %, 0 %, 18084 MiB, 24564 MiB, 5.28 W
2026/03/25 22:07:17.306, 0 %, 0 %, 18084 MiB, 24564 MiB, 5.28 W
2026/03/25 22:07:18.306, 0 %, 0 %, 18084 MiB, 24564 MiB, 5.30 W
2026/03/25 22:07:19.307, 76 %, 56 %, 18086 MiB, 24564 MiB, 76.74 W
2026/03/25 22:07:20.307, 84 %, 65 %, 18086 MiB, 24564 MiB, 248.82 W
2026/03/25 22:07:21.307, 84 %, 65 %, 18086 MiB, 24564 MiB, 254.85 W
2026/03/25 22:07:22.308, 84 %, 65 %, 18086 MiB, 24564 MiB, 255.79 W
2026/03/25 22:07:23.308, 82 %, 63 %, 18086 MiB, 24564 MiB, 253.20 W
2026/03/25 22:07:24.308, 0 %, 0 %, 18086 MiB, 24564 MiB, 98.23 W
2026/03/25 22:07:25.309, 84 %, 65 %, 18086 MiB, 24564 MiB, 226.67 W
2026/03/25 22:07:26.309, 84 %, 65 %, 18086 MiB, 24564 MiB, 256.79 W
2026/03/25 22:07:27.309, 82 %, 63 %, 18086 MiB, 24564 MiB, 258.70 W
2026/03/25 22:07:28.310, 84 %, 64 %, 18086 MiB, 24564 MiB, 258.40 W
2026/03/25 22:07:29.310, 2 %, 2 %, 18086 MiB, 24564 MiB, 224.95 W
