timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/03/25 22:15:14.268, 0 %, 0 %, 18084 MiB, 24564 MiB, 5.94 W
2026/03/25 22:15:15.268, 0 %, 0 %, 18084 MiB, 24564 MiB, 5.94 W
2026/03/25 22:15:16.269, 0 %, 0 %, 18084 MiB, 24564 MiB, 5.63 W
2026/03/25 22:15:17.269, 0 %, 0 %, 18084 MiB, 24564 MiB, 5.43 W
2026/03/25 22:15:18.269, 0 %, 0 %, 18084 MiB, 24564 MiB, 5.55 W
2026/03/25 22:15:19.270, 0 %, 0 %, 18084 MiB, 24564 MiB, 5.53 W
2026/03/25 22:15:20.270, 0 %, 0 %, 18084 MiB, 24564 MiB, 5.67 W
2026/03/25 22:15:21.270, 0 %, 0 %, 18084 MiB, 24564 MiB, 5.67 W
2026/03/25 22:15:22.271, 0 %, 0 %, 18084 MiB, 24564 MiB, 5.54 W
2026/03/25 22:15:23.271, 0 %, 0 %, 18084 MiB, 24564 MiB, 5.44 W
2026/03/25 22:15:24.272, 0 %, 0 %, 18084 MiB, 24564 MiB, 5.42 W
2026/03/25 22:15:25.272, 0 %, 0 %, 18084 MiB, 24564 MiB, 5.38 W
2026/03/25 22:15:26.272, 0 %, 0 %, 18084 MiB, 24564 MiB, 5.37 W
2026/03/25 22:15:27.273, 76 %, 56 %, 18086 MiB, 24564 MiB, 79.34 W
2026/03/25 22:15:28.273, 84 %, 65 %, 18086 MiB, 24564 MiB, 252.39 W
2026/03/25 22:15:29.273, 84 %, 65 %, 18086 MiB, 24564 MiB, 255.85 W
2026/03/25 22:15:30.274, 84 %, 64 %, 18086 MiB, 24564 MiB, 255.91 W
2026/03/25 22:15:31.274, 82 %, 63 %, 18086 MiB, 24564 MiB, 251.53 W
2026/03/25 22:15:32.274, 31 %, 15 %, 18086 MiB, 24564 MiB, 66.73 W
2026/03/25 22:15:33.303, 84 %, 65 %, 18086 MiB, 24564 MiB, 260.58 W
2026/03/25 22:15:34.303, 84 %, 64 %, 18086 MiB, 24564 MiB, 253.72 W
2026/03/25 22:15:35.303, 83 %, 63 %, 18086 MiB, 24564 MiB, 255.95 W
2026/03/25 22:15:36.304, 84 %, 65 %, 18086 MiB, 24564 MiB, 256.20 W
2026/03/25 22:15:37.304, 0 %, 0 %, 18086 MiB, 24564 MiB, 205.16 W
2026/03/25 22:15:38.304, 85 %, 62 %, 18086 MiB, 24564 MiB, 114.30 W
2026/03/25 22:15:39.305, 84 %, 65 %, 18086 MiB, 24564 MiB, 258.35 W
2026/03/25 22:15:40.305, 84 %, 65 %, 18086 MiB, 24564 MiB, 259.15 W
2026/03/25 22:15:41.305, 84 %, 64 %, 18086 MiB, 24564 MiB, 259.18 W
2026/03/25 22:15:42.306, 84 %, 64 %, 18086 MiB, 24564 MiB, 256.81 W
2026/03/25 22:15:43.306, 0 %, 0 %, 18086 MiB, 24564 MiB, 97.03 W
2026/03/25 22:15:44.307, 82 %, 63 %, 18086 MiB, 24564 MiB, 221.06 W
2026/03/25 22:15:45.307, 84 %, 64 %, 18086 MiB, 24564 MiB, 255.66 W
2026/03/25 22:15:46.307, 84 %, 65 %, 18086 MiB, 24564 MiB, 256.36 W
2026/03/25 22:15:47.308, 84 %, 64 %, 18086 MiB, 24564 MiB, 256.38 W
2026/03/25 22:15:48.308, 45 %, 35 %, 18086 MiB, 24564 MiB, 241.24 W
2026/03/25 22:15:49.308, 21 %, 9 %, 18086 MiB, 24564 MiB, 81.40 W
2026/03/25 22:15:50.309, 84 %, 65 %, 18086 MiB, 24564 MiB, 258.77 W
2026/03/25 22:15:51.310, 83 %, 63 %, 18086 MiB, 24564 MiB, 256.17 W
2026/03/25 22:15:52.311, 84 %, 65 %, 18086 MiB, 24564 MiB, 257.31 W
2026/03/25 22:15:53.311, 84 %, 64 %, 18086 MiB, 24564 MiB, 256.94 W
2026/03/25 22:15:54.311, 0 %, 0 %, 18086 MiB, 24564 MiB, 128.70 W
