timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/03/25 23:51:17.192, 0 %, 0 %, 18324 MiB, 24564 MiB, 7.01 W
2026/03/25 23:51:18.192, 0 %, 0 %, 18324 MiB, 24564 MiB, 6.93 W
2026/03/25 23:51:19.193, 0 %, 0 %, 18324 MiB, 24564 MiB, 7.17 W
2026/03/25 23:51:20.193, 0 %, 0 %, 18324 MiB, 24564 MiB, 7.36 W
2026/03/25 23:51:21.193, 0 %, 0 %, 18324 MiB, 24564 MiB, 7.10 W
2026/03/25 23:51:22.194, 0 %, 0 %, 18324 MiB, 24564 MiB, 6.74 W
2026/03/25 23:51:23.194, 0 %, 0 %, 18324 MiB, 24564 MiB, 6.66 W
2026/03/25 23:51:24.194, 0 %, 0 %, 18324 MiB, 24564 MiB, 6.67 W
2026/03/25 23:51:25.195, 0 %, 0 %, 18324 MiB, 24564 MiB, 6.73 W
2026/03/25 23:51:26.195, 0 %, 0 %, 18324 MiB, 24564 MiB, 6.79 W
2026/03/25 23:51:27.195, 0 %, 0 %, 18324 MiB, 24564 MiB, 6.66 W
2026/03/25 23:51:28.196, 0 %, 0 %, 18324 MiB, 24564 MiB, 6.70 W
2026/03/25 23:51:29.196, 0 %, 0 %, 18328 MiB, 24564 MiB, 6.74 W
2026/03/25 23:51:30.196, 100 %, 49 %, 18328 MiB, 24564 MiB, 287.28 W
2026/03/25 23:51:31.197, 100 %, 46 %, 18332 MiB, 24564 MiB, 441.38 W
2026/03/25 23:51:32.197, 100 %, 39 %, 18340 MiB, 24564 MiB, 423.12 W
2026/03/25 23:51:33.198, 100 %, 36 %, 18346 MiB, 24564 MiB, 409.95 W
2026/03/25 23:51:34.198, 100 %, 34 %, 18354 MiB, 24564 MiB, 401.26 W
2026/03/25 23:51:35.198, 100 %, 32 %, 18360 MiB, 24564 MiB, 391.60 W
2026/03/25 23:51:36.234, 100 %, 31 %, 18366 MiB, 24564 MiB, 384.85 W
2026/03/25 23:51:37.234, 100 %, 31 %, 18372 MiB, 24564 MiB, 383.22 W
2026/03/25 23:51:38.255, 100 %, 29 %, 18378 MiB, 24564 MiB, 378.51 W
2026/03/25 23:51:39.256, 100 %, 30 %, 18382 MiB, 24564 MiB, 373.05 W
2026/03/25 23:51:40.256, 100 %, 28 %, 18388 MiB, 24564 MiB, 381.09 W
2026/03/25 23:51:41.256, 94 %, 25 %, 18392 MiB, 24564 MiB, 364.11 W
2026/03/25 23:51:42.257, 84 %, 20 %, 18398 MiB, 24564 MiB, 358.32 W
2026/03/25 23:51:43.257, 100 %, 26 %, 18402 MiB, 24564 MiB, 355.11 W
2026/03/25 23:51:44.275, 100 %, 25 %, 18406 MiB, 24564 MiB, 361.01 W
