timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/03/25 23:57:51.007, 0 %, 0 %, 22666 MiB, 24564 MiB, 5.91 W
2026/03/25 23:57:52.007, 0 %, 0 %, 22666 MiB, 24564 MiB, 6.15 W
2026/03/25 23:57:53.008, 0 %, 0 %, 22666 MiB, 24564 MiB, 6.03 W
2026/03/25 23:57:54.008, 0 %, 0 %, 22666 MiB, 24564 MiB, 5.77 W
2026/03/25 23:57:55.008, 0 %, 0 %, 22666 MiB, 24564 MiB, 5.79 W
2026/03/25 23:57:56.009, 0 %, 0 %, 22666 MiB, 24564 MiB, 5.70 W
2026/03/25 23:57:57.009, 0 %, 0 %, 22666 MiB, 24564 MiB, 5.59 W
2026/03/25 23:57:58.009, 0 %, 0 %, 22666 MiB, 24564 MiB, 5.57 W
2026/03/25 23:57:59.010, 0 %, 0 %, 22666 MiB, 24564 MiB, 5.66 W
2026/03/25 23:58:00.010, 0 %, 0 %, 22666 MiB, 24564 MiB, 5.72 W
2026/03/25 23:58:01.010, 0 %, 0 %, 22666 MiB, 24564 MiB, 5.43 W
2026/03/25 23:58:02.011, 0 %, 0 %, 22666 MiB, 24564 MiB, 5.27 W
2026/03/25 23:58:03.011, 0 %, 0 %, 22666 MiB, 24564 MiB, 5.31 W
2026/03/25 23:58:04.011, 89 %, 42 %, 22676 MiB, 24564 MiB, 148.51 W
2026/03/25 23:58:05.012, 83 %, 36 %, 22686 MiB, 24564 MiB, 357.85 W
2026/03/25 23:58:06.012, 93 %, 41 %, 22696 MiB, 24564 MiB, 376.85 W
2026/03/25 23:58:07.013, 92 %, 40 %, 22706 MiB, 24564 MiB, 373.36 W
2026/03/25 23:58:08.013, 94 %, 42 %, 22714 MiB, 24564 MiB, 381.21 W
2026/03/25 23:58:09.013, 93 %, 39 %, 22724 MiB, 24564 MiB, 377.14 W
2026/03/25 23:58:10.014, 91 %, 38 %, 22732 MiB, 24564 MiB, 367.16 W
2026/03/25 23:58:11.014, 90 %, 36 %, 22740 MiB, 24564 MiB, 368.21 W
2026/03/25 23:58:12.015, 90 %, 37 %, 22748 MiB, 24564 MiB, 368.50 W
2026/03/25 23:58:13.015, 94 %, 38 %, 22756 MiB, 24564 MiB, 365.60 W
2026/03/25 23:58:14.015, 89 %, 33 %, 22764 MiB, 24564 MiB, 370.15 W
2026/03/25 23:58:15.016, 94 %, 37 %, 22770 MiB, 24564 MiB, 369.01 W
2026/03/25 23:58:16.016, 94 %, 37 %, 22778 MiB, 24564 MiB, 371.17 W
2026/03/25 23:58:17.016, 94 %, 37 %, 22784 MiB, 24564 MiB, 367.22 W
2026/03/25 23:58:18.051, 94 %, 36 %, 22792 MiB, 24564 MiB, 369.48 W
2026/03/25 23:58:19.051, 93 %, 33 %, 22798 MiB, 24564 MiB, 358.51 W
2026/03/25 23:58:20.051, 93 %, 35 %, 22804 MiB, 24564 MiB, 359.27 W
2026/03/25 23:58:21.052, 93 %, 34 %, 22812 MiB, 24564 MiB, 364.69 W
2026/03/25 23:58:22.052, 93 %, 34 %, 22818 MiB, 24564 MiB, 353.55 W
2026/03/25 23:58:23.054, 86 %, 26 %, 22824 MiB, 24564 MiB, 361.10 W
2026/03/25 23:58:24.054, 90 %, 28 %, 22830 MiB, 24564 MiB, 361.23 W
2026/03/25 23:58:25.055, 85 %, 25 %, 22836 MiB, 24564 MiB, 346.13 W
2026/03/25 23:58:26.092, 89 %, 26 %, 22842 MiB, 24564 MiB, 354.42 W
2026/03/25 23:58:27.092, 92 %, 32 %, 22848 MiB, 24564 MiB, 338.77 W
2026/03/25 23:58:28.093, 92 %, 31 %, 22854 MiB, 24564 MiB, 345.39 W
2026/03/25 23:58:29.101, 96 %, 37 %, 22858 MiB, 24564 MiB, 332.42 W
2026/03/25 23:58:30.101, 84 %, 44 %, 22858 MiB, 24564 MiB, 302.84 W
2026/03/25 23:58:31.102, 83 %, 44 %, 22858 MiB, 24564 MiB, 308.05 W
2026/03/25 23:58:32.102, 84 %, 44 %, 22858 MiB, 24564 MiB, 307.16 W
2026/03/25 23:58:33.102, 84 %, 44 %, 22858 MiB, 24564 MiB, 310.86 W
2026/03/25 23:58:34.103, 83 %, 44 %, 22858 MiB, 24564 MiB, 311.24 W
2026/03/25 23:58:35.103, 84 %, 44 %, 22858 MiB, 24564 MiB, 308.89 W
2026/03/25 23:58:36.103, 84 %, 44 %, 22858 MiB, 24564 MiB, 310.97 W
2026/03/25 23:58:37.104, 80 %, 42 %, 22858 MiB, 24564 MiB, 308.83 W
2026/03/25 23:58:38.104, 84 %, 44 %, 22858 MiB, 24564 MiB, 308.64 W
2026/03/25 23:58:39.104, 84 %, 44 %, 22858 MiB, 24564 MiB, 310.73 W
2026/03/25 23:58:40.105, 84 %, 44 %, 22858 MiB, 24564 MiB, 309.06 W
2026/03/25 23:58:41.105, 83 %, 44 %, 22858 MiB, 24564 MiB, 311.71 W
2026/03/25 23:58:42.105, 83 %, 44 %, 22858 MiB, 24564 MiB, 312.34 W
2026/03/25 23:58:43.105, 83 %, 44 %, 22858 MiB, 24564 MiB, 309.80 W
2026/03/25 23:58:44.105, 0 %, 0 %, 22858 MiB, 24564 MiB, 223.44 W
2026/03/25 23:58:45.106, 0 %, 0 %, 22858 MiB, 24564 MiB, 113.78 W
2026/03/25 23:58:46.106, 0 %, 0 %, 22858 MiB, 24564 MiB, 66.50 W
2026/03/25 23:58:47.106, 66 %, 13 %, 22858 MiB, 24564 MiB, 85.48 W
2026/03/25 23:58:48.107, 94 %, 43 %, 22858 MiB, 24564 MiB, 389.33 W
2026/03/25 23:58:49.107, 93 %, 41 %, 22858 MiB, 24564 MiB, 380.63 W
2026/03/25 23:58:50.107, 93 %, 41 %, 22858 MiB, 24564 MiB, 382.58 W
2026/03/25 23:58:51.107, 92 %, 40 %, 22858 MiB, 24564 MiB, 376.47 W
2026/03/25 23:58:52.108, 96 %, 41 %, 22858 MiB, 24564 MiB, 378.93 W
2026/03/25 23:58:53.108, 91 %, 37 %, 22858 MiB, 24564 MiB, 382.31 W
2026/03/25 23:58:54.108, 91 %, 36 %, 22858 MiB, 24564 MiB, 374.25 W
2026/03/25 23:58:55.108, 90 %, 35 %, 22858 MiB, 24564 MiB, 379.35 W
2026/03/25 23:58:56.113, 95 %, 39 %, 22858 MiB, 24564 MiB, 374.40 W
2026/03/25 23:58:57.113, 92 %, 37 %, 22858 MiB, 24564 MiB, 373.61 W
2026/03/25 23:58:58.114, 85 %, 30 %, 22858 MiB, 24564 MiB, 362.56 W
2026/03/25 23:58:59.114, 94 %, 37 %, 22858 MiB, 24564 MiB, 374.03 W
2026/03/25 23:59:00.114, 83 %, 27 %, 22858 MiB, 24564 MiB, 363.71 W
2026/03/25 23:59:01.114, 88 %, 30 %, 22858 MiB, 24564 MiB, 360.81 W
2026/03/25 23:59:02.115, 94 %, 35 %, 22858 MiB, 24564 MiB, 363.47 W
2026/03/25 23:59:03.117, 93 %, 32 %, 22858 MiB, 24564 MiB, 359.27 W
2026/03/25 23:59:04.117, 87 %, 31 %, 22858 MiB, 24564 MiB, 367.32 W
2026/03/25 23:59:05.118, 93 %, 34 %, 22858 MiB, 24564 MiB, 357.99 W
2026/03/25 23:59:06.119, 93 %, 34 %, 22858 MiB, 24564 MiB, 363.59 W
2026/03/25 23:59:07.119, 85 %, 30 %, 22858 MiB, 24564 MiB, 360.49 W
2026/03/25 23:59:08.120, 92 %, 29 %, 22858 MiB, 24564 MiB, 351.09 W
2026/03/25 23:59:09.120, 85 %, 25 %, 22858 MiB, 24564 MiB, 361.62 W
2026/03/25 23:59:10.120, 86 %, 25 %, 22858 MiB, 24564 MiB, 353.87 W
2026/03/25 23:59:11.120, 92 %, 31 %, 22858 MiB, 24564 MiB, 356.64 W
2026/03/25 23:59:12.120, 92 %, 31 %, 22858 MiB, 24564 MiB, 359.30 W
2026/03/25 23:59:13.121, 80 %, 26 %, 22862 MiB, 24564 MiB, 354.84 W
2026/03/25 23:59:14.121, 92 %, 30 %, 22868 MiB, 24564 MiB, 351.22 W
2026/03/25 23:59:15.121, 84 %, 30 %, 22872 MiB, 24564 MiB, 350.83 W
2026/03/25 23:59:16.122, 83 %, 43 %, 22872 MiB, 24564 MiB, 317.29 W
2026/03/25 23:59:17.122, 84 %, 43 %, 22872 MiB, 24564 MiB, 318.49 W
2026/03/25 23:59:18.122, 83 %, 43 %, 22872 MiB, 24564 MiB, 318.81 W
2026/03/25 23:59:19.123, 83 %, 43 %, 22872 MiB, 24564 MiB, 316.70 W
2026/03/25 23:59:20.123, 83 %, 43 %, 22872 MiB, 24564 MiB, 317.80 W
2026/03/25 23:59:21.123, 80 %, 41 %, 22872 MiB, 24564 MiB, 316.59 W
2026/03/25 23:59:22.124, 84 %, 43 %, 22872 MiB, 24564 MiB, 317.21 W
2026/03/25 23:59:23.124, 83 %, 43 %, 22872 MiB, 24564 MiB, 319.07 W
2026/03/25 23:59:24.124, 83 %, 43 %, 22872 MiB, 24564 MiB, 317.27 W
2026/03/25 23:59:25.125, 83 %, 43 %, 22872 MiB, 24564 MiB, 318.89 W
2026/03/25 23:59:26.125, 84 %, 43 %, 22872 MiB, 24564 MiB, 319.36 W
2026/03/25 23:59:27.125, 83 %, 43 %, 22872 MiB, 24564 MiB, 297.82 W
2026/03/25 23:59:28.126, 0 %, 0 %, 22872 MiB, 24564 MiB, 103.47 W
2026/03/25 23:59:29.126, 0 %, 0 %, 22872 MiB, 24564 MiB, 71.18 W
2026/03/25 23:59:30.127, 0 %, 0 %, 22872 MiB, 24564 MiB, 64.28 W
2026/03/25 23:59:31.127, 94 %, 45 %, 22872 MiB, 24564 MiB, 110.95 W
2026/03/25 23:59:32.127, 94 %, 43 %, 22872 MiB, 24564 MiB, 399.41 W
2026/03/25 23:59:33.128, 93 %, 42 %, 22872 MiB, 24564 MiB, 394.11 W
2026/03/25 23:59:34.128, 91 %, 39 %, 22872 MiB, 24564 MiB, 395.82 W
2026/03/25 23:59:35.128, 92 %, 40 %, 22872 MiB, 24564 MiB, 393.38 W
2026/03/25 23:59:36.129, 96 %, 41 %, 22872 MiB, 24564 MiB, 393.26 W
2026/03/25 23:59:37.129, 91 %, 37 %, 22872 MiB, 24564 MiB, 392.15 W
2026/03/25 23:59:38.129, 95 %, 40 %, 22872 MiB, 24564 MiB, 379.20 W
2026/03/25 23:59:39.130, 90 %, 37 %, 22872 MiB, 24564 MiB, 385.20 W
2026/03/25 23:59:40.130, 95 %, 39 %, 22872 MiB, 24564 MiB, 373.37 W
2026/03/25 23:59:41.130, 93 %, 37 %, 22872 MiB, 24564 MiB, 383.11 W
