timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/03/25 23:37:25.491, 0 %, 0 %, 18108 MiB, 24564 MiB, 5.74 W
2026/03/25 23:37:26.491, 0 %, 0 %, 18108 MiB, 24564 MiB, 5.70 W
2026/03/25 23:37:27.492, 0 %, 0 %, 18108 MiB, 24564 MiB, 5.86 W
2026/03/25 23:37:28.492, 0 %, 0 %, 18108 MiB, 24564 MiB, 5.85 W
2026/03/25 23:37:29.492, 0 %, 0 %, 18108 MiB, 24564 MiB, 5.82 W
2026/03/25 23:37:30.493, 0 %, 0 %, 18108 MiB, 24564 MiB, 6.03 W
2026/03/25 23:37:31.493, 0 %, 0 %, 18108 MiB, 24564 MiB, 5.94 W
2026/03/25 23:37:32.493, 0 %, 0 %, 18108 MiB, 24564 MiB, 5.65 W
2026/03/25 23:37:33.494, 0 %, 0 %, 18108 MiB, 24564 MiB, 5.75 W
2026/03/25 23:37:34.494, 0 %, 0 %, 18108 MiB, 24564 MiB, 5.81 W
2026/03/25 23:37:35.494, 0 %, 0 %, 18108 MiB, 24564 MiB, 5.83 W
2026/03/25 23:37:36.495, 0 %, 0 %, 18108 MiB, 24564 MiB, 5.68 W
2026/03/25 23:37:37.495, 0 %, 0 %, 18108 MiB, 24564 MiB, 5.33 W
2026/03/25 23:37:38.495, 0 %, 0 %, 18108 MiB, 24564 MiB, 5.22 W
2026/03/25 23:37:39.496, 0 %, 0 %, 18108 MiB, 24564 MiB, 5.24 W
2026/03/25 23:37:40.496, 0 %, 0 %, 18108 MiB, 24564 MiB, 5.32 W
2026/03/25 23:37:41.496, 0 %, 0 %, 18108 MiB, 24564 MiB, 5.56 W
2026/03/25 23:37:42.497, 0 %, 0 %, 18108 MiB, 24564 MiB, 5.76 W
2026/03/25 23:37:43.497, 0 %, 0 %, 18108 MiB, 24564 MiB, 5.76 W
2026/03/25 23:37:44.498, 0 %, 0 %, 18108 MiB, 24564 MiB, 5.39 W
2026/03/25 23:37:45.498, 0 %, 0 %, 18108 MiB, 24564 MiB, 5.23 W
2026/03/25 23:37:46.498, 0 %, 0 %, 18108 MiB, 24564 MiB, 5.31 W
2026/03/25 23:37:47.499, 0 %, 0 %, 18108 MiB, 24564 MiB, 5.43 W
2026/03/25 23:37:48.499, 81 %, 62 %, 18108 MiB, 24564 MiB, 107.54 W
2026/03/25 23:37:49.499, 84 %, 65 %, 18108 MiB, 24564 MiB, 254.23 W
2026/03/25 23:37:50.500, 82 %, 63 %, 18108 MiB, 24564 MiB, 255.38 W
2026/03/25 23:37:51.500, 84 %, 64 %, 18108 MiB, 24564 MiB, 256.81 W
2026/03/25 23:37:52.500, 84 %, 64 %, 18108 MiB, 24564 MiB, 257.09 W
2026/03/25 23:37:53.501, 0 %, 0 %, 18108 MiB, 24564 MiB, 84.65 W
2026/03/25 23:37:54.501, 0 %, 0 %, 18108 MiB, 24564 MiB, 64.82 W
2026/03/25 23:37:55.501, 84 %, 64 %, 18108 MiB, 24564 MiB, 143.16 W
2026/03/25 23:37:56.502, 84 %, 65 %, 18108 MiB, 24564 MiB, 255.94 W
2026/03/25 23:37:57.502, 84 %, 65 %, 18108 MiB, 24564 MiB, 258.19 W
2026/03/25 23:37:58.502, 84 %, 65 %, 18108 MiB, 24564 MiB, 259.13 W
2026/03/25 23:37:59.503, 0 %, 0 %, 18108 MiB, 24564 MiB, 150.43 W
2026/03/25 23:38:00.503, 3 %, 0 %, 18108 MiB, 24564 MiB, 67.30 W
2026/03/25 23:38:01.504, 84 %, 65 %, 18108 MiB, 24564 MiB, 270.11 W
2026/03/25 23:38:02.504, 83 %, 64 %, 18108 MiB, 24564 MiB, 253.79 W
2026/03/25 23:38:03.506, 0 %, 0 %, 18108 MiB, 24564 MiB, 93.73 W
2026/03/25 23:38:04.507, 3 %, 0 %, 18108 MiB, 24564 MiB, 88.39 W
