timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/03/25 23:47:21.792, 0 %, 0 %, 22356 MiB, 24564 MiB, 5.65 W
2026/03/25 23:47:22.792, 0 %, 0 %, 22356 MiB, 24564 MiB, 5.61 W
2026/03/25 23:47:23.793, 0 %, 0 %, 22356 MiB, 24564 MiB, 5.67 W
2026/03/25 23:47:24.793, 0 %, 0 %, 22356 MiB, 24564 MiB, 5.74 W
2026/03/25 23:47:25.793, 0 %, 0 %, 22356 MiB, 24564 MiB, 5.84 W
2026/03/25 23:47:26.794, 0 %, 0 %, 22356 MiB, 24564 MiB, 5.97 W
2026/03/25 23:47:27.794, 0 %, 0 %, 22356 MiB, 24564 MiB, 6.05 W
2026/03/25 23:47:28.794, 0 %, 0 %, 22356 MiB, 24564 MiB, 6.10 W
2026/03/25 23:47:29.795, 0 %, 0 %, 22356 MiB, 24564 MiB, 6.11 W
2026/03/25 23:47:30.795, 0 %, 0 %, 22356 MiB, 24564 MiB, 6.23 W
2026/03/25 23:47:31.795, 0 %, 0 %, 22356 MiB, 24564 MiB, 6.25 W
2026/03/25 23:47:32.796, 73 %, 38 %, 22358 MiB, 24564 MiB, 57.72 W
2026/03/25 23:47:33.796, 81 %, 53 %, 22358 MiB, 24564 MiB, 214.65 W
2026/03/25 23:47:34.797, 82 %, 53 %, 22358 MiB, 24564 MiB, 212.55 W
2026/03/25 23:47:35.797, 81 %, 53 %, 22358 MiB, 24564 MiB, 214.38 W
2026/03/25 23:47:36.797, 81 %, 53 %, 22358 MiB, 24564 MiB, 212.82 W
2026/03/25 23:47:37.797, 81 %, 53 %, 22358 MiB, 24564 MiB, 215.72 W
2026/03/25 23:47:38.798, 61 %, 40 %, 22358 MiB, 24564 MiB, 209.30 W
2026/03/25 23:47:39.798, 1 %, 0 %, 22358 MiB, 24564 MiB, 67.31 W
2026/03/25 23:47:40.799, 81 %, 53 %, 22358 MiB, 24564 MiB, 224.55 W
2026/03/25 23:47:41.799, 81 %, 53 %, 22358 MiB, 24564 MiB, 213.85 W
2026/03/25 23:47:42.799, 81 %, 53 %, 22358 MiB, 24564 MiB, 217.48 W
2026/03/25 23:47:43.800, 81 %, 53 %, 22358 MiB, 24564 MiB, 216.00 W
2026/03/25 23:47:44.800, 81 %, 53 %, 22358 MiB, 24564 MiB, 217.78 W
2026/03/25 23:47:45.800, 81 %, 53 %, 22358 MiB, 24564 MiB, 217.14 W
2026/03/25 23:47:46.801, 81 %, 53 %, 22358 MiB, 24564 MiB, 218.26 W
2026/03/25 23:47:47.801, 0 %, 0 %, 22358 MiB, 24564 MiB, 115.37 W
2026/03/25 23:47:48.801, 79 %, 50 %, 22358 MiB, 24564 MiB, 153.56 W
2026/03/25 23:47:49.802, 81 %, 53 %, 22358 MiB, 24564 MiB, 213.73 W
2026/03/25 23:47:50.802, 0 %, 0 %, 22358 MiB, 24564 MiB, 92.24 W
2026/03/25 23:47:51.802, 81 %, 53 %, 22358 MiB, 24564 MiB, 199.27 W
2026/03/25 23:47:52.803, 0 %, 0 %, 22358 MiB, 24564 MiB, 156.78 W
2026/03/25 23:47:53.803, 79 %, 41 %, 22358 MiB, 24564 MiB, 125.02 W
2026/03/25 23:47:54.803, 81 %, 53 %, 22358 MiB, 24564 MiB, 218.28 W
2026/03/25 23:47:55.804, 81 %, 53 %, 22358 MiB, 24564 MiB, 213.52 W
2026/03/25 23:47:56.804, 0 %, 0 %, 22358 MiB, 24564 MiB, 131.51 W
2026/03/25 23:47:57.804, 81 %, 53 %, 22358 MiB, 24564 MiB, 150.01 W
2026/03/25 23:47:58.805, 81 %, 53 %, 22358 MiB, 24564 MiB, 216.27 W
2026/03/25 23:47:59.805, 81 %, 53 %, 22358 MiB, 24564 MiB, 217.31 W
2026/03/25 23:48:00.805, 0 %, 0 %, 22358 MiB, 24564 MiB, 111.36 W
2026/03/25 23:48:01.806, 81 %, 53 %, 22358 MiB, 24564 MiB, 157.02 W
2026/03/25 23:48:02.806, 78 %, 50 %, 22358 MiB, 24564 MiB, 211.79 W
2026/03/25 23:48:03.806, 81 %, 53 %, 22358 MiB, 24564 MiB, 214.81 W
2026/03/25 23:48:04.807, 0 %, 0 %, 22358 MiB, 24564 MiB, 142.40 W
2026/03/25 23:48:05.807, 81 %, 53 %, 22358 MiB, 24564 MiB, 140.27 W
2026/03/25 23:48:06.807, 81 %, 53 %, 22358 MiB, 24564 MiB, 213.19 W
2026/03/25 23:48:07.808, 81 %, 53 %, 22358 MiB, 24564 MiB, 215.02 W
2026/03/25 23:48:08.808, 81 %, 52 %, 22358 MiB, 24564 MiB, 214.12 W
2026/03/25 23:48:09.809, 0 %, 0 %, 22358 MiB, 24564 MiB, 94.76 W
2026/03/25 23:48:10.809, 82 %, 53 %, 22358 MiB, 24564 MiB, 187.72 W
2026/03/25 23:48:11.809, 79 %, 51 %, 22358 MiB, 24564 MiB, 215.26 W
2026/03/25 23:48:12.810, 81 %, 53 %, 22358 MiB, 24564 MiB, 214.89 W
2026/03/25 23:48:13.811, 78 %, 50 %, 22358 MiB, 24564 MiB, 215.23 W
2026/03/25 23:48:14.811, 81 %, 53 %, 22358 MiB, 24564 MiB, 217.03 W
2026/03/25 23:48:15.811, 0 %, 0 %, 22358 MiB, 24564 MiB, 102.39 W
2026/03/25 23:48:16.812, 81 %, 53 %, 22358 MiB, 24564 MiB, 132.74 W
2026/03/25 23:48:17.812, 81 %, 53 %, 22358 MiB, 24564 MiB, 215.73 W
2026/03/25 23:48:18.812, 81 %, 53 %, 22358 MiB, 24564 MiB, 215.50 W
