timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/03/25 23:32:55.863, 0 %, 0 %, 18084 MiB, 24564 MiB, 5.47 W
2026/03/25 23:32:56.864, 0 %, 0 %, 18084 MiB, 24564 MiB, 5.39 W
2026/03/25 23:32:57.864, 0 %, 0 %, 18084 MiB, 24564 MiB, 5.31 W
2026/03/25 23:32:58.864, 0 %, 0 %, 18084 MiB, 24564 MiB, 5.15 W
2026/03/25 23:32:59.865, 0 %, 0 %, 18084 MiB, 24564 MiB, 5.02 W
2026/03/25 23:33:00.865, 0 %, 0 %, 18084 MiB, 24564 MiB, 5.02 W
2026/03/25 23:33:01.865, 0 %, 0 %, 18084 MiB, 24564 MiB, 5.06 W
2026/03/25 23:33:02.866, 0 %, 0 %, 18084 MiB, 24564 MiB, 4.99 W
2026/03/25 23:33:03.866, 0 %, 0 %, 18084 MiB, 24564 MiB, 4.94 W
2026/03/25 23:33:04.866, 0 %, 0 %, 18084 MiB, 24564 MiB, 5.22 W
2026/03/25 23:33:05.867, 0 %, 0 %, 18084 MiB, 24564 MiB, 5.39 W
2026/03/25 23:33:06.867, 0 %, 0 %, 18084 MiB, 24564 MiB, 5.36 W
2026/03/25 23:33:07.867, 0 %, 0 %, 18086 MiB, 24564 MiB, 5.61 W
2026/03/25 23:33:08.868, 84 %, 65 %, 18086 MiB, 24564 MiB, 131.86 W
2026/03/25 23:33:09.868, 84 %, 65 %, 18086 MiB, 24564 MiB, 253.10 W
2026/03/25 23:33:10.868, 83 %, 64 %, 18086 MiB, 24564 MiB, 253.95 W
2026/03/25 23:33:11.869, 84 %, 65 %, 18086 MiB, 24564 MiB, 253.79 W
2026/03/25 23:33:12.869, 0 %, 0 %, 18086 MiB, 24564 MiB, 145.73 W
2026/03/25 23:33:13.869, 84 %, 65 %, 18086 MiB, 24564 MiB, 147.86 W
2026/03/25 23:33:14.870, 84 %, 65 %, 18086 MiB, 24564 MiB, 254.09 W
2026/03/25 23:33:15.870, 83 %, 64 %, 18086 MiB, 24564 MiB, 253.68 W
2026/03/25 23:33:16.870, 84 %, 65 %, 18086 MiB, 24564 MiB, 257.14 W
2026/03/25 23:33:17.871, 84 %, 65 %, 18086 MiB, 24564 MiB, 256.37 W
2026/03/25 23:33:18.871, 0 %, 0 %, 18086 MiB, 24564 MiB, 115.09 W
2026/03/25 23:33:19.871, 84 %, 65 %, 18086 MiB, 24564 MiB, 186.87 W
2026/03/25 23:33:20.872, 83 %, 64 %, 18086 MiB, 24564 MiB, 255.83 W
2026/03/25 23:33:21.872, 84 %, 65 %, 18086 MiB, 24564 MiB, 256.32 W
2026/03/25 23:33:22.872, 0 %, 0 %, 18086 MiB, 24564 MiB, 176.66 W
2026/03/25 23:33:23.873, 84 %, 65 %, 18086 MiB, 24564 MiB, 144.83 W
2026/03/25 23:33:24.873, 84 %, 65 %, 18086 MiB, 24564 MiB, 256.08 W
