timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/03/25 23:42:02.028, 0 %, 0 %, 22306 MiB, 24564 MiB, 6.41 W
2026/03/25 23:42:03.029, 0 %, 0 %, 22306 MiB, 24564 MiB, 6.33 W
2026/03/25 23:42:04.029, 0 %, 0 %, 22306 MiB, 24564 MiB, 6.34 W
2026/03/25 23:42:05.029, 0 %, 0 %, 22306 MiB, 24564 MiB, 6.37 W
2026/03/25 23:42:06.030, 0 %, 0 %, 22306 MiB, 24564 MiB, 6.18 W
2026/03/25 23:42:07.030, 0 %, 0 %, 22306 MiB, 24564 MiB, 6.09 W
2026/03/25 23:42:08.031, 0 %, 0 %, 22306 MiB, 24564 MiB, 5.99 W
2026/03/25 23:42:09.031, 0 %, 0 %, 22306 MiB, 24564 MiB, 5.94 W
2026/03/25 23:42:10.031, 0 %, 0 %, 22306 MiB, 24564 MiB, 5.94 W
2026/03/25 23:42:11.032, 0 %, 0 %, 22306 MiB, 24564 MiB, 6.07 W
2026/03/25 23:42:12.032, 0 %, 0 %, 22306 MiB, 24564 MiB, 6.15 W
2026/03/25 23:42:13.032, 0 %, 0 %, 22306 MiB, 24564 MiB, 6.02 W
2026/03/25 23:42:14.033, 0 %, 0 %, 22306 MiB, 24564 MiB, 6.07 W
2026/03/25 23:42:15.033, 78 %, 50 %, 22308 MiB, 24564 MiB, 124.14 W
2026/03/25 23:42:16.033, 81 %, 53 %, 22308 MiB, 24564 MiB, 211.67 W
2026/03/25 23:42:17.034, 81 %, 53 %, 22308 MiB, 24564 MiB, 211.17 W
2026/03/25 23:42:18.034, 82 %, 53 %, 22308 MiB, 24564 MiB, 213.63 W
2026/03/25 23:42:19.034, 82 %, 53 %, 22308 MiB, 24564 MiB, 213.43 W
2026/03/25 23:42:20.035, 74 %, 48 %, 22308 MiB, 24564 MiB, 211.69 W
2026/03/25 23:42:21.035, 0 %, 0 %, 22308 MiB, 24564 MiB, 154.63 W
2026/03/25 23:42:22.035, 78 %, 51 %, 22308 MiB, 24564 MiB, 124.87 W
2026/03/25 23:42:23.036, 82 %, 53 %, 22308 MiB, 24564 MiB, 210.58 W
