timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/03/25 09:52:26.434, 0 %, 0 %, 22478 MiB, 24564 MiB, 5.04 W
2026/03/25 09:52:27.435, 0 %, 0 %, 22478 MiB, 24564 MiB, 4.94 W
2026/03/25 09:52:28.435, 0 %, 0 %, 22478 MiB, 24564 MiB, 4.74 W
2026/03/25 09:52:29.435, 0 %, 0 %, 22478 MiB, 24564 MiB, 4.72 W
2026/03/25 09:52:30.436, 0 %, 0 %, 22478 MiB, 24564 MiB, 4.59 W
2026/03/25 09:52:31.436, 0 %, 0 %, 22478 MiB, 24564 MiB, 4.52 W
2026/03/25 09:52:32.436, 0 %, 0 %, 22478 MiB, 24564 MiB, 4.53 W
2026/03/25 09:52:33.437, 0 %, 0 %, 22478 MiB, 24564 MiB, 4.60 W
2026/03/25 09:52:34.437, 0 %, 0 %, 22478 MiB, 24564 MiB, 4.61 W
2026/03/25 09:52:35.437, 0 %, 0 %, 22478 MiB, 24564 MiB, 4.66 W
2026/03/25 09:52:36.438, 0 %, 0 %, 22478 MiB, 24564 MiB, 4.63 W
2026/03/25 09:52:37.438, 0 %, 0 %, 22478 MiB, 24564 MiB, 4.64 W
2026/03/25 09:52:38.438, 0 %, 0 %, 22478 MiB, 24564 MiB, 4.64 W
2026/03/25 09:52:39.439, 0 %, 0 %, 22478 MiB, 24564 MiB, 4.75 W
2026/03/25 09:52:40.439, 0 %, 0 %, 22478 MiB, 24564 MiB, 4.74 W
2026/03/25 09:52:41.439, 0 %, 0 %, 22478 MiB, 24564 MiB, 4.73 W
2026/03/25 09:52:42.439, 0 %, 0 %, 22478 MiB, 24564 MiB, 4.78 W
2026/03/25 09:52:43.440, 0 %, 0 %, 22478 MiB, 24564 MiB, 4.66 W
2026/03/25 09:52:44.440, 0 %, 0 %, 22478 MiB, 24564 MiB, 4.50 W
2026/03/25 09:52:45.440, 0 %, 0 %, 22478 MiB, 24564 MiB, 4.51 W
2026/03/25 09:52:46.441, 0 %, 0 %, 22478 MiB, 24564 MiB, 4.59 W
2026/03/25 09:52:47.441, 0 %, 0 %, 22478 MiB, 24564 MiB, 4.79 W
2026/03/25 09:52:48.441, 0 %, 0 %, 22478 MiB, 24564 MiB, 4.69 W
2026/03/25 09:52:49.442, 0 %, 0 %, 22478 MiB, 24564 MiB, 4.49 W
2026/03/25 09:52:50.442, 0 %, 0 %, 22478 MiB, 24564 MiB, 4.37 W
2026/03/25 09:52:51.442, 0 %, 0 %, 22478 MiB, 24564 MiB, 4.27 W
2026/03/25 09:52:52.443, 0 %, 0 %, 22478 MiB, 24564 MiB, 4.31 W
2026/03/25 09:52:53.444, 0 %, 0 %, 22478 MiB, 24564 MiB, 4.31 W
2026/03/25 09:52:54.445, 0 %, 0 %, 22478 MiB, 24564 MiB, 4.63 W
2026/03/25 09:52:55.445, 0 %, 0 %, 22478 MiB, 24564 MiB, 4.84 W
2026/03/25 09:52:56.445, 0 %, 0 %, 22478 MiB, 24564 MiB, 4.88 W
2026/03/25 09:52:57.446, 0 %, 0 %, 22478 MiB, 24564 MiB, 4.88 W
2026/03/25 09:52:58.446, 0 %, 0 %, 22478 MiB, 24564 MiB, 4.85 W
2026/03/25 09:52:59.446, 0 %, 0 %, 22478 MiB, 24564 MiB, 4.59 W
2026/03/25 09:53:00.447, 0 %, 0 %, 22478 MiB, 24564 MiB, 4.56 W
2026/03/25 09:53:01.447, 0 %, 0 %, 22478 MiB, 24564 MiB, 4.47 W
2026/03/25 09:53:02.447, 0 %, 0 %, 22478 MiB, 24564 MiB, 4.43 W
2026/03/25 09:53:03.448, 0 %, 0 %, 22478 MiB, 24564 MiB, 4.47 W
2026/03/25 09:53:04.448, 0 %, 0 %, 22478 MiB, 24564 MiB, 4.66 W
2026/03/25 09:53:05.449, 0 %, 0 %, 22478 MiB, 24564 MiB, 4.81 W
2026/03/25 09:53:06.449, 0 %, 0 %, 22478 MiB, 24564 MiB, 4.78 W
2026/03/25 09:53:07.449, 0 %, 0 %, 22478 MiB, 24564 MiB, 4.78 W
2026/03/25 09:53:08.450, 0 %, 0 %, 22478 MiB, 24564 MiB, 4.62 W
2026/03/25 09:53:09.450, 0 %, 0 %, 22478 MiB, 24564 MiB, 4.54 W
2026/03/25 09:53:10.450, 0 %, 0 %, 22478 MiB, 24564 MiB, 4.53 W
2026/03/25 09:53:11.451, 0 %, 0 %, 22478 MiB, 24564 MiB, 4.47 W
2026/03/25 09:53:12.451, 0 %, 0 %, 22478 MiB, 24564 MiB, 4.22 W
2026/03/25 09:53:13.451, 0 %, 0 %, 22478 MiB, 24564 MiB, 4.20 W
2026/03/25 09:53:14.452, 0 %, 0 %, 22478 MiB, 24564 MiB, 4.24 W
2026/03/25 09:53:15.452, 0 %, 0 %, 22478 MiB, 24564 MiB, 4.31 W
2026/03/25 09:53:16.452, 0 %, 0 %, 22478 MiB, 24564 MiB, 4.39 W
2026/03/25 09:53:17.453, 0 %, 0 %, 22478 MiB, 24564 MiB, 4.37 W
2026/03/25 09:53:18.453, 0 %, 0 %, 22478 MiB, 24564 MiB, 4.28 W
2026/03/25 09:53:19.453, 0 %, 0 %, 22478 MiB, 24564 MiB, 4.27 W
2026/03/25 09:53:20.454, 0 %, 0 %, 22478 MiB, 24564 MiB, 4.32 W
2026/03/25 09:53:21.454, 21 %, 9 %, 22496 MiB, 24564 MiB, 57.64 W
2026/03/25 09:53:22.454, 96 %, 42 %, 22496 MiB, 24564 MiB, 389.73 W
2026/03/25 09:53:23.455, 95 %, 42 %, 22502 MiB, 24564 MiB, 429.16 W
2026/03/25 09:53:24.455, 95 %, 41 %, 22510 MiB, 24564 MiB, 426.92 W
2026/03/25 09:53:25.456, 95 %, 40 %, 22520 MiB, 24564 MiB, 416.21 W
2026/03/25 09:53:26.456, 95 %, 39 %, 22530 MiB, 24564 MiB, 424.83 W
2026/03/25 09:53:27.456, 95 %, 39 %, 22538 MiB, 24564 MiB, 426.75 W
2026/03/25 09:53:28.457, 94 %, 38 %, 22548 MiB, 24564 MiB, 418.90 W
2026/03/25 09:53:29.457, 99 %, 40 %, 22556 MiB, 24564 MiB, 426.15 W
2026/03/25 09:53:30.457, 94 %, 37 %, 22564 MiB, 24564 MiB, 424.62 W
2026/03/25 09:53:31.458, 94 %, 37 %, 22574 MiB, 24564 MiB, 430.73 W
2026/03/25 09:53:32.458, 94 %, 36 %, 22582 MiB, 24564 MiB, 417.83 W
2026/03/25 09:53:33.459, 94 %, 36 %, 22590 MiB, 24564 MiB, 412.07 W
2026/03/25 09:53:34.460, 79 %, 30 %, 22598 MiB, 24564 MiB, 418.20 W
2026/03/25 09:53:35.460, 93 %, 34 %, 22604 MiB, 24564 MiB, 426.80 W
2026/03/25 09:53:36.460, 93 %, 34 %, 22612 MiB, 24564 MiB, 415.70 W
2026/03/25 09:53:37.461, 94 %, 36 %, 22620 MiB, 24564 MiB, 426.87 W
2026/03/25 09:53:38.461, 94 %, 33 %, 22628 MiB, 24564 MiB, 411.30 W
2026/03/25 09:53:39.467, 93 %, 33 %, 22636 MiB, 24564 MiB, 424.82 W
2026/03/25 09:53:40.468, 93 %, 33 %, 22642 MiB, 24564 MiB, 413.60 W
2026/03/25 09:53:41.468, 93 %, 32 %, 22650 MiB, 24564 MiB, 418.05 W
2026/03/25 09:53:42.468, 93 %, 32 %, 22656 MiB, 24564 MiB, 417.05 W
2026/03/25 09:53:43.469, 99 %, 37 %, 22664 MiB, 24564 MiB, 422.02 W
2026/03/25 09:53:44.469, 92 %, 31 %, 22670 MiB, 24564 MiB, 421.53 W
2026/03/25 09:53:45.469, 92 %, 31 %, 22678 MiB, 24564 MiB, 415.56 W
2026/03/25 09:53:46.470, 92 %, 31 %, 22684 MiB, 24564 MiB, 419.98 W
2026/03/25 09:53:47.470, 92 %, 31 %, 22692 MiB, 24564 MiB, 429.21 W
2026/03/25 09:53:48.470, 100 %, 36 %, 22698 MiB, 24564 MiB, 413.69 W
2026/03/25 09:53:49.471, 86 %, 27 %, 22704 MiB, 24564 MiB, 413.34 W
2026/03/25 09:53:50.472, 92 %, 30 %, 22710 MiB, 24564 MiB, 420.60 W
2026/03/25 09:53:51.472, 88 %, 28 %, 22718 MiB, 24564 MiB, 425.26 W
2026/03/25 09:53:52.473, 100 %, 35 %, 22724 MiB, 24564 MiB, 416.90 W
2026/03/25 09:53:53.473, 100 %, 35 %, 22730 MiB, 24564 MiB, 413.46 W
2026/03/25 09:53:54.473, 97 %, 31 %, 22736 MiB, 24564 MiB, 397.75 W
2026/03/25 09:53:55.473, 93 %, 32 %, 22742 MiB, 24564 MiB, 405.04 W
2026/03/25 09:53:56.474, 91 %, 28 %, 22748 MiB, 24564 MiB, 421.74 W
2026/03/25 09:53:57.474, 91 %, 28 %, 22754 MiB, 24564 MiB, 425.58 W
2026/03/25 09:53:58.474, 91 %, 28 %, 22760 MiB, 24564 MiB, 425.02 W
2026/03/25 09:53:59.475, 91 %, 28 %, 22766 MiB, 24564 MiB, 423.05 W
2026/03/25 09:54:00.475, 91 %, 28 %, 22772 MiB, 24564 MiB, 413.23 W
2026/03/25 09:54:01.475, 92 %, 28 %, 22778 MiB, 24564 MiB, 426.03 W
2026/03/25 09:54:02.476, 93 %, 31 %, 22784 MiB, 24564 MiB, 423.41 W
2026/03/25 09:54:03.476, 100 %, 33 %, 22790 MiB, 24564 MiB, 412.61 W
2026/03/25 09:54:04.476, 100 %, 32 %, 22796 MiB, 24564 MiB, 406.16 W
2026/03/25 09:54:05.477, 96 %, 29 %, 22802 MiB, 24564 MiB, 408.77 W
2026/03/25 09:54:06.489, 91 %, 27 %, 22806 MiB, 24564 MiB, 410.21 W
2026/03/25 09:54:07.489, 90 %, 26 %, 22812 MiB, 24564 MiB, 419.27 W
2026/03/25 09:54:08.489, 100 %, 33 %, 22818 MiB, 24564 MiB, 421.01 W
2026/03/25 09:54:09.490, 100 %, 32 %, 22824 MiB, 24564 MiB, 415.74 W
2026/03/25 09:54:10.490, 92 %, 28 %, 22828 MiB, 24564 MiB, 419.60 W
2026/03/25 09:54:11.490, 90 %, 26 %, 22834 MiB, 24564 MiB, 406.84 W
2026/03/25 09:54:12.491, 100 %, 33 %, 22840 MiB, 24564 MiB, 419.92 W
2026/03/25 09:54:13.491, 91 %, 26 %, 22846 MiB, 24564 MiB, 417.91 W
2026/03/25 09:54:14.491, 90 %, 25 %, 22850 MiB, 24564 MiB, 416.85 W
2026/03/25 09:54:15.492, 100 %, 32 %, 22856 MiB, 24564 MiB, 415.18 W
2026/03/25 09:54:16.492, 90 %, 25 %, 22860 MiB, 24564 MiB, 418.09 W
2026/03/25 09:54:17.492, 91 %, 28 %, 22866 MiB, 24564 MiB, 396.68 W
2026/03/25 09:54:18.493, 90 %, 25 %, 22872 MiB, 24564 MiB, 422.36 W
2026/03/25 09:54:19.493, 89 %, 25 %, 22876 MiB, 24564 MiB, 418.49 W
2026/03/25 09:54:20.494, 100 %, 32 %, 22882 MiB, 24564 MiB, 427.28 W
2026/03/25 09:54:21.494, 100 %, 32 %, 22886 MiB, 24564 MiB, 402.01 W
2026/03/25 09:54:22.495, 95 %, 30 %, 22892 MiB, 24564 MiB, 417.72 W
2026/03/25 09:54:23.497, 84 %, 22 %, 22896 MiB, 24564 MiB, 403.09 W
2026/03/25 09:54:24.497, 95 %, 29 %, 22902 MiB, 24564 MiB, 424.35 W
2026/03/25 09:54:25.498, 90 %, 28 %, 22906 MiB, 24564 MiB, 413.86 W
2026/03/25 09:54:26.498, 100 %, 32 %, 22910 MiB, 24564 MiB, 412.62 W
2026/03/25 09:54:27.498, 100 %, 31 %, 22916 MiB, 24564 MiB, 399.95 W
2026/03/25 09:54:28.499, 83 %, 22 %, 22920 MiB, 24564 MiB, 403.54 W
2026/03/25 09:54:29.499, 94 %, 29 %, 22926 MiB, 24564 MiB, 411.76 W
2026/03/25 09:54:30.499, 100 %, 31 %, 22930 MiB, 24564 MiB, 391.84 W
2026/03/25 09:54:31.500, 89 %, 24 %, 22934 MiB, 24564 MiB, 412.52 W
2026/03/25 09:54:32.500, 89 %, 23 %, 22940 MiB, 24564 MiB, 409.70 W
2026/03/25 09:54:33.500, 90 %, 26 %, 22944 MiB, 24564 MiB, 412.44 W
2026/03/25 09:54:34.501, 100 %, 31 %, 22948 MiB, 24564 MiB, 429.13 W
2026/03/25 09:54:35.501, 100 %, 31 %, 22954 MiB, 24564 MiB, 426.56 W
2026/03/25 09:54:36.507, 99 %, 29 %, 22958 MiB, 24564 MiB, 407.86 W
2026/03/25 09:54:37.507, 88 %, 23 %, 22962 MiB, 24564 MiB, 410.07 W
2026/03/25 09:54:38.508, 100 %, 31 %, 22968 MiB, 24564 MiB, 429.02 W
2026/03/25 09:54:39.515, 100 %, 31 %, 22972 MiB, 24564 MiB, 408.39 W
2026/03/25 09:54:40.515, 99 %, 29 %, 22976 MiB, 24564 MiB, 399.64 W
2026/03/25 09:54:41.516, 100 %, 31 %, 22980 MiB, 24564 MiB, 422.93 W
2026/03/25 09:54:42.516, 100 %, 30 %, 22986 MiB, 24564 MiB, 415.02 W
2026/03/25 09:54:43.516, 100 %, 30 %, 22990 MiB, 24564 MiB, 402.27 W
2026/03/25 09:54:44.518, 88 %, 22 %, 22994 MiB, 24564 MiB, 388.80 W
2026/03/25 09:54:45.518, 100 %, 30 %, 22998 MiB, 24564 MiB, 406.21 W
2026/03/25 09:54:46.519, 100 %, 30 %, 23002 MiB, 24564 MiB, 418.28 W
2026/03/25 09:54:47.519, 89 %, 26 %, 23008 MiB, 24564 MiB, 415.22 W
