timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/03/25 10:11:03.488, 0 %, 0 %, 11822 MiB, 24564 MiB, 6.01 W
2026/03/25 10:11:04.489, 0 %, 0 %, 11822 MiB, 24564 MiB, 5.86 W
2026/03/25 10:11:05.489, 0 %, 0 %, 11822 MiB, 24564 MiB, 5.85 W
2026/03/25 10:11:06.489, 0 %, 0 %, 11822 MiB, 24564 MiB, 5.96 W
2026/03/25 10:11:07.490, 0 %, 0 %, 11822 MiB, 24564 MiB, 6.25 W
2026/03/25 10:11:08.490, 0 %, 0 %, 11822 MiB, 24564 MiB, 6.21 W
2026/03/25 10:11:09.490, 0 %, 0 %, 11822 MiB, 24564 MiB, 5.97 W
2026/03/25 10:11:10.491, 0 %, 0 %, 11822 MiB, 24564 MiB, 5.87 W
2026/03/25 10:11:11.491, 0 %, 0 %, 11822 MiB, 24564 MiB, 5.87 W
2026/03/25 10:11:12.491, 0 %, 0 %, 11822 MiB, 24564 MiB, 5.75 W
2026/03/25 10:11:13.492, 0 %, 0 %, 11822 MiB, 24564 MiB, 5.72 W
2026/03/25 10:11:14.492, 0 %, 0 %, 11822 MiB, 24564 MiB, 6.01 W
2026/03/25 10:11:15.492, 0 %, 0 %, 11822 MiB, 24564 MiB, 5.89 W
2026/03/25 10:11:16.493, 0 %, 0 %, 11822 MiB, 24564 MiB, 5.56 W
2026/03/25 10:11:17.493, 0 %, 0 %, 11822 MiB, 24564 MiB, 5.54 W
2026/03/25 10:11:18.493, 0 %, 0 %, 11822 MiB, 24564 MiB, 5.68 W
2026/03/25 10:11:19.494, 0 %, 0 %, 11822 MiB, 24564 MiB, 5.72 W
2026/03/25 10:11:20.494, 0 %, 0 %, 11822 MiB, 24564 MiB, 5.84 W
2026/03/25 10:11:21.494, 0 %, 0 %, 11822 MiB, 24564 MiB, 5.87 W
2026/03/25 10:11:22.497, 0 %, 0 %, 11822 MiB, 24564 MiB, 5.75 W
2026/03/25 10:11:23.497, 0 %, 0 %, 11822 MiB, 24564 MiB, 5.92 W
2026/03/25 10:11:24.497, 0 %, 0 %, 11822 MiB, 24564 MiB, 6.07 W
2026/03/25 10:11:25.498, 0 %, 0 %, 11822 MiB, 24564 MiB, 5.95 W
2026/03/25 10:11:26.498, 0 %, 0 %, 11822 MiB, 24564 MiB, 5.78 W
2026/03/25 10:11:27.498, 0 %, 0 %, 11822 MiB, 24564 MiB, 5.69 W
2026/03/25 10:11:28.499, 0 %, 0 %, 11822 MiB, 24564 MiB, 5.58 W
2026/03/25 10:11:29.499, 0 %, 0 %, 11822 MiB, 24564 MiB, 5.54 W
2026/03/25 10:11:30.499, 0 %, 0 %, 11822 MiB, 24564 MiB, 5.72 W
2026/03/25 10:11:31.500, 0 %, 0 %, 11822 MiB, 24564 MiB, 5.68 W
2026/03/25 10:11:32.500, 0 %, 0 %, 11822 MiB, 24564 MiB, 5.40 W
2026/03/25 10:11:33.500, 0 %, 0 %, 11822 MiB, 24564 MiB, 5.36 W
2026/03/25 10:11:34.501, 0 %, 0 %, 11822 MiB, 24564 MiB, 5.56 W
2026/03/25 10:11:35.501, 0 %, 0 %, 11822 MiB, 24564 MiB, 5.79 W
2026/03/25 10:11:36.501, 0 %, 0 %, 11822 MiB, 24564 MiB, 5.74 W
2026/03/25 10:11:37.502, 0 %, 0 %, 11822 MiB, 24564 MiB, 5.51 W
2026/03/25 10:11:38.502, 0 %, 0 %, 11822 MiB, 24564 MiB, 5.52 W
2026/03/25 10:11:39.502, 0 %, 0 %, 11822 MiB, 24564 MiB, 5.53 W
2026/03/25 10:11:40.503, 0 %, 0 %, 11822 MiB, 24564 MiB, 5.47 W
2026/03/25 10:11:41.503, 0 %, 0 %, 11822 MiB, 24564 MiB, 5.48 W
2026/03/25 10:11:42.504, 0 %, 0 %, 11822 MiB, 24564 MiB, 5.38 W
2026/03/25 10:11:43.504, 0 %, 0 %, 11822 MiB, 24564 MiB, 5.39 W
2026/03/25 10:11:44.504, 0 %, 0 %, 11822 MiB, 24564 MiB, 5.73 W
2026/03/25 10:11:45.505, 0 %, 0 %, 11822 MiB, 24564 MiB, 5.95 W
2026/03/25 10:11:46.505, 0 %, 0 %, 11822 MiB, 24564 MiB, 5.72 W
2026/03/25 10:11:47.505, 0 %, 0 %, 11822 MiB, 24564 MiB, 5.51 W
2026/03/25 10:11:48.506, 0 %, 0 %, 11822 MiB, 24564 MiB, 5.53 W
2026/03/25 10:11:49.506, 0 %, 0 %, 11822 MiB, 24564 MiB, 5.90 W
2026/03/25 10:11:50.506, 0 %, 0 %, 11822 MiB, 24564 MiB, 6.09 W
2026/03/25 10:11:51.507, 0 %, 0 %, 11822 MiB, 24564 MiB, 5.84 W
2026/03/25 10:11:52.507, 0 %, 0 %, 11822 MiB, 24564 MiB, 5.68 W
2026/03/25 10:11:53.507, 0 %, 0 %, 11822 MiB, 24564 MiB, 5.62 W
2026/03/25 10:11:54.508, 0 %, 0 %, 11822 MiB, 24564 MiB, 5.67 W
2026/03/25 10:11:55.508, 0 %, 0 %, 11822 MiB, 24564 MiB, 5.80 W
2026/03/25 10:11:56.508, 0 %, 0 %, 11822 MiB, 24564 MiB, 5.75 W
