timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/03/25 11:23:18.781, 0 %, 0 %, 9778 MiB, 24564 MiB, 6.37 W
2026/03/25 11:23:19.782, 0 %, 0 %, 9778 MiB, 24564 MiB, 6.41 W
2026/03/25 11:23:20.782, 0 %, 0 %, 9778 MiB, 24564 MiB, 6.42 W
2026/03/25 11:23:21.783, 0 %, 0 %, 9778 MiB, 24564 MiB, 6.59 W
2026/03/25 11:23:22.783, 0 %, 0 %, 9778 MiB, 24564 MiB, 6.72 W
2026/03/25 11:23:23.783, 0 %, 0 %, 9778 MiB, 24564 MiB, 6.45 W
2026/03/25 11:23:24.784, 0 %, 0 %, 9778 MiB, 24564 MiB, 6.27 W
2026/03/25 11:23:25.784, 0 %, 0 %, 9778 MiB, 24564 MiB, 6.33 W
2026/03/25 11:23:26.784, 0 %, 0 %, 9778 MiB, 24564 MiB, 6.43 W
2026/03/25 11:23:27.785, 0 %, 0 %, 9778 MiB, 24564 MiB, 6.45 W
2026/03/25 11:23:28.785, 0 %, 0 %, 9778 MiB, 24564 MiB, 6.52 W
2026/03/25 11:23:29.785, 0 %, 0 %, 9778 MiB, 24564 MiB, 6.59 W
2026/03/25 11:23:30.786, 0 %, 0 %, 9778 MiB, 24564 MiB, 6.53 W
2026/03/25 11:23:31.786, 78 %, 37 %, 9798 MiB, 24564 MiB, 47.41 W
2026/03/25 11:23:32.787, 92 %, 94 %, 9798 MiB, 24564 MiB, 271.42 W
2026/03/25 11:23:33.787, 92 %, 94 %, 9798 MiB, 24564 MiB, 277.02 W
2026/03/25 11:23:34.787, 92 %, 94 %, 9798 MiB, 24564 MiB, 276.29 W
2026/03/25 11:23:35.788, 92 %, 94 %, 9798 MiB, 24564 MiB, 277.61 W
2026/03/25 11:23:36.788, 0 %, 0 %, 9798 MiB, 24564 MiB, 166.05 W
