timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/03/25 11:18:22.047, 0 %, 0 %, 9778 MiB, 24564 MiB, 5.87 W
2026/03/25 11:18:23.048, 0 %, 0 %, 9778 MiB, 24564 MiB, 5.70 W
2026/03/25 11:18:24.048, 0 %, 0 %, 9778 MiB, 24564 MiB, 5.68 W
2026/03/25 11:18:25.049, 0 %, 0 %, 9778 MiB, 24564 MiB, 5.48 W
2026/03/25 11:18:26.049, 0 %, 0 %, 9778 MiB, 24564 MiB, 5.33 W
2026/03/25 11:18:27.049, 0 %, 0 %, 9778 MiB, 24564 MiB, 5.66 W
2026/03/25 11:18:28.049, 0 %, 0 %, 9778 MiB, 24564 MiB, 5.92 W
2026/03/25 11:18:29.050, 0 %, 0 %, 9778 MiB, 24564 MiB, 6.07 W
2026/03/25 11:18:30.050, 0 %, 0 %, 9778 MiB, 24564 MiB, 6.05 W
2026/03/25 11:18:31.051, 0 %, 0 %, 9778 MiB, 24564 MiB, 6.05 W
2026/03/25 11:18:32.051, 0 %, 0 %, 9778 MiB, 24564 MiB, 5.85 W
2026/03/25 11:18:33.051, 0 %, 0 %, 9778 MiB, 24564 MiB, 5.61 W
2026/03/25 11:18:34.052, 0 %, 0 %, 9778 MiB, 24564 MiB, 5.71 W
2026/03/25 11:18:35.052, 0 %, 0 %, 9778 MiB, 24564 MiB, 5.69 W
2026/03/25 11:18:36.052, 0 %, 0 %, 9778 MiB, 24564 MiB, 5.60 W
2026/03/25 11:18:37.053, 0 %, 0 %, 9778 MiB, 24564 MiB, 5.61 W
2026/03/25 11:18:38.053, 0 %, 0 %, 9778 MiB, 24564 MiB, 5.68 W
2026/03/25 11:18:39.053, 0 %, 0 %, 9778 MiB, 24564 MiB, 5.74 W
2026/03/25 11:18:40.054, 0 %, 0 %, 9778 MiB, 24564 MiB, 5.78 W
2026/03/25 11:18:41.054, 0 %, 0 %, 9778 MiB, 24564 MiB, 5.68 W
2026/03/25 11:18:42.054, 0 %, 0 %, 9778 MiB, 24564 MiB, 5.82 W
2026/03/25 11:18:43.055, 88 %, 37 %, 9806 MiB, 24564 MiB, 95.58 W
2026/03/25 11:18:44.055, 86 %, 35 %, 9836 MiB, 24564 MiB, 379.40 W
2026/03/25 11:18:45.056, 90 %, 37 %, 9862 MiB, 24564 MiB, 379.47 W
2026/03/25 11:18:46.056, 92 %, 92 %, 9878 MiB, 24564 MiB, 347.52 W
2026/03/25 11:18:47.057, 92 %, 92 %, 9878 MiB, 24564 MiB, 286.66 W
2026/03/25 11:18:48.057, 92 %, 92 %, 9878 MiB, 24564 MiB, 286.83 W
2026/03/25 11:18:49.057, 92 %, 92 %, 9878 MiB, 24564 MiB, 288.15 W
2026/03/25 11:18:50.058, 92 %, 92 %, 9878 MiB, 24564 MiB, 288.62 W
2026/03/25 11:18:51.058, 92 %, 92 %, 9878 MiB, 24564 MiB, 287.36 W
2026/03/25 11:18:52.058, 92 %, 92 %, 9878 MiB, 24564 MiB, 288.85 W
2026/03/25 11:18:53.059, 92 %, 92 %, 9878 MiB, 24564 MiB, 289.05 W
2026/03/25 11:18:54.059, 91 %, 91 %, 9878 MiB, 24564 MiB, 288.11 W
2026/03/25 11:18:55.059, 91 %, 91 %, 9878 MiB, 24564 MiB, 289.45 W
2026/03/25 11:18:56.060, 91 %, 91 %, 9878 MiB, 24564 MiB, 289.85 W
