timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/03/25 11:04:59.969, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.78 W
2026/03/25 11:05:00.969, 0 %, 0 %, 18692 MiB, 24564 MiB, 6.09 W
2026/03/25 11:05:01.970, 0 %, 0 %, 18692 MiB, 24564 MiB, 6.08 W
2026/03/25 11:05:02.970, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.95 W
2026/03/25 11:05:03.970, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.99 W
2026/03/25 11:05:04.971, 0 %, 0 %, 18692 MiB, 24564 MiB, 6.12 W
2026/03/25 11:05:05.971, 0 %, 0 %, 18692 MiB, 24564 MiB, 6.24 W
2026/03/25 11:05:06.971, 0 %, 0 %, 18692 MiB, 24564 MiB, 6.21 W
2026/03/25 11:05:07.975, 0 %, 0 %, 18692 MiB, 24564 MiB, 6.20 W
2026/03/25 11:05:08.975, 0 %, 0 %, 18692 MiB, 24564 MiB, 6.20 W
2026/03/25 11:05:09.976, 0 %, 0 %, 18692 MiB, 24564 MiB, 6.18 W
2026/03/25 11:05:10.976, 0 %, 0 %, 18692 MiB, 24564 MiB, 6.18 W
2026/03/25 11:05:11.976, 0 %, 0 %, 18692 MiB, 24564 MiB, 6.05 W
2026/03/25 11:05:12.976, 0 %, 0 %, 18692 MiB, 24564 MiB, 6.06 W
2026/03/25 11:05:13.977, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.82 W
2026/03/25 11:05:14.977, 92 %, 42 %, 18712 MiB, 24564 MiB, 123.67 W
2026/03/25 11:05:15.977, 94 %, 96 %, 18712 MiB, 24564 MiB, 321.69 W
2026/03/25 11:05:16.978, 94 %, 96 %, 18712 MiB, 24564 MiB, 331.66 W
2026/03/25 11:05:17.978, 95 %, 97 %, 18712 MiB, 24564 MiB, 332.38 W
2026/03/25 11:05:18.978, 94 %, 96 %, 18712 MiB, 24564 MiB, 332.80 W
2026/03/25 11:05:19.979, 92 %, 94 %, 18712 MiB, 24564 MiB, 332.52 W
2026/03/25 11:05:20.979, 95 %, 97 %, 18712 MiB, 24564 MiB, 334.45 W
2026/03/25 11:05:21.979, 94 %, 96 %, 18712 MiB, 24564 MiB, 335.06 W
2026/03/25 11:05:22.981, 94 %, 96 %, 18712 MiB, 24564 MiB, 335.43 W
2026/03/25 11:05:23.982, 94 %, 96 %, 18712 MiB, 24564 MiB, 335.62 W
2026/03/25 11:05:24.982, 94 %, 96 %, 18712 MiB, 24564 MiB, 335.61 W
2026/03/25 11:05:25.982, 94 %, 96 %, 18712 MiB, 24564 MiB, 333.81 W
2026/03/25 11:05:26.983, 94 %, 96 %, 18712 MiB, 24564 MiB, 336.84 W
2026/03/25 11:05:27.983, 94 %, 96 %, 18712 MiB, 24564 MiB, 337.67 W
2026/03/25 11:05:28.983, 94 %, 96 %, 18712 MiB, 24564 MiB, 337.97 W
2026/03/25 11:05:29.984, 95 %, 96 %, 18712 MiB, 24564 MiB, 338.02 W
2026/03/25 11:05:30.984, 95 %, 97 %, 18712 MiB, 24564 MiB, 341.46 W
2026/03/25 11:05:31.984, 94 %, 96 %, 18712 MiB, 24564 MiB, 339.66 W
2026/03/25 11:05:32.985, 95 %, 97 %, 18712 MiB, 24564 MiB, 342.93 W
2026/03/25 11:05:33.985, 95 %, 97 %, 18712 MiB, 24564 MiB, 343.77 W
2026/03/25 11:05:34.985, 94 %, 96 %, 18712 MiB, 24564 MiB, 344.07 W
2026/03/25 11:05:35.986, 95 %, 97 %, 18712 MiB, 24564 MiB, 344.52 W
2026/03/25 11:05:36.986, 95 %, 97 %, 18712 MiB, 24564 MiB, 345.03 W
2026/03/25 11:05:37.986, 94 %, 96 %, 18712 MiB, 24564 MiB, 343.12 W
2026/03/25 11:05:38.987, 95 %, 97 %, 18712 MiB, 24564 MiB, 345.70 W
2026/03/25 11:05:39.987, 95 %, 97 %, 18712 MiB, 24564 MiB, 346.21 W
2026/03/25 11:05:40.987, 95 %, 97 %, 18712 MiB, 24564 MiB, 346.43 W
2026/03/25 11:05:41.988, 95 %, 96 %, 18712 MiB, 24564 MiB, 346.59 W
2026/03/25 11:05:42.988, 94 %, 96 %, 18712 MiB, 24564 MiB, 346.73 W
2026/03/25 11:05:43.988, 95 %, 97 %, 18712 MiB, 24564 MiB, 345.06 W
2026/03/25 11:05:44.989, 94 %, 96 %, 18712 MiB, 24564 MiB, 348.61 W
2026/03/25 11:05:45.989, 94 %, 96 %, 18712 MiB, 24564 MiB, 348.47 W
2026/03/25 11:05:46.989, 94 %, 96 %, 18712 MiB, 24564 MiB, 348.24 W
2026/03/25 11:05:47.990, 95 %, 97 %, 18712 MiB, 24564 MiB, 349.31 W
2026/03/25 11:05:48.990, 95 %, 97 %, 18712 MiB, 24564 MiB, 349.59 W
2026/03/25 11:05:49.991, 94 %, 96 %, 18712 MiB, 24564 MiB, 347.23 W
