timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/03/25 11:10:27.126, 0 %, 0 %, 9778 MiB, 24564 MiB, 5.38 W
2026/03/25 11:10:28.126, 0 %, 0 %, 9778 MiB, 24564 MiB, 5.57 W
2026/03/25 11:10:29.127, 0 %, 0 %, 9778 MiB, 24564 MiB, 5.79 W
2026/03/25 11:10:30.127, 0 %, 0 %, 9778 MiB, 24564 MiB, 5.57 W
2026/03/25 11:10:31.127, 0 %, 0 %, 9778 MiB, 24564 MiB, 5.26 W
2026/03/25 11:10:32.128, 0 %, 0 %, 9778 MiB, 24564 MiB, 5.38 W
2026/03/25 11:10:33.128, 0 %, 0 %, 9778 MiB, 24564 MiB, 5.61 W
2026/03/25 11:10:34.128, 0 %, 0 %, 9778 MiB, 24564 MiB, 5.47 W
2026/03/25 11:10:35.129, 0 %, 0 %, 9778 MiB, 24564 MiB, 5.27 W
2026/03/25 11:10:36.129, 0 %, 0 %, 9778 MiB, 24564 MiB, 5.23 W
2026/03/25 11:10:37.129, 0 %, 0 %, 9778 MiB, 24564 MiB, 5.31 W
2026/03/25 11:10:38.130, 0 %, 0 %, 9778 MiB, 24564 MiB, 5.31 W
2026/03/25 11:10:39.130, 0 %, 0 %, 9778 MiB, 24564 MiB, 5.17 W
2026/03/25 11:10:40.130, 0 %, 0 %, 9778 MiB, 24564 MiB, 5.07 W
2026/03/25 11:10:41.131, 0 %, 0 %, 9778 MiB, 24564 MiB, 4.85 W
2026/03/25 11:10:42.131, 0 %, 0 %, 9778 MiB, 24564 MiB, 4.78 W
2026/03/25 11:10:43.132, 92 %, 94 %, 9798 MiB, 24564 MiB, 129.51 W
2026/03/25 11:10:44.132, 92 %, 94 %, 9798 MiB, 24564 MiB, 275.55 W
2026/03/25 11:10:45.132, 90 %, 92 %, 9798 MiB, 24564 MiB, 275.35 W
2026/03/25 11:10:46.133, 92 %, 94 %, 9798 MiB, 24564 MiB, 276.48 W
2026/03/25 11:10:47.133, 92 %, 94 %, 9798 MiB, 24564 MiB, 276.89 W
2026/03/25 11:10:48.133, 90 %, 92 %, 9798 MiB, 24564 MiB, 276.73 W
2026/03/25 11:10:49.134, 92 %, 94 %, 9798 MiB, 24564 MiB, 279.31 W
2026/03/25 11:10:50.134, 92 %, 94 %, 9798 MiB, 24564 MiB, 279.29 W
2026/03/25 11:10:51.134, 90 %, 92 %, 9798 MiB, 24564 MiB, 278.48 W
2026/03/25 11:10:52.134, 92 %, 94 %, 9798 MiB, 24564 MiB, 279.28 W
2026/03/25 11:10:53.135, 92 %, 94 %, 9798 MiB, 24564 MiB, 279.39 W
2026/03/25 11:10:54.135, 92 %, 94 %, 9798 MiB, 24564 MiB, 278.74 W
2026/03/25 11:10:55.136, 92 %, 94 %, 9798 MiB, 24564 MiB, 279.34 W
2026/03/25 11:10:56.136, 92 %, 94 %, 9798 MiB, 24564 MiB, 280.87 W
2026/03/25 11:10:57.137, 90 %, 92 %, 9798 MiB, 24564 MiB, 281.43 W
2026/03/25 11:10:58.137, 92 %, 94 %, 9798 MiB, 24564 MiB, 280.77 W
2026/03/25 11:10:59.137, 0 %, 0 %, 9798 MiB, 24564 MiB, 145.32 W
2026/03/25 11:11:00.138, 92 %, 94 %, 9800 MiB, 24564 MiB, 196.41 W
2026/03/25 11:11:01.138, 92 %, 94 %, 9800 MiB, 24564 MiB, 277.79 W
2026/03/25 11:11:02.138, 92 %, 94 %, 9800 MiB, 24564 MiB, 277.91 W
2026/03/25 11:11:03.139, 92 %, 94 %, 9800 MiB, 24564 MiB, 277.37 W
2026/03/25 11:11:04.139, 92 %, 94 %, 9800 MiB, 24564 MiB, 278.78 W
2026/03/25 11:11:05.139, 92 %, 94 %, 9800 MiB, 24564 MiB, 279.05 W
2026/03/25 11:11:06.140, 92 %, 94 %, 9800 MiB, 24564 MiB, 278.44 W
2026/03/25 11:11:07.140, 0 %, 0 %, 9800 MiB, 24564 MiB, 181.70 W
2026/03/25 11:11:08.140, 62 %, 28 %, 9800 MiB, 24564 MiB, 101.14 W
