timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/03/25 10:52:13.920, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.54 W
2026/03/25 10:52:14.921, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.55 W
2026/03/25 10:52:15.921, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.48 W
2026/03/25 10:52:16.921, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.49 W
2026/03/25 10:52:17.922, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.47 W
2026/03/25 10:52:18.922, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.44 W
2026/03/25 10:52:19.922, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.19 W
2026/03/25 10:52:20.923, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.93 W
2026/03/25 10:52:21.923, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.06 W
2026/03/25 10:52:22.923, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.23 W
2026/03/25 10:52:23.924, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.16 W
2026/03/25 10:52:24.924, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.18 W
2026/03/25 10:52:25.925, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.40 W
2026/03/25 10:52:26.925, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.32 W
2026/03/25 10:52:27.925, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.32 W
2026/03/25 10:52:28.927, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.34 W
2026/03/25 10:52:29.927, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.18 W
2026/03/25 10:52:30.927, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.23 W
2026/03/25 10:52:31.928, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.44 W
2026/03/25 10:52:32.928, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.43 W
2026/03/25 10:52:33.929, 94 %, 42 %, 18710 MiB, 24564 MiB, 216.97 W
2026/03/25 10:52:34.929, 95 %, 42 %, 18712 MiB, 24564 MiB, 430.34 W
2026/03/25 10:52:35.929, 96 %, 42 %, 18722 MiB, 24564 MiB, 433.30 W
2026/03/25 10:52:36.930, 95 %, 40 %, 18732 MiB, 24564 MiB, 411.49 W
2026/03/25 10:52:37.930, 95 %, 40 %, 18740 MiB, 24564 MiB, 423.53 W
2026/03/25 10:52:38.930, 98 %, 40 %, 18750 MiB, 24564 MiB, 428.13 W
2026/03/25 10:52:39.931, 84 %, 31 %, 18758 MiB, 24564 MiB, 415.07 W
2026/03/25 10:52:40.931, 94 %, 38 %, 18768 MiB, 24564 MiB, 413.52 W
2026/03/25 10:52:41.931, 84 %, 37 %, 18792 MiB, 24564 MiB, 412.64 W
2026/03/25 10:52:42.932, 95 %, 93 %, 18792 MiB, 24564 MiB, 353.71 W
2026/03/25 10:52:43.932, 94 %, 93 %, 18792 MiB, 24564 MiB, 355.37 W
2026/03/25 10:52:44.932, 95 %, 93 %, 18792 MiB, 24564 MiB, 354.98 W
2026/03/25 10:52:45.933, 94 %, 92 %, 18792 MiB, 24564 MiB, 353.15 W
2026/03/25 10:52:46.933, 94 %, 92 %, 18792 MiB, 24564 MiB, 355.92 W
2026/03/25 10:52:47.933, 95 %, 92 %, 18792 MiB, 24564 MiB, 356.41 W
2026/03/25 10:52:48.934, 94 %, 92 %, 18792 MiB, 24564 MiB, 356.23 W
2026/03/25 10:52:49.934, 95 %, 93 %, 18792 MiB, 24564 MiB, 356.73 W
2026/03/25 10:52:50.934, 95 %, 92 %, 18792 MiB, 24564 MiB, 356.76 W
2026/03/25 10:52:51.935, 94 %, 92 %, 18792 MiB, 24564 MiB, 357.00 W
2026/03/25 10:52:52.935, 94 %, 92 %, 18792 MiB, 24564 MiB, 354.25 W
2026/03/25 10:52:53.935, 94 %, 92 %, 18792 MiB, 24564 MiB, 357.33 W
