timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/03/25 10:59:38.985, 0 %, 0 %, 9778 MiB, 24564 MiB, 5.01 W
2026/03/25 10:59:39.985, 0 %, 0 %, 9778 MiB, 24564 MiB, 5.00 W
2026/03/25 10:59:40.986, 0 %, 0 %, 9778 MiB, 24564 MiB, 4.91 W
2026/03/25 10:59:41.986, 0 %, 0 %, 9778 MiB, 24564 MiB, 4.54 W
2026/03/25 10:59:42.986, 0 %, 0 %, 9778 MiB, 24564 MiB, 4.34 W
2026/03/25 10:59:43.987, 0 %, 0 %, 9778 MiB, 24564 MiB, 4.47 W
2026/03/25 10:59:44.987, 0 %, 0 %, 9778 MiB, 24564 MiB, 4.56 W
2026/03/25 10:59:45.987, 0 %, 0 %, 9778 MiB, 24564 MiB, 4.55 W
2026/03/25 10:59:46.988, 0 %, 0 %, 9778 MiB, 24564 MiB, 4.59 W
2026/03/25 10:59:47.988, 0 %, 0 %, 9778 MiB, 24564 MiB, 4.70 W
2026/03/25 10:59:48.989, 0 %, 0 %, 9778 MiB, 24564 MiB, 4.79 W
2026/03/25 10:59:49.989, 0 %, 0 %, 9778 MiB, 24564 MiB, 4.64 W
2026/03/25 10:59:50.989, 0 %, 0 %, 9778 MiB, 24564 MiB, 4.62 W
2026/03/25 10:59:51.990, 0 %, 0 %, 9778 MiB, 24564 MiB, 4.63 W
2026/03/25 10:59:52.990, 0 %, 0 %, 9778 MiB, 24564 MiB, 4.68 W
2026/03/25 10:59:53.990, 0 %, 0 %, 9778 MiB, 24564 MiB, 4.89 W
2026/03/25 10:59:54.991, 0 %, 0 %, 9778 MiB, 24564 MiB, 5.08 W
2026/03/25 10:59:55.991, 0 %, 0 %, 9778 MiB, 24564 MiB, 5.16 W
2026/03/25 10:59:56.991, 0 %, 0 %, 9778 MiB, 24564 MiB, 4.95 W
2026/03/25 10:59:57.992, 0 %, 0 %, 9778 MiB, 24564 MiB, 4.78 W
2026/03/25 10:59:58.992, 0 %, 0 %, 9778 MiB, 24564 MiB, 4.80 W
2026/03/25 10:59:59.992, 0 %, 0 %, 9778 MiB, 24564 MiB, 4.85 W
2026/03/25 11:00:00.993, 0 %, 0 %, 9788 MiB, 24564 MiB, 4.94 W
2026/03/25 11:00:01.993, 90 %, 39 %, 9824 MiB, 24564 MiB, 198.73 W
2026/03/25 11:00:02.993, 89 %, 37 %, 9852 MiB, 24564 MiB, 379.10 W
2026/03/25 11:00:03.994, 89 %, 36 %, 9878 MiB, 24564 MiB, 369.56 W
2026/03/25 11:00:04.994, 92 %, 92 %, 9878 MiB, 24564 MiB, 298.38 W
2026/03/25 11:00:05.994, 90 %, 90 %, 9878 MiB, 24564 MiB, 289.30 W
2026/03/25 11:00:06.995, 91 %, 92 %, 9878 MiB, 24564 MiB, 290.56 W
2026/03/25 11:00:07.995, 92 %, 92 %, 9878 MiB, 24564 MiB, 290.83 W
2026/03/25 11:00:08.996, 92 %, 92 %, 9878 MiB, 24564 MiB, 291.53 W
2026/03/25 11:00:09.996, 92 %, 92 %, 9878 MiB, 24564 MiB, 290.48 W
2026/03/25 11:00:10.996, 92 %, 92 %, 9878 MiB, 24564 MiB, 292.01 W
2026/03/25 11:00:11.997, 92 %, 92 %, 9878 MiB, 24564 MiB, 292.28 W
2026/03/25 11:00:12.997, 92 %, 92 %, 9878 MiB, 24564 MiB, 291.93 W
2026/03/25 11:00:13.997, 92 %, 92 %, 9878 MiB, 24564 MiB, 293.20 W
2026/03/25 11:00:14.998, 91 %, 92 %, 9878 MiB, 24564 MiB, 293.44 W
2026/03/25 11:00:15.998, 91 %, 92 %, 9878 MiB, 24564 MiB, 292.68 W
2026/03/25 11:00:16.998, 92 %, 92 %, 9878 MiB, 24564 MiB, 293.85 W
