timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/03/25 11:14:29.431, 0 %, 0 %, 9778 MiB, 24564 MiB, 5.35 W
2026/03/25 11:14:30.431, 0 %, 0 %, 9778 MiB, 24564 MiB, 5.44 W
2026/03/25 11:14:31.431, 0 %, 0 %, 9778 MiB, 24564 MiB, 5.76 W
2026/03/25 11:14:32.432, 0 %, 0 %, 9778 MiB, 24564 MiB, 5.87 W
2026/03/25 11:14:33.432, 0 %, 0 %, 9778 MiB, 24564 MiB, 5.78 W
2026/03/25 11:14:34.433, 0 %, 0 %, 9778 MiB, 24564 MiB, 5.78 W
2026/03/25 11:14:35.433, 0 %, 0 %, 9778 MiB, 24564 MiB, 5.99 W
2026/03/25 11:14:36.433, 0 %, 0 %, 9778 MiB, 24564 MiB, 6.05 W
2026/03/25 11:14:37.434, 0 %, 0 %, 9778 MiB, 24564 MiB, 5.86 W
2026/03/25 11:14:38.434, 0 %, 0 %, 9778 MiB, 24564 MiB, 5.63 W
2026/03/25 11:14:39.434, 0 %, 0 %, 9778 MiB, 24564 MiB, 5.50 W
2026/03/25 11:14:40.435, 0 %, 0 %, 9778 MiB, 24564 MiB, 5.55 W
2026/03/25 11:14:41.435, 0 %, 0 %, 9778 MiB, 24564 MiB, 5.56 W
2026/03/25 11:14:42.435, 0 %, 0 %, 9778 MiB, 24564 MiB, 5.46 W
2026/03/25 11:14:43.436, 0 %, 0 %, 9778 MiB, 24564 MiB, 5.53 W
2026/03/25 11:14:44.436, 0 %, 0 %, 9778 MiB, 24564 MiB, 5.43 W
2026/03/25 11:14:45.436, 0 %, 0 %, 9778 MiB, 24564 MiB, 5.33 W
2026/03/25 11:14:46.437, 83 %, 76 %, 9798 MiB, 24564 MiB, 86.72 W
2026/03/25 11:14:47.437, 92 %, 94 %, 9798 MiB, 24564 MiB, 273.23 W
2026/03/25 11:14:48.437, 92 %, 94 %, 9798 MiB, 24564 MiB, 275.79 W
2026/03/25 11:14:49.438, 92 %, 94 %, 9798 MiB, 24564 MiB, 275.46 W
2026/03/25 11:14:50.438, 92 %, 94 %, 9798 MiB, 24564 MiB, 276.65 W
2026/03/25 11:14:51.438, 92 %, 94 %, 9798 MiB, 24564 MiB, 277.33 W
2026/03/25 11:14:52.438, 92 %, 94 %, 9798 MiB, 24564 MiB, 277.86 W
2026/03/25 11:14:53.439, 92 %, 94 %, 9798 MiB, 24564 MiB, 279.40 W
2026/03/25 11:14:54.439, 92 %, 94 %, 9798 MiB, 24564 MiB, 279.56 W
2026/03/25 11:14:55.439, 0 %, 0 %, 9798 MiB, 24564 MiB, 103.33 W
2026/03/25 11:14:56.440, 92 %, 94 %, 9798 MiB, 24564 MiB, 227.40 W
2026/03/25 11:14:57.440, 92 %, 94 %, 9798 MiB, 24564 MiB, 278.65 W
2026/03/25 11:14:58.440, 92 %, 94 %, 9798 MiB, 24564 MiB, 278.16 W
2026/03/25 11:14:59.441, 92 %, 94 %, 9798 MiB, 24564 MiB, 279.22 W
2026/03/25 11:15:00.441, 92 %, 94 %, 9798 MiB, 24564 MiB, 279.90 W
2026/03/25 11:15:01.441, 92 %, 94 %, 9798 MiB, 24564 MiB, 279.67 W
2026/03/25 11:15:02.441, 92 %, 94 %, 9798 MiB, 24564 MiB, 280.66 W
2026/03/25 11:15:03.442, 92 %, 94 %, 9798 MiB, 24564 MiB, 279.00 W
2026/03/25 11:15:04.442, 0 %, 0 %, 9798 MiB, 24564 MiB, 126.79 W
2026/03/25 11:15:05.442, 91 %, 93 %, 9798 MiB, 24564 MiB, 198.83 W
2026/03/25 11:15:06.443, 92 %, 94 %, 9798 MiB, 24564 MiB, 277.48 W
2026/03/25 11:15:07.443, 0 %, 0 %, 9798 MiB, 24564 MiB, 148.04 W
2026/03/25 11:15:08.443, 92 %, 94 %, 9798 MiB, 24564 MiB, 195.81 W
2026/03/25 11:15:09.444, 92 %, 94 %, 9798 MiB, 24564 MiB, 277.37 W
2026/03/25 11:15:10.444, 0 %, 0 %, 9798 MiB, 24564 MiB, 126.75 W
2026/03/25 11:15:11.444, 92 %, 94 %, 9800 MiB, 24564 MiB, 192.62 W
2026/03/25 11:15:12.445, 91 %, 93 %, 9800 MiB, 24564 MiB, 276.53 W
2026/03/25 11:15:13.445, 92 %, 94 %, 9800 MiB, 24564 MiB, 278.06 W
2026/03/25 11:15:14.445, 19 %, 19 %, 9800 MiB, 24564 MiB, 248.61 W
2026/03/25 11:15:15.446, 0 %, 0 %, 9800 MiB, 24564 MiB, 95.58 W
2026/03/25 11:15:16.446, 0 %, 0 %, 9800 MiB, 24564 MiB, 64.97 W
2026/03/25 11:15:17.446, 92 %, 94 %, 9800 MiB, 24564 MiB, 157.04 W
2026/03/25 11:15:18.447, 90 %, 92 %, 9800 MiB, 24564 MiB, 279.70 W
2026/03/25 11:15:19.447, 92 %, 94 %, 9800 MiB, 24564 MiB, 281.16 W
