timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/03/25 10:46:32.927, 0 %, 0 %, 9778 MiB, 24564 MiB, 6.69 W
2026/03/25 10:46:33.927, 0 %, 0 %, 9778 MiB, 24564 MiB, 6.50 W
2026/03/25 10:46:34.927, 0 %, 0 %, 9778 MiB, 24564 MiB, 6.07 W
2026/03/25 10:46:35.928, 0 %, 0 %, 9778 MiB, 24564 MiB, 5.95 W
2026/03/25 10:46:36.928, 0 %, 0 %, 9778 MiB, 24564 MiB, 6.22 W
2026/03/25 10:46:37.928, 0 %, 0 %, 9778 MiB, 24564 MiB, 6.38 W
2026/03/25 10:46:38.929, 0 %, 0 %, 9778 MiB, 24564 MiB, 6.29 W
2026/03/25 10:46:39.929, 0 %, 0 %, 9778 MiB, 24564 MiB, 6.16 W
2026/03/25 10:46:40.929, 0 %, 0 %, 9778 MiB, 24564 MiB, 5.97 W
2026/03/25 10:46:41.930, 0 %, 0 %, 9778 MiB, 24564 MiB, 6.11 W
2026/03/25 10:46:42.930, 0 %, 0 %, 9778 MiB, 24564 MiB, 6.10 W
2026/03/25 10:46:43.930, 0 %, 0 %, 9778 MiB, 24564 MiB, 5.81 W
2026/03/25 10:46:44.931, 0 %, 0 %, 9778 MiB, 24564 MiB, 5.66 W
2026/03/25 10:46:45.931, 0 %, 0 %, 9778 MiB, 24564 MiB, 5.98 W
2026/03/25 10:46:46.931, 0 %, 0 %, 9778 MiB, 24564 MiB, 6.22 W
2026/03/25 10:46:47.935, 0 %, 0 %, 9778 MiB, 24564 MiB, 6.00 W
2026/03/25 10:46:48.935, 0 %, 0 %, 9778 MiB, 24564 MiB, 5.94 W
2026/03/25 10:46:49.936, 0 %, 0 %, 9778 MiB, 24564 MiB, 6.02 W
2026/03/25 10:46:50.936, 92 %, 95 %, 9798 MiB, 24564 MiB, 128.44 W
2026/03/25 10:46:51.936, 92 %, 95 %, 9798 MiB, 24564 MiB, 276.75 W
2026/03/25 10:46:52.937, 90 %, 92 %, 9798 MiB, 24564 MiB, 276.50 W
2026/03/25 10:46:53.937, 92 %, 94 %, 9798 MiB, 24564 MiB, 278.07 W
2026/03/25 10:46:54.937, 92 %, 94 %, 9798 MiB, 24564 MiB, 278.39 W
2026/03/25 10:46:55.938, 92 %, 94 %, 9798 MiB, 24564 MiB, 277.73 W
2026/03/25 10:46:56.938, 92 %, 94 %, 9798 MiB, 24564 MiB, 280.53 W
2026/03/25 10:46:57.938, 92 %, 94 %, 9798 MiB, 24564 MiB, 281.07 W
2026/03/25 10:46:58.939, 92 %, 94 %, 9798 MiB, 24564 MiB, 280.14 W
2026/03/25 10:46:59.939, 92 %, 94 %, 9798 MiB, 24564 MiB, 281.08 W
2026/03/25 10:47:00.939, 92 %, 94 %, 9798 MiB, 24564 MiB, 281.11 W
2026/03/25 10:47:01.940, 90 %, 92 %, 9798 MiB, 24564 MiB, 280.44 W
2026/03/25 10:47:02.940, 92 %, 94 %, 9798 MiB, 24564 MiB, 281.17 W
2026/03/25 10:47:03.940, 92 %, 94 %, 9798 MiB, 24564 MiB, 281.41 W
2026/03/25 10:47:04.941, 90 %, 92 %, 9798 MiB, 24564 MiB, 280.75 W
2026/03/25 10:47:05.941, 92 %, 94 %, 9798 MiB, 24564 MiB, 282.43 W
2026/03/25 10:47:06.941, 92 %, 94 %, 9798 MiB, 24564 MiB, 283.11 W
