timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/03/07 09:40:11.661, 95 %, 97 %, 22496 MiB, 24564 MiB, 335.04 W
2026/03/07 09:40:12.665, 94 %, 96 %, 22496 MiB, 24564 MiB, 331.58 W
2026/03/07 09:40:13.665, 94 %, 96 %, 22496 MiB, 24564 MiB, 335.77 W
2026/03/07 09:40:14.666, 94 %, 96 %, 22496 MiB, 24564 MiB, 336.13 W
2026/03/07 09:40:15.666, 94 %, 96 %, 22496 MiB, 24564 MiB, 336.26 W
2026/03/07 09:40:16.666, 95 %, 97 %, 22496 MiB, 24564 MiB, 336.89 W
2026/03/07 09:40:17.667, 95 %, 97 %, 22496 MiB, 24564 MiB, 337.25 W
2026/03/07 09:40:18.667, 94 %, 96 %, 22496 MiB, 24564 MiB, 335.20 W
2026/03/07 09:40:19.667, 94 %, 96 %, 22496 MiB, 24564 MiB, 337.84 W
2026/03/07 09:40:20.668, 94 %, 96 %, 22496 MiB, 24564 MiB, 338.24 W
2026/03/07 09:40:21.668, 94 %, 96 %, 22496 MiB, 24564 MiB, 338.61 W
2026/03/07 09:40:22.668, 95 %, 97 %, 22496 MiB, 24564 MiB, 338.68 W
2026/03/07 09:40:23.669, 95 %, 97 %, 22496 MiB, 24564 MiB, 339.28 W
2026/03/07 09:40:24.669, 14 %, 14 %, 22496 MiB, 24564 MiB, 271.81 W
2026/03/07 09:40:25.669, 24 %, 8 %, 22498 MiB, 24564 MiB, 94.41 W
2026/03/07 09:40:26.670, 95 %, 97 %, 22498 MiB, 24564 MiB, 323.17 W
2026/03/07 09:40:27.670, 95 %, 97 %, 22498 MiB, 24564 MiB, 336.07 W
2026/03/07 09:40:28.670, 95 %, 97 %, 22498 MiB, 24564 MiB, 336.45 W
2026/03/07 09:40:29.671, 94 %, 96 %, 22498 MiB, 24564 MiB, 336.79 W
2026/03/07 09:40:30.671, 94 %, 96 %, 22498 MiB, 24564 MiB, 336.78 W
2026/03/07 09:40:31.671, 95 %, 97 %, 22498 MiB, 24564 MiB, 334.40 W
