timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/03/07 08:58:06.293, 95 %, 97 %, 22496 MiB, 24564 MiB, 327.50 W
2026/03/07 08:58:07.299, 5 %, 5 %, 22496 MiB, 24564 MiB, 260.30 W
2026/03/07 08:58:08.300, 94 %, 96 %, 22496 MiB, 24564 MiB, 205.91 W
2026/03/07 08:58:09.300, 94 %, 96 %, 22496 MiB, 24564 MiB, 328.89 W
2026/03/07 08:58:10.300, 94 %, 96 %, 22496 MiB, 24564 MiB, 331.50 W
2026/03/07 08:58:11.301, 94 %, 96 %, 22496 MiB, 24564 MiB, 332.43 W
2026/03/07 08:58:12.301, 94 %, 96 %, 22496 MiB, 24564 MiB, 331.77 W
2026/03/07 08:58:13.301, 94 %, 96 %, 22496 MiB, 24564 MiB, 327.72 W
2026/03/07 08:58:14.301, 94 %, 96 %, 22496 MiB, 24564 MiB, 332.36 W
2026/03/07 08:58:15.302, 94 %, 96 %, 22496 MiB, 24564 MiB, 332.77 W
2026/03/07 08:58:16.302, 94 %, 96 %, 22496 MiB, 24564 MiB, 332.89 W
2026/03/07 08:58:17.303, 94 %, 96 %, 22496 MiB, 24564 MiB, 333.68 W
2026/03/07 08:58:18.303, 94 %, 96 %, 22496 MiB, 24564 MiB, 333.52 W
2026/03/07 08:58:19.303, 91 %, 92 %, 22496 MiB, 24564 MiB, 331.54 W
2026/03/07 08:58:20.303, 94 %, 96 %, 22496 MiB, 24564 MiB, 334.27 W
2026/03/07 08:58:21.304, 94 %, 96 %, 22496 MiB, 24564 MiB, 334.44 W
2026/03/07 08:58:22.304, 94 %, 96 %, 22496 MiB, 24564 MiB, 335.10 W
2026/03/07 08:58:23.305, 95 %, 97 %, 22496 MiB, 24564 MiB, 335.52 W
2026/03/07 08:58:24.306, 95 %, 97 %, 22496 MiB, 24564 MiB, 335.35 W
2026/03/07 08:58:25.306, 0 %, 0 %, 22496 MiB, 24564 MiB, 222.88 W
2026/03/07 08:58:26.306, 95 %, 97 %, 22496 MiB, 24564 MiB, 252.38 W
2026/03/07 08:58:27.306, 95 %, 97 %, 22496 MiB, 24564 MiB, 335.26 W
2026/03/07 08:58:28.307, 94 %, 96 %, 22496 MiB, 24564 MiB, 335.37 W
2026/03/07 08:58:29.307, 94 %, 96 %, 22496 MiB, 24564 MiB, 335.91 W
2026/03/07 08:58:30.307, 94 %, 96 %, 22496 MiB, 24564 MiB, 336.25 W
2026/03/07 08:58:31.308, 95 %, 97 %, 22496 MiB, 24564 MiB, 333.75 W
2026/03/07 08:58:32.308, 95 %, 97 %, 22496 MiB, 24564 MiB, 336.90 W
2026/03/07 08:58:33.308, 95 %, 97 %, 22496 MiB, 24564 MiB, 334.00 W
2026/03/07 08:58:34.309, 94 %, 96 %, 22496 MiB, 24564 MiB, 334.12 W
2026/03/07 08:58:35.309, 94 %, 96 %, 22496 MiB, 24564 MiB, 334.70 W
2026/03/07 08:58:36.309, 95 %, 97 %, 22496 MiB, 24564 MiB, 335.19 W
2026/03/07 08:58:37.310, 94 %, 96 %, 22496 MiB, 24564 MiB, 332.75 W
2026/03/07 08:58:38.310, 94 %, 96 %, 22496 MiB, 24564 MiB, 335.75 W
2026/03/07 08:58:39.310, 94 %, 96 %, 22496 MiB, 24564 MiB, 335.98 W
2026/03/07 08:58:40.311, 94 %, 96 %, 22496 MiB, 24564 MiB, 336.24 W
2026/03/07 08:58:41.311, 94 %, 96 %, 22496 MiB, 24564 MiB, 336.37 W
2026/03/07 08:58:42.311, 94 %, 96 %, 22496 MiB, 24564 MiB, 336.45 W
2026/03/07 08:58:43.311, 95 %, 97 %, 22496 MiB, 24564 MiB, 334.92 W
2026/03/07 08:58:44.312, 95 %, 97 %, 22496 MiB, 24564 MiB, 337.61 W
2026/03/07 08:58:45.312, 95 %, 97 %, 22496 MiB, 24564 MiB, 337.85 W
2026/03/07 08:58:46.312, 94 %, 96 %, 22496 MiB, 24564 MiB, 338.16 W
2026/03/07 08:58:47.313, 94 %, 96 %, 22496 MiB, 24564 MiB, 338.61 W
2026/03/07 08:58:48.313, 94 %, 96 %, 22496 MiB, 24564 MiB, 338.73 W
2026/03/07 08:58:49.313, 95 %, 97 %, 22496 MiB, 24564 MiB, 337.20 W
