timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/04/07 00:05:16.828, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.32 W
2026/04/07 00:05:17.829, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.32 W
2026/04/07 00:05:18.829, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.35 W
2026/04/07 00:05:19.830, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.40 W
2026/04/07 00:05:20.830, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.34 W
2026/04/07 00:05:21.830, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.32 W
2026/04/07 00:05:22.831, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.33 W
2026/04/07 00:05:23.831, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.32 W
2026/04/07 00:05:24.831, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.50 W
2026/04/07 00:05:25.832, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.61 W
2026/04/07 00:05:26.832, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.51 W
2026/04/07 00:05:27.833, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.43 W
2026/04/07 00:05:28.833, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.25 W
2026/04/07 00:05:29.833, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.23 W
2026/04/07 00:05:30.834, 0 %, 0 %, 18712 MiB, 24564 MiB, 5.68 W
2026/04/07 00:05:31.834, 94 %, 96 %, 18712 MiB, 24564 MiB, 293.66 W
2026/04/07 00:05:32.834, 94 %, 96 %, 18712 MiB, 24564 MiB, 326.23 W
2026/04/07 00:05:33.835, 95 %, 97 %, 18712 MiB, 24564 MiB, 330.19 W
2026/04/07 00:05:34.835, 95 %, 97 %, 18712 MiB, 24564 MiB, 331.04 W
2026/04/07 00:05:35.835, 95 %, 97 %, 18712 MiB, 24564 MiB, 315.19 W
2026/04/07 00:05:36.836, 94 %, 96 %, 18712 MiB, 24564 MiB, 286.75 W
2026/04/07 00:05:37.837, 92 %, 94 %, 18712 MiB, 24564 MiB, 327.49 W
2026/04/07 00:05:38.837, 95 %, 97 %, 18712 MiB, 24564 MiB, 330.33 W
2026/04/07 00:05:39.838, 95 %, 97 %, 18712 MiB, 24564 MiB, 330.62 W
2026/04/07 00:05:40.838, 94 %, 96 %, 18712 MiB, 24564 MiB, 330.89 W
2026/04/07 00:05:41.838, 94 %, 96 %, 18712 MiB, 24564 MiB, 295.69 W
2026/04/07 00:05:42.839, 94 %, 96 %, 18712 MiB, 24564 MiB, 328.41 W
2026/04/07 00:05:43.839, 95 %, 97 %, 18712 MiB, 24564 MiB, 331.62 W
2026/04/07 00:05:44.839, 95 %, 97 %, 18712 MiB, 24564 MiB, 332.03 W
2026/04/07 00:05:45.840, 95 %, 97 %, 18712 MiB, 24564 MiB, 332.30 W
2026/04/07 00:05:46.840, 94 %, 96 %, 18712 MiB, 24564 MiB, 290.64 W
2026/04/07 00:05:47.841, 95 %, 97 %, 18712 MiB, 24564 MiB, 332.27 W
2026/04/07 00:05:48.842, 95 %, 97 %, 18712 MiB, 24564 MiB, 333.34 W
2026/04/07 00:05:49.842, 94 %, 96 %, 18712 MiB, 24564 MiB, 330.97 W
2026/04/07 00:05:50.842, 94 %, 96 %, 18712 MiB, 24564 MiB, 334.38 W
2026/04/07 00:05:51.843, 91 %, 83 %, 18714 MiB, 24564 MiB, 290.30 W
2026/04/07 00:05:52.843, 94 %, 96 %, 18714 MiB, 24564 MiB, 337.92 W
2026/04/07 00:05:53.843, 94 %, 96 %, 18714 MiB, 24564 MiB, 338.46 W
2026/04/07 00:05:54.844, 95 %, 97 %, 18714 MiB, 24564 MiB, 336.72 W
2026/04/07 00:05:55.844, 94 %, 96 %, 18714 MiB, 24564 MiB, 339.68 W
2026/04/07 00:05:56.844, 92 %, 44 %, 18714 MiB, 24564 MiB, 296.46 W
2026/04/07 00:05:57.845, 95 %, 97 %, 18714 MiB, 24564 MiB, 341.39 W
2026/04/07 00:05:58.845, 95 %, 96 %, 18714 MiB, 24564 MiB, 340.92 W
2026/04/07 00:05:59.845, 94 %, 96 %, 18714 MiB, 24564 MiB, 341.01 W
2026/04/07 00:06:00.846, 94 %, 96 %, 18714 MiB, 24564 MiB, 341.34 W
2026/04/07 00:06:01.846, 77 %, 29 %, 18714 MiB, 24564 MiB, 314.48 W
2026/04/07 00:06:02.850, 95 %, 97 %, 18714 MiB, 24564 MiB, 341.00 W
2026/04/07 00:06:03.853, 95 %, 96 %, 18714 MiB, 24564 MiB, 342.21 W
2026/04/07 00:06:04.853, 95 %, 97 %, 18714 MiB, 24564 MiB, 342.28 W
2026/04/07 00:06:05.853, 89 %, 90 %, 18714 MiB, 24564 MiB, 339.61 W
2026/04/07 00:06:06.854, 6 %, 0 %, 18714 MiB, 24564 MiB, 286.61 W
2026/04/07 00:06:07.854, 94 %, 96 %, 18714 MiB, 24564 MiB, 347.82 W
2026/04/07 00:06:08.854, 95 %, 97 %, 18714 MiB, 24564 MiB, 342.59 W
2026/04/07 00:06:09.855, 94 %, 96 %, 18714 MiB, 24564 MiB, 341.18 W
2026/04/07 00:06:10.855, 94 %, 96 %, 18714 MiB, 24564 MiB, 344.28 W
2026/04/07 00:06:11.855, 61 %, 62 %, 18714 MiB, 24564 MiB, 303.70 W
2026/04/07 00:06:12.856, 0 %, 0 %, 18714 MiB, 24564 MiB, 103.24 W
