timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/04/07 00:10:33.895, 0 %, 0 %, 17660 MiB, 24564 MiB, 5.31 W
2026/04/07 00:10:34.895, 0 %, 0 %, 17660 MiB, 24564 MiB, 5.27 W
2026/04/07 00:10:35.896, 0 %, 0 %, 17660 MiB, 24564 MiB, 5.19 W
2026/04/07 00:10:36.896, 0 %, 0 %, 17660 MiB, 24564 MiB, 5.15 W
2026/04/07 00:10:37.896, 0 %, 0 %, 17660 MiB, 24564 MiB, 5.12 W
2026/04/07 00:10:38.897, 0 %, 0 %, 17660 MiB, 24564 MiB, 5.11 W
2026/04/07 00:10:39.897, 0 %, 0 %, 17660 MiB, 24564 MiB, 5.02 W
2026/04/07 00:10:40.897, 0 %, 0 %, 17660 MiB, 24564 MiB, 4.80 W
2026/04/07 00:10:41.898, 0 %, 0 %, 17660 MiB, 24564 MiB, 4.63 W
2026/04/07 00:10:42.898, 0 %, 0 %, 17660 MiB, 24564 MiB, 4.67 W
2026/04/07 00:10:43.898, 0 %, 0 %, 17660 MiB, 24564 MiB, 4.76 W
2026/04/07 00:10:44.899, 0 %, 0 %, 17660 MiB, 24564 MiB, 4.63 W
2026/04/07 00:10:45.899, 0 %, 0 %, 17660 MiB, 24564 MiB, 4.44 W
2026/04/07 00:10:46.899, 0 %, 0 %, 17660 MiB, 24564 MiB, 4.41 W
2026/04/07 00:10:47.900, 0 %, 0 %, 17660 MiB, 24564 MiB, 4.36 W
2026/04/07 00:10:48.900, 94 %, 95 %, 17680 MiB, 24564 MiB, 158.46 W
2026/04/07 00:10:49.900, 94 %, 95 %, 17680 MiB, 24564 MiB, 334.07 W
2026/04/07 00:10:50.901, 94 %, 95 %, 17680 MiB, 24564 MiB, 335.98 W
2026/04/07 00:10:51.901, 94 %, 95 %, 17680 MiB, 24564 MiB, 334.46 W
2026/04/07 00:10:52.901, 94 %, 95 %, 17680 MiB, 24564 MiB, 335.52 W
2026/04/07 00:10:53.902, 94 %, 95 %, 17680 MiB, 24564 MiB, 310.20 W
2026/04/07 00:10:54.902, 94 %, 95 %, 17680 MiB, 24564 MiB, 334.98 W
2026/04/07 00:10:55.902, 94 %, 95 %, 17680 MiB, 24564 MiB, 337.94 W
2026/04/07 00:10:56.903, 94 %, 94 %, 17680 MiB, 24564 MiB, 338.22 W
2026/04/07 00:10:57.903, 94 %, 95 %, 17680 MiB, 24564 MiB, 338.47 W
2026/04/07 00:10:58.903, 94 %, 95 %, 17680 MiB, 24564 MiB, 315.47 W
2026/04/07 00:10:59.904, 94 %, 95 %, 17680 MiB, 24564 MiB, 340.33 W
2026/04/07 00:11:00.904, 94 %, 95 %, 17680 MiB, 24564 MiB, 343.58 W
2026/04/07 00:11:01.904, 94 %, 95 %, 17680 MiB, 24564 MiB, 344.05 W
2026/04/07 00:11:02.905, 94 %, 95 %, 17680 MiB, 24564 MiB, 343.96 W
2026/04/07 00:11:03.905, 0 %, 0 %, 17680 MiB, 24564 MiB, 163.29 W
2026/04/07 00:11:04.905, 94 %, 95 %, 17680 MiB, 24564 MiB, 212.23 W
2026/04/07 00:11:05.906, 94 %, 95 %, 17680 MiB, 24564 MiB, 344.48 W
2026/04/07 00:11:06.906, 94 %, 95 %, 17680 MiB, 24564 MiB, 345.29 W
2026/04/07 00:11:07.906, 94 %, 95 %, 17680 MiB, 24564 MiB, 343.53 W
2026/04/07 00:11:08.907, 94 %, 95 %, 17680 MiB, 24564 MiB, 346.03 W
2026/04/07 00:11:09.907, 91 %, 78 %, 17680 MiB, 24564 MiB, 314.39 W
2026/04/07 00:11:10.907, 94 %, 95 %, 17680 MiB, 24564 MiB, 347.07 W
2026/04/07 00:11:11.908, 94 %, 95 %, 17680 MiB, 24564 MiB, 347.22 W
2026/04/07 00:11:12.908, 94 %, 95 %, 17680 MiB, 24564 MiB, 345.85 W
2026/04/07 00:11:13.908, 94 %, 95 %, 17680 MiB, 24564 MiB, 348.54 W
2026/04/07 00:11:14.909, 70 %, 29 %, 17680 MiB, 24564 MiB, 298.73 W
2026/04/07 00:11:15.909, 94 %, 95 %, 17680 MiB, 24564 MiB, 356.40 W
2026/04/07 00:11:16.909, 94 %, 95 %, 17680 MiB, 24564 MiB, 349.60 W
2026/04/07 00:11:17.910, 94 %, 95 %, 17680 MiB, 24564 MiB, 349.61 W
2026/04/07 00:11:18.911, 94 %, 95 %, 17680 MiB, 24564 MiB, 349.87 W
2026/04/07 00:11:19.911, 6 %, 6 %, 17680 MiB, 24564 MiB, 303.66 W
2026/04/07 00:11:20.912, 91 %, 91 %, 17680 MiB, 24564 MiB, 242.03 W
2026/04/07 00:11:21.912, 88 %, 89 %, 17680 MiB, 24564 MiB, 341.28 W
2026/04/07 00:11:22.913, 94 %, 95 %, 17680 MiB, 24564 MiB, 347.17 W
2026/04/07 00:11:23.913, 94 %, 95 %, 17680 MiB, 24564 MiB, 351.35 W
2026/04/07 00:11:24.913, 94 %, 95 %, 17680 MiB, 24564 MiB, 349.11 W
2026/04/07 00:11:25.914, 94 %, 95 %, 17680 MiB, 24564 MiB, 339.08 W
2026/04/07 00:11:26.914, 94 %, 94 %, 17680 MiB, 24564 MiB, 347.64 W
2026/04/07 00:11:27.914, 91 %, 90 %, 17680 MiB, 24564 MiB, 346.21 W
2026/04/07 00:11:28.915, 94 %, 95 %, 17680 MiB, 24564 MiB, 349.17 W
2026/04/07 00:11:29.915, 94 %, 95 %, 17680 MiB, 24564 MiB, 340.59 W
2026/04/07 00:11:30.915, 0 %, 0 %, 17680 MiB, 24564 MiB, 112.31 W
2026/04/07 00:11:31.916, 0 %, 0 %, 17680 MiB, 24564 MiB, 66.41 W
2026/04/07 00:11:32.916, 96 %, 41 %, 17680 MiB, 24564 MiB, 147.90 W
2026/04/07 00:11:33.916, 95 %, 40 %, 17680 MiB, 24564 MiB, 429.52 W
2026/04/07 00:11:34.917, 95 %, 40 %, 17688 MiB, 24564 MiB, 432.57 W
2026/04/07 00:11:35.917, 0 %, 0 %, 17692 MiB, 24564 MiB, 332.67 W
2026/04/07 00:11:36.917, 0 %, 0 %, 17692 MiB, 24564 MiB, 137.35 W
2026/04/07 00:11:37.918, 99 %, 43 %, 17692 MiB, 24564 MiB, 304.81 W
2026/04/07 00:11:38.918, 99 %, 42 %, 17692 MiB, 24564 MiB, 444.60 W
2026/04/07 00:11:39.918, 99 %, 41 %, 17692 MiB, 24564 MiB, 444.44 W
2026/04/07 00:11:40.919, 91 %, 38 %, 17692 MiB, 24564 MiB, 324.16 W
2026/04/07 00:11:41.919, 94 %, 95 %, 17692 MiB, 24564 MiB, 359.97 W
2026/04/07 00:11:42.919, 94 %, 95 %, 17692 MiB, 24564 MiB, 352.05 W
2026/04/07 00:11:43.920, 94 %, 94 %, 17692 MiB, 24564 MiB, 349.91 W
2026/04/07 00:11:44.920, 94 %, 94 %, 17692 MiB, 24564 MiB, 352.30 W
2026/04/07 00:11:45.920, 0 %, 0 %, 17692 MiB, 24564 MiB, 200.43 W
2026/04/07 00:11:46.921, 94 %, 44 %, 17692 MiB, 24564 MiB, 157.78 W
2026/04/07 00:11:47.921, 94 %, 95 %, 17692 MiB, 24564 MiB, 352.74 W
2026/04/07 00:11:48.921, 94 %, 95 %, 17692 MiB, 24564 MiB, 355.63 W
2026/04/07 00:11:49.922, 94 %, 94 %, 17692 MiB, 24564 MiB, 353.82 W
2026/04/07 00:11:50.922, 94 %, 95 %, 17692 MiB, 24564 MiB, 356.88 W
2026/04/07 00:11:51.922, 92 %, 37 %, 17692 MiB, 24564 MiB, 316.74 W
2026/04/07 00:11:52.923, 94 %, 95 %, 17692 MiB, 24564 MiB, 350.08 W
2026/04/07 00:11:53.923, 94 %, 95 %, 17692 MiB, 24564 MiB, 350.56 W
2026/04/07 00:11:54.923, 94 %, 95 %, 17692 MiB, 24564 MiB, 353.15 W
2026/04/07 00:11:55.924, 94 %, 95 %, 17692 MiB, 24564 MiB, 353.26 W
2026/04/07 00:11:56.924, 30 %, 8 %, 17692 MiB, 24564 MiB, 309.72 W
2026/04/07 00:11:57.924, 94 %, 95 %, 17692 MiB, 24564 MiB, 362.19 W
2026/04/07 00:11:58.925, 94 %, 94 %, 17692 MiB, 24564 MiB, 353.48 W
2026/04/07 00:11:59.926, 94 %, 94 %, 17692 MiB, 24564 MiB, 350.98 W
2026/04/07 00:12:00.926, 94 %, 95 %, 17692 MiB, 24564 MiB, 353.75 W
2026/04/07 00:12:01.927, 29 %, 29 %, 17692 MiB, 24564 MiB, 302.41 W
2026/04/07 00:12:02.927, 94 %, 95 %, 17692 MiB, 24564 MiB, 346.51 W
2026/04/07 00:12:03.927, 94 %, 94 %, 17692 MiB, 24564 MiB, 352.81 W
2026/04/07 00:12:04.928, 94 %, 94 %, 17692 MiB, 24564 MiB, 351.27 W
2026/04/07 00:12:05.928, 94 %, 95 %, 17692 MiB, 24564 MiB, 354.39 W
2026/04/07 00:12:06.928, 84 %, 84 %, 17692 MiB, 24564 MiB, 319.85 W
2026/04/07 00:12:07.929, 94 %, 95 %, 17692 MiB, 24564 MiB, 319.08 W
2026/04/07 00:12:08.929, 94 %, 95 %, 17692 MiB, 24564 MiB, 355.24 W
2026/04/07 00:12:09.930, 94 %, 94 %, 17692 MiB, 24564 MiB, 352.76 W
2026/04/07 00:12:10.930, 94 %, 95 %, 17692 MiB, 24564 MiB, 355.42 W
2026/04/07 00:12:11.930, 94 %, 94 %, 17692 MiB, 24564 MiB, 352.28 W
2026/04/07 00:12:12.963, 94 %, 94 %, 17692 MiB, 24564 MiB, 274.09 W
2026/04/07 00:12:13.963, 94 %, 94 %, 17692 MiB, 24564 MiB, 358.98 W
2026/04/07 00:12:14.963, 94 %, 94 %, 17692 MiB, 24564 MiB, 359.82 W
2026/04/07 00:12:15.964, 94 %, 94 %, 17692 MiB, 24564 MiB, 359.71 W
2026/04/07 00:12:16.964, 94 %, 95 %, 17692 MiB, 24564 MiB, 357.80 W
2026/04/07 00:12:17.964, 94 %, 94 %, 17692 MiB, 24564 MiB, 284.16 W
2026/04/07 00:12:18.965, 94 %, 95 %, 17692 MiB, 24564 MiB, 356.69 W
2026/04/07 00:12:19.965, 94 %, 94 %, 17692 MiB, 24564 MiB, 360.82 W
2026/04/07 00:12:20.965, 94 %, 95 %, 17692 MiB, 24564 MiB, 360.81 W
2026/04/07 00:12:21.966, 94 %, 94 %, 17692 MiB, 24564 MiB, 360.59 W
2026/04/07 00:12:22.966, 94 %, 94 %, 17692 MiB, 24564 MiB, 296.81 W
2026/04/07 00:12:23.966, 94 %, 94 %, 17692 MiB, 24564 MiB, 360.30 W
