timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/04/07 00:28:31.416, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.39 W
2026/04/07 00:28:32.417, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.26 W
2026/04/07 00:28:33.417, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.22 W
2026/04/07 00:28:34.417, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.14 W
2026/04/07 00:28:35.418, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.13 W
2026/04/07 00:28:36.418, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.23 W
2026/04/07 00:28:37.418, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.25 W
2026/04/07 00:28:38.419, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.23 W
2026/04/07 00:28:39.419, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.26 W
2026/04/07 00:28:40.419, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.41 W
2026/04/07 00:28:41.420, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.67 W
2026/04/07 00:28:42.420, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.69 W
2026/04/07 00:28:43.420, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.46 W
2026/04/07 00:28:44.421, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.22 W
2026/04/07 00:28:45.421, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.29 W
2026/04/07 00:28:46.421, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.43 W
2026/04/07 00:28:47.424, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.46 W
2026/04/07 00:28:48.424, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.45 W
2026/04/07 00:28:49.424, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.64 W
2026/04/07 00:28:50.425, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.80 W
2026/04/07 00:28:51.425, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.59 W
2026/04/07 00:28:52.425, 29 %, 12 %, 18712 MiB, 24564 MiB, 50.18 W
2026/04/07 00:28:53.426, 95 %, 97 %, 18712 MiB, 24564 MiB, 315.03 W
2026/04/07 00:28:54.426, 13 %, 13 %, 18712 MiB, 24564 MiB, 265.75 W
2026/04/07 00:28:55.427, 0 %, 0 %, 18712 MiB, 24564 MiB, 98.64 W
2026/04/07 00:28:56.427, 0 %, 0 %, 18712 MiB, 24564 MiB, 63.61 W
2026/04/07 00:28:57.427, 96 %, 40 %, 18712 MiB, 24564 MiB, 117.52 W
2026/04/07 00:28:58.428, 95 %, 97 %, 18712 MiB, 24564 MiB, 331.46 W
2026/04/07 00:28:59.428, 94 %, 96 %, 18712 MiB, 24564 MiB, 333.02 W
2026/04/07 00:29:00.428, 94 %, 96 %, 18712 MiB, 24564 MiB, 336.98 W
2026/04/07 00:29:01.429, 57 %, 20 %, 18712 MiB, 24564 MiB, 327.39 W
2026/04/07 00:29:02.429, 91 %, 92 %, 18712 MiB, 24564 MiB, 341.75 W
2026/04/07 00:29:03.429, 93 %, 95 %, 18712 MiB, 24564 MiB, 333.38 W
2026/04/07 00:29:04.430, 95 %, 97 %, 18712 MiB, 24564 MiB, 335.64 W
2026/04/07 00:29:05.430, 90 %, 92 %, 18712 MiB, 24564 MiB, 334.07 W
2026/04/07 00:29:06.430, 95 %, 97 %, 18712 MiB, 24564 MiB, 338.24 W
2026/04/07 00:29:07.431, 0 %, 0 %, 18712 MiB, 24564 MiB, 253.50 W
2026/04/07 00:29:08.431, 47 %, 20 %, 18712 MiB, 24564 MiB, 132.48 W
2026/04/07 00:29:09.431, 94 %, 96 %, 18712 MiB, 24564 MiB, 342.60 W
2026/04/07 00:29:10.432, 94 %, 96 %, 18712 MiB, 24564 MiB, 337.02 W
2026/04/07 00:29:11.432, 95 %, 97 %, 18712 MiB, 24564 MiB, 337.51 W
2026/04/07 00:29:12.432, 95 %, 97 %, 18712 MiB, 24564 MiB, 340.30 W
2026/04/07 00:29:13.433, 50 %, 51 %, 18712 MiB, 24564 MiB, 293.43 W
2026/04/07 00:29:14.434, 94 %, 96 %, 18712 MiB, 24564 MiB, 326.57 W
2026/04/07 00:29:15.434, 95 %, 97 %, 18712 MiB, 24564 MiB, 339.22 W
2026/04/07 00:29:16.435, 95 %, 97 %, 18712 MiB, 24564 MiB, 342.12 W
2026/04/07 00:29:17.435, 95 %, 97 %, 18712 MiB, 24564 MiB, 342.55 W
2026/04/07 00:29:18.435, 94 %, 96 %, 18712 MiB, 24564 MiB, 317.57 W
2026/04/07 00:29:19.436, 0 %, 0 %, 18712 MiB, 24564 MiB, 97.39 W
2026/04/07 00:29:20.437, 0 %, 0 %, 18712 MiB, 24564 MiB, 64.36 W
2026/04/07 00:29:21.437, 94 %, 96 %, 18712 MiB, 24564 MiB, 297.56 W
2026/04/07 00:29:22.437, 95 %, 96 %, 18712 MiB, 24564 MiB, 336.51 W
2026/04/07 00:29:23.438, 94 %, 96 %, 18712 MiB, 24564 MiB, 337.19 W
2026/04/07 00:29:24.438, 91 %, 92 %, 18712 MiB, 24564 MiB, 338.09 W
2026/04/07 00:29:25.438, 61 %, 62 %, 18712 MiB, 24564 MiB, 342.34 W
2026/04/07 00:29:26.439, 94 %, 96 %, 18712 MiB, 24564 MiB, 263.20 W
2026/04/07 00:29:27.439, 94 %, 96 %, 18712 MiB, 24564 MiB, 342.23 W
2026/04/07 00:29:28.439, 90 %, 92 %, 18712 MiB, 24564 MiB, 342.52 W
2026/04/07 00:29:29.440, 94 %, 96 %, 18712 MiB, 24564 MiB, 342.68 W
2026/04/07 00:29:30.440, 94 %, 96 %, 18712 MiB, 24564 MiB, 345.89 W
2026/04/07 00:29:31.440, 0 %, 0 %, 18712 MiB, 24564 MiB, 167.98 W
2026/04/07 00:29:32.441, 0 %, 0 %, 18712 MiB, 24564 MiB, 117.51 W
2026/04/07 00:29:33.441, 94 %, 96 %, 18712 MiB, 24564 MiB, 147.82 W
2026/04/07 00:29:34.441, 94 %, 96 %, 18712 MiB, 24564 MiB, 344.29 W
2026/04/07 00:29:35.442, 94 %, 96 %, 18712 MiB, 24564 MiB, 340.55 W
2026/04/07 00:29:36.442, 95 %, 97 %, 18712 MiB, 24564 MiB, 343.16 W
2026/04/07 00:29:37.443, 94 %, 96 %, 18712 MiB, 24564 MiB, 346.15 W
2026/04/07 00:29:38.443, 94 %, 96 %, 18714 MiB, 24564 MiB, 301.35 W
2026/04/07 00:29:39.443, 94 %, 96 %, 18714 MiB, 24564 MiB, 346.41 W
2026/04/07 00:29:40.444, 95 %, 97 %, 18714 MiB, 24564 MiB, 345.02 W
2026/04/07 00:29:41.444, 94 %, 96 %, 18714 MiB, 24564 MiB, 345.37 W
2026/04/07 00:29:42.444, 95 %, 97 %, 18714 MiB, 24564 MiB, 346.11 W
2026/04/07 00:29:43.445, 0 %, 0 %, 18714 MiB, 24564 MiB, 210.40 W
2026/04/07 00:29:44.445, 0 %, 0 %, 18714 MiB, 24564 MiB, 109.10 W
2026/04/07 00:29:45.446, 97 %, 46 %, 18714 MiB, 24564 MiB, 120.00 W
2026/04/07 00:29:46.446, 95 %, 97 %, 18714 MiB, 24564 MiB, 344.35 W
2026/04/07 00:29:47.446, 90 %, 92 %, 18714 MiB, 24564 MiB, 345.17 W
