timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/04/07 00:36:56.649, 0 %, 0 %, 17660 MiB, 24564 MiB, 5.51 W
2026/04/07 00:36:57.650, 0 %, 0 %, 17660 MiB, 24564 MiB, 5.62 W
2026/04/07 00:36:58.650, 0 %, 0 %, 17660 MiB, 24564 MiB, 5.45 W
2026/04/07 00:36:59.650, 0 %, 0 %, 17660 MiB, 24564 MiB, 5.41 W
2026/04/07 00:37:00.651, 0 %, 0 %, 17660 MiB, 24564 MiB, 5.40 W
2026/04/07 00:37:01.651, 0 %, 0 %, 17660 MiB, 24564 MiB, 5.36 W
2026/04/07 00:37:02.651, 0 %, 0 %, 17660 MiB, 24564 MiB, 5.23 W
2026/04/07 00:37:03.652, 0 %, 0 %, 17660 MiB, 24564 MiB, 5.17 W
2026/04/07 00:37:04.652, 0 %, 0 %, 17660 MiB, 24564 MiB, 5.20 W
2026/04/07 00:37:05.652, 0 %, 0 %, 17660 MiB, 24564 MiB, 5.34 W
2026/04/07 00:37:06.653, 0 %, 0 %, 17660 MiB, 24564 MiB, 5.34 W
2026/04/07 00:37:07.653, 0 %, 0 %, 17660 MiB, 24564 MiB, 5.14 W
2026/04/07 00:37:08.653, 0 %, 0 %, 17660 MiB, 24564 MiB, 5.06 W
2026/04/07 00:37:09.654, 0 %, 0 %, 17660 MiB, 24564 MiB, 5.01 W
2026/04/07 00:37:10.654, 0 %, 0 %, 17660 MiB, 24564 MiB, 5.21 W
2026/04/07 00:37:11.654, 94 %, 95 %, 17680 MiB, 24564 MiB, 124.92 W
2026/04/07 00:37:12.655, 90 %, 90 %, 17680 MiB, 24564 MiB, 335.52 W
2026/04/07 00:37:13.655, 94 %, 95 %, 17680 MiB, 24564 MiB, 338.15 W
2026/04/07 00:37:14.655, 94 %, 95 %, 17680 MiB, 24564 MiB, 335.77 W
2026/04/07 00:37:15.656, 94 %, 95 %, 17680 MiB, 24564 MiB, 336.54 W
2026/04/07 00:37:16.656, 0 %, 0 %, 17680 MiB, 24564 MiB, 128.95 W
2026/04/07 00:37:17.656, 0 %, 0 %, 17680 MiB, 24564 MiB, 104.37 W
2026/04/07 00:37:18.657, 94 %, 95 %, 17680 MiB, 24564 MiB, 166.96 W
2026/04/07 00:37:19.657, 92 %, 92 %, 17680 MiB, 24564 MiB, 338.05 W
2026/04/07 00:37:20.657, 94 %, 95 %, 17680 MiB, 24564 MiB, 341.62 W
2026/04/07 00:37:21.658, 94 %, 95 %, 17680 MiB, 24564 MiB, 342.27 W
2026/04/07 00:37:22.658, 94 %, 95 %, 17680 MiB, 24564 MiB, 342.61 W
2026/04/07 00:37:23.658, 93 %, 93 %, 17680 MiB, 24564 MiB, 306.25 W
2026/04/07 00:37:24.659, 94 %, 95 %, 17680 MiB, 24564 MiB, 339.37 W
2026/04/07 00:37:25.659, 94 %, 95 %, 17680 MiB, 24564 MiB, 341.62 W
2026/04/07 00:37:26.659, 94 %, 95 %, 17680 MiB, 24564 MiB, 344.14 W
