timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/04/07 02:16:12.373, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.76 W
2026/04/07 02:16:13.373, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.80 W
2026/04/07 02:16:14.373, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.76 W
2026/04/07 02:16:15.374, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.77 W
2026/04/07 02:16:16.374, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.76 W
2026/04/07 02:16:17.374, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.64 W
2026/04/07 02:16:18.375, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.41 W
2026/04/07 02:16:19.375, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.30 W
2026/04/07 02:16:20.375, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.39 W
2026/04/07 02:16:21.376, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.52 W
2026/04/07 02:16:22.376, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.50 W
2026/04/07 02:16:23.376, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.44 W
2026/04/07 02:16:24.377, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.50 W
2026/04/07 02:16:25.377, 0 %, 0 %, 18692 MiB, 24564 MiB, 5.60 W
2026/04/07 02:16:26.378, 60 %, 24 %, 18712 MiB, 24564 MiB, 74.78 W
2026/04/07 02:16:27.378, 95 %, 97 %, 18712 MiB, 24564 MiB, 318.45 W
2026/04/07 02:16:28.378, 94 %, 96 %, 18712 MiB, 24564 MiB, 329.40 W
2026/04/07 02:16:29.379, 94 %, 96 %, 18712 MiB, 24564 MiB, 332.35 W
2026/04/07 02:16:30.379, 94 %, 96 %, 18712 MiB, 24564 MiB, 333.15 W
2026/04/07 02:16:31.379, 0 %, 0 %, 18712 MiB, 24564 MiB, 253.20 W
2026/04/07 02:16:32.380, 0 %, 0 %, 18712 MiB, 24564 MiB, 107.75 W
2026/04/07 02:16:33.380, 45 %, 18 %, 18712 MiB, 24564 MiB, 83.19 W
2026/04/07 02:16:34.388, 94 %, 96 %, 18712 MiB, 24564 MiB, 341.10 W
2026/04/07 02:16:35.389, 95 %, 97 %, 18712 MiB, 24564 MiB, 332.47 W
2026/04/07 02:16:36.389, 95 %, 97 %, 18712 MiB, 24564 MiB, 335.47 W
2026/04/07 02:16:37.389, 95 %, 97 %, 18712 MiB, 24564 MiB, 335.74 W
2026/04/07 02:16:38.390, 95 %, 97 %, 18712 MiB, 24564 MiB, 336.23 W
2026/04/07 02:16:39.390, 54 %, 45 %, 18712 MiB, 24564 MiB, 314.84 W
2026/04/07 02:16:40.390, 95 %, 97 %, 18712 MiB, 24564 MiB, 347.46 W
2026/04/07 02:16:41.391, 94 %, 96 %, 18712 MiB, 24564 MiB, 334.90 W
2026/04/07 02:16:42.391, 94 %, 96 %, 18712 MiB, 24564 MiB, 337.59 W
2026/04/07 02:16:43.391, 94 %, 96 %, 18712 MiB, 24564 MiB, 337.38 W
2026/04/07 02:16:44.402, 0 %, 0 %, 18712 MiB, 24564 MiB, 115.08 W
2026/04/07 02:16:45.402, 0 %, 0 %, 18712 MiB, 24564 MiB, 67.55 W
2026/04/07 02:16:46.403, 95 %, 97 %, 18712 MiB, 24564 MiB, 282.29 W
2026/04/07 02:16:47.403, 94 %, 96 %, 18712 MiB, 24564 MiB, 335.87 W
2026/04/07 02:16:48.403, 94 %, 96 %, 18712 MiB, 24564 MiB, 337.23 W
2026/04/07 02:16:49.404, 94 %, 96 %, 18712 MiB, 24564 MiB, 335.06 W
2026/04/07 02:16:50.404, 94 %, 96 %, 18712 MiB, 24564 MiB, 335.41 W
2026/04/07 02:16:51.404, 94 %, 96 %, 18712 MiB, 24564 MiB, 294.09 W
2026/04/07 02:16:52.405, 95 %, 97 %, 18712 MiB, 24564 MiB, 336.84 W
2026/04/07 02:16:53.405, 95 %, 97 %, 18712 MiB, 24564 MiB, 339.77 W
2026/04/07 02:16:54.406, 94 %, 96 %, 18712 MiB, 24564 MiB, 340.12 W
2026/04/07 02:16:55.406, 94 %, 96 %, 18712 MiB, 24564 MiB, 340.83 W
2026/04/07 02:16:56.406, 94 %, 96 %, 18712 MiB, 24564 MiB, 341.47 W
2026/04/07 02:16:57.407, 0 %, 0 %, 18712 MiB, 24564 MiB, 160.62 W
2026/04/07 02:16:58.407, 94 %, 96 %, 18712 MiB, 24564 MiB, 228.00 W
2026/04/07 02:16:59.407, 94 %, 96 %, 18712 MiB, 24564 MiB, 338.41 W
2026/04/07 02:17:00.408, 95 %, 97 %, 18712 MiB, 24564 MiB, 341.43 W
2026/04/07 02:17:01.408, 95 %, 97 %, 18712 MiB, 24564 MiB, 342.54 W
2026/04/07 02:17:02.408, 95 %, 97 %, 18712 MiB, 24564 MiB, 342.92 W
2026/04/07 02:17:03.409, 94 %, 59 %, 18712 MiB, 24564 MiB, 288.36 W
2026/04/07 02:17:04.409, 94 %, 96 %, 18712 MiB, 24564 MiB, 342.34 W
2026/04/07 02:17:05.409, 94 %, 96 %, 18712 MiB, 24564 MiB, 343.71 W
2026/04/07 02:17:06.410, 91 %, 92 %, 18712 MiB, 24564 MiB, 341.36 W
2026/04/07 02:17:07.410, 95 %, 97 %, 18712 MiB, 24564 MiB, 344.31 W
2026/04/07 02:17:08.410, 0 %, 0 %, 18712 MiB, 24564 MiB, 241.23 W
2026/04/07 02:17:09.411, 0 %, 0 %, 18712 MiB, 24564 MiB, 116.00 W
2026/04/07 02:17:10.411, 0 %, 0 %, 18712 MiB, 24564 MiB, 65.62 W
2026/04/07 02:17:11.411, 94 %, 96 %, 18712 MiB, 24564 MiB, 227.84 W
2026/04/07 02:17:12.412, 94 %, 96 %, 18712 MiB, 24564 MiB, 343.26 W
2026/04/07 02:17:13.412, 94 %, 96 %, 18712 MiB, 24564 MiB, 344.12 W
2026/04/07 02:17:14.412, 95 %, 97 %, 18712 MiB, 24564 MiB, 342.23 W
2026/04/07 02:17:15.413, 95 %, 97 %, 18712 MiB, 24564 MiB, 345.49 W
2026/04/07 02:17:16.413, 95 %, 97 %, 18714 MiB, 24564 MiB, 332.20 W
2026/04/07 02:17:17.413, 94 %, 96 %, 18714 MiB, 24564 MiB, 341.91 W
2026/04/07 02:17:18.414, 90 %, 91 %, 18714 MiB, 24564 MiB, 339.80 W
2026/04/07 02:17:19.414, 95 %, 97 %, 18714 MiB, 24564 MiB, 342.22 W
2026/04/07 02:17:20.414, 86 %, 88 %, 18714 MiB, 24564 MiB, 314.89 W
2026/04/07 02:17:21.415, 0 %, 0 %, 18714 MiB, 24564 MiB, 116.08 W
2026/04/07 02:17:22.415, 0 %, 0 %, 18714 MiB, 24564 MiB, 67.28 W
2026/04/07 02:17:23.415, 95 %, 97 %, 18714 MiB, 24564 MiB, 269.75 W
2026/04/07 02:17:24.416, 94 %, 96 %, 18714 MiB, 24564 MiB, 345.66 W
2026/04/07 02:17:25.416, 91 %, 92 %, 18714 MiB, 24564 MiB, 344.15 W
2026/04/07 02:17:26.416, 95 %, 97 %, 18714 MiB, 24564 MiB, 347.38 W
2026/04/07 02:17:27.417, 94 %, 96 %, 18714 MiB, 24564 MiB, 347.67 W
2026/04/07 02:17:28.417, 95 %, 97 %, 18714 MiB, 24564 MiB, 303.09 W
2026/04/07 02:17:29.419, 95 %, 97 %, 18714 MiB, 24564 MiB, 344.82 W
2026/04/07 02:17:30.420, 95 %, 97 %, 18714 MiB, 24564 MiB, 344.82 W
2026/04/07 02:17:31.420, 94 %, 96 %, 18714 MiB, 24564 MiB, 345.53 W
2026/04/07 02:17:32.420, 94 %, 96 %, 18714 MiB, 24564 MiB, 345.71 W
2026/04/07 02:17:33.421, 0 %, 0 %, 18714 MiB, 24564 MiB, 156.79 W
2026/04/07 02:17:34.421, 0 %, 0 %, 18714 MiB, 24564 MiB, 106.58 W
2026/04/07 02:17:35.421, 94 %, 96 %, 18714 MiB, 24564 MiB, 163.24 W
2026/04/07 02:17:36.422, 94 %, 96 %, 18714 MiB, 24564 MiB, 344.61 W
2026/04/07 02:17:37.422, 95 %, 97 %, 18714 MiB, 24564 MiB, 345.05 W
2026/04/07 02:17:38.422, 95 %, 97 %, 18714 MiB, 24564 MiB, 345.59 W
2026/04/07 02:17:39.423, 94 %, 96 %, 18714 MiB, 24564 MiB, 345.49 W
2026/04/07 02:17:40.423, 66 %, 24 %, 18714 MiB, 24564 MiB, 199.64 W
2026/04/07 02:17:41.423, 94 %, 96 %, 18714 MiB, 24564 MiB, 332.74 W
2026/04/07 02:17:42.424, 94 %, 96 %, 18714 MiB, 24564 MiB, 345.40 W
2026/04/07 02:17:43.424, 95 %, 97 %, 18714 MiB, 24564 MiB, 346.05 W
2026/04/07 02:17:44.424, 91 %, 92 %, 18714 MiB, 24564 MiB, 343.50 W
2026/04/07 02:17:45.425, 94 %, 96 %, 18714 MiB, 24564 MiB, 346.38 W
2026/04/07 02:17:46.425, 88 %, 90 %, 18714 MiB, 24564 MiB, 295.32 W
2026/04/07 02:17:47.425, 93 %, 53 %, 18714 MiB, 24564 MiB, 156.89 W
2026/04/07 02:17:48.426, 95 %, 97 %, 18714 MiB, 24564 MiB, 345.57 W
2026/04/07 02:17:49.426, 95 %, 97 %, 18714 MiB, 24564 MiB, 347.14 W
2026/04/07 02:17:50.426, 95 %, 97 %, 18714 MiB, 24564 MiB, 347.19 W
2026/04/07 02:17:51.427, 92 %, 93 %, 18714 MiB, 24564 MiB, 345.02 W
2026/04/07 02:17:52.427, 0 %, 0 %, 18714 MiB, 24564 MiB, 271.95 W
2026/04/07 02:17:53.428, 68 %, 24 %, 18714 MiB, 24564 MiB, 75.36 W
2026/04/07 02:17:54.428, 94 %, 96 %, 18714 MiB, 24564 MiB, 349.20 W
2026/04/07 02:17:55.428, 94 %, 96 %, 18714 MiB, 24564 MiB, 347.20 W
2026/04/07 02:17:56.429, 95 %, 97 %, 18714 MiB, 24564 MiB, 345.88 W
2026/04/07 02:17:57.429, 0 %, 0 %, 18714 MiB, 24564 MiB, 299.89 W
2026/04/07 02:17:58.429, 0 %, 0 %, 18714 MiB, 24564 MiB, 98.84 W
2026/04/07 02:17:59.429, 0 %, 0 %, 18714 MiB, 24564 MiB, 67.61 W
2026/04/07 02:18:00.430, 0 %, 0 %, 18714 MiB, 24564 MiB, 61.45 W
2026/04/07 02:18:01.430, 0 %, 0 %, 18714 MiB, 24564 MiB, 55.48 W
2026/04/07 02:18:02.430, 93 %, 95 %, 18714 MiB, 24564 MiB, 224.79 W
2026/04/07 02:18:03.431, 95 %, 97 %, 18714 MiB, 24564 MiB, 349.93 W
2026/04/07 02:18:04.431, 95 %, 97 %, 18714 MiB, 24564 MiB, 348.17 W
2026/04/07 02:18:05.431, 94 %, 96 %, 18714 MiB, 24564 MiB, 348.79 W
2026/04/07 02:18:06.432, 0 %, 0 %, 18714 MiB, 24564 MiB, 185.39 W
2026/04/07 02:18:07.432, 0 %, 0 %, 18714 MiB, 24564 MiB, 108.48 W
2026/04/07 02:18:08.433, 95 %, 42 %, 18714 MiB, 24564 MiB, 215.29 W
2026/04/07 02:18:09.433, 94 %, 41 %, 18714 MiB, 24564 MiB, 431.41 W
2026/04/07 02:18:10.433, 95 %, 41 %, 18724 MiB, 24564 MiB, 429.83 W
2026/04/07 02:18:11.434, 95 %, 40 %, 18732 MiB, 24564 MiB, 412.53 W
2026/04/07 02:18:12.434, 0 %, 0 %, 18734 MiB, 24564 MiB, 209.23 W
2026/04/07 02:18:13.434, 0 %, 0 %, 18734 MiB, 24564 MiB, 143.67 W
2026/04/07 02:18:14.435, 0 %, 0 %, 18734 MiB, 24564 MiB, 70.48 W
2026/04/07 02:18:15.435, 59 %, 24 %, 18738 MiB, 24564 MiB, 97.47 W
2026/04/07 02:18:16.435, 95 %, 39 %, 18748 MiB, 24564 MiB, 427.77 W
2026/04/07 02:18:17.436, 95 %, 39 %, 18756 MiB, 24564 MiB, 432.08 W
2026/04/07 02:18:18.436, 94 %, 38 %, 18764 MiB, 24564 MiB, 407.28 W
2026/04/07 02:18:19.436, 0 %, 0 %, 18766 MiB, 24564 MiB, 202.77 W
2026/04/07 02:18:20.437, 0 %, 0 %, 18766 MiB, 24564 MiB, 138.23 W
2026/04/07 02:18:21.437, 99 %, 44 %, 18766 MiB, 24564 MiB, 143.62 W
2026/04/07 02:18:22.437, 99 %, 43 %, 18766 MiB, 24564 MiB, 445.51 W
2026/04/07 02:18:23.438, 99 %, 43 %, 18766 MiB, 24564 MiB, 444.13 W
2026/04/07 02:18:24.438, 49 %, 21 %, 18766 MiB, 24564 MiB, 345.10 W
2026/04/07 02:18:25.439, 0 %, 0 %, 18766 MiB, 24564 MiB, 110.04 W
2026/04/07 02:18:26.439, 0 %, 0 %, 18766 MiB, 24564 MiB, 69.76 W
2026/04/07 02:18:27.439, 0 %, 0 %, 18766 MiB, 24564 MiB, 62.68 W
2026/04/07 02:18:28.440, 0 %, 0 %, 18766 MiB, 24564 MiB, 55.73 W
2026/04/07 02:18:29.440, 0 %, 0 %, 18766 MiB, 24564 MiB, 55.28 W
2026/04/07 02:18:30.440, 0 %, 0 %, 18766 MiB, 24564 MiB, 54.78 W
2026/04/07 02:18:31.441, 91 %, 59 %, 18766 MiB, 24564 MiB, 144.28 W
2026/04/07 02:18:32.441, 95 %, 97 %, 18766 MiB, 24564 MiB, 342.19 W
2026/04/07 02:18:33.442, 91 %, 92 %, 18766 MiB, 24564 MiB, 341.20 W
2026/04/07 02:18:34.442, 94 %, 96 %, 18766 MiB, 24564 MiB, 343.82 W
2026/04/07 02:18:35.442, 91 %, 92 %, 18766 MiB, 24564 MiB, 344.99 W
2026/04/07 02:18:36.443, 94 %, 96 %, 18766 MiB, 24564 MiB, 343.00 W
