timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/04/07 03:31:54.570, 0 %, 0 %, 18692 MiB, 24564 MiB, 79.75 W
2026/04/07 03:31:55.571, 94 %, 96 %, 18712 MiB, 24564 MiB, 184.84 W
2026/04/07 03:31:56.571, 90 %, 92 %, 18712 MiB, 24564 MiB, 330.87 W
2026/04/07 03:31:57.571, 95 %, 97 %, 18712 MiB, 24564 MiB, 334.61 W
2026/04/07 03:31:58.572, 95 %, 97 %, 18712 MiB, 24564 MiB, 335.34 W
2026/04/07 03:31:59.572, 95 %, 97 %, 18712 MiB, 24564 MiB, 338.07 W
2026/04/07 03:32:00.572, 95 %, 97 %, 18712 MiB, 24564 MiB, 338.28 W
2026/04/07 03:32:01.573, 95 %, 97 %, 18712 MiB, 24564 MiB, 335.42 W
2026/04/07 03:32:02.573, 91 %, 93 %, 18712 MiB, 24564 MiB, 332.44 W
2026/04/07 03:32:03.573, 94 %, 96 %, 18712 MiB, 24564 MiB, 334.87 W
2026/04/07 03:32:04.574, 95 %, 97 %, 18712 MiB, 24564 MiB, 335.35 W
2026/04/07 03:32:05.574, 95 %, 97 %, 18712 MiB, 24564 MiB, 335.83 W
2026/04/07 03:32:06.574, 95 %, 97 %, 18712 MiB, 24564 MiB, 335.98 W
2026/04/07 03:32:07.575, 95 %, 97 %, 18712 MiB, 24564 MiB, 336.78 W
2026/04/07 03:32:08.575, 94 %, 96 %, 18712 MiB, 24564 MiB, 334.76 W
2026/04/07 03:32:09.575, 95 %, 97 %, 18712 MiB, 24564 MiB, 337.19 W
2026/04/07 03:32:10.576, 95 %, 97 %, 18712 MiB, 24564 MiB, 337.95 W
2026/04/07 03:32:11.576, 95 %, 97 %, 18712 MiB, 24564 MiB, 338.41 W
2026/04/07 03:32:12.576, 93 %, 95 %, 18712 MiB, 24564 MiB, 316.24 W
2026/04/07 03:32:13.577, 94 %, 96 %, 18712 MiB, 24564 MiB, 341.82 W
2026/04/07 03:32:14.577, 95 %, 97 %, 18712 MiB, 24564 MiB, 340.08 W
2026/04/07 03:32:15.577, 95 %, 97 %, 18712 MiB, 24564 MiB, 343.25 W
2026/04/07 03:32:16.578, 95 %, 97 %, 18712 MiB, 24564 MiB, 343.42 W
2026/04/07 03:32:17.578, 95 %, 97 %, 18712 MiB, 24564 MiB, 344.10 W
2026/04/07 03:32:18.578, 94 %, 96 %, 18712 MiB, 24564 MiB, 344.42 W
2026/04/07 03:32:19.579, 94 %, 96 %, 18712 MiB, 24564 MiB, 342.78 W
2026/04/07 03:32:20.579, 95 %, 97 %, 18712 MiB, 24564 MiB, 343.01 W
2026/04/07 03:32:21.579, 95 %, 97 %, 18712 MiB, 24564 MiB, 345.35 W
2026/04/07 03:32:22.580, 95 %, 97 %, 18712 MiB, 24564 MiB, 345.97 W
2026/04/07 03:32:23.580, 94 %, 96 %, 18712 MiB, 24564 MiB, 346.17 W
2026/04/07 03:32:24.580, 94 %, 96 %, 18712 MiB, 24564 MiB, 346.59 W
2026/04/07 03:32:25.581, 93 %, 95 %, 18712 MiB, 24564 MiB, 344.23 W
2026/04/07 03:32:26.581, 95 %, 97 %, 18712 MiB, 24564 MiB, 345.91 W
2026/04/07 03:32:27.581, 95 %, 97 %, 18712 MiB, 24564 MiB, 347.83 W
2026/04/07 03:32:28.582, 94 %, 96 %, 18712 MiB, 24564 MiB, 348.45 W
2026/04/07 03:32:29.582, 94 %, 96 %, 18712 MiB, 24564 MiB, 348.87 W
2026/04/07 03:32:30.582, 94 %, 96 %, 18712 MiB, 24564 MiB, 349.10 W
2026/04/07 03:32:31.583, 93 %, 94 %, 18712 MiB, 24564 MiB, 347.01 W
2026/04/07 03:32:32.583, 98 %, 48 %, 18712 MiB, 24564 MiB, 324.73 W
2026/04/07 03:32:33.583, 91 %, 92 %, 18712 MiB, 24564 MiB, 347.08 W
2026/04/07 03:32:34.584, 95 %, 97 %, 18712 MiB, 24564 MiB, 345.50 W
2026/04/07 03:32:35.584, 95 %, 97 %, 18712 MiB, 24564 MiB, 345.65 W
2026/04/07 03:32:36.584, 94 %, 96 %, 18712 MiB, 24564 MiB, 345.76 W
2026/04/07 03:32:37.585, 94 %, 96 %, 18712 MiB, 24564 MiB, 346.41 W
2026/04/07 03:32:38.585, 94 %, 96 %, 18712 MiB, 24564 MiB, 346.59 W
2026/04/07 03:32:39.585, 91 %, 92 %, 18712 MiB, 24564 MiB, 345.12 W
2026/04/07 03:32:40.586, 94 %, 96 %, 18712 MiB, 24564 MiB, 347.63 W
2026/04/07 03:32:41.586, 94 %, 96 %, 18712 MiB, 24564 MiB, 347.66 W
2026/04/07 03:32:42.586, 94 %, 96 %, 18712 MiB, 24564 MiB, 348.70 W
2026/04/07 03:32:43.587, 94 %, 96 %, 18712 MiB, 24564 MiB, 348.57 W
2026/04/07 03:32:44.587, 95 %, 97 %, 18712 MiB, 24564 MiB, 348.59 W
2026/04/07 03:32:45.587, 90 %, 92 %, 18712 MiB, 24564 MiB, 346.61 W
2026/04/07 03:32:46.588, 94 %, 96 %, 18712 MiB, 24564 MiB, 349.57 W
2026/04/07 03:32:47.588, 95 %, 97 %, 18712 MiB, 24564 MiB, 349.24 W
2026/04/07 03:32:48.588, 94 %, 96 %, 18712 MiB, 24564 MiB, 321.41 W
2026/04/07 03:32:49.589, 94 %, 96 %, 18712 MiB, 24564 MiB, 348.06 W
2026/04/07 03:32:50.589, 94 %, 96 %, 18712 MiB, 24564 MiB, 348.99 W
2026/04/07 03:32:51.589, 94 %, 96 %, 18712 MiB, 24564 MiB, 346.67 W
2026/04/07 03:32:52.590, 94 %, 96 %, 18712 MiB, 24564 MiB, 349.93 W
2026/04/07 03:32:53.592, 94 %, 96 %, 18712 MiB, 24564 MiB, 349.93 W
2026/04/07 03:32:54.592, 95 %, 97 %, 18712 MiB, 24564 MiB, 350.52 W
2026/04/07 03:32:55.592, 95 %, 97 %, 18712 MiB, 24564 MiB, 350.68 W
2026/04/07 03:32:56.593, 95 %, 97 %, 18712 MiB, 24564 MiB, 350.78 W
2026/04/07 03:32:57.593, 94 %, 96 %, 18712 MiB, 24564 MiB, 348.36 W
2026/04/07 03:32:58.593, 95 %, 97 %, 18712 MiB, 24564 MiB, 351.70 W
2026/04/07 03:32:59.594, 95 %, 97 %, 18712 MiB, 24564 MiB, 351.83 W
2026/04/07 03:33:00.594, 94 %, 96 %, 18712 MiB, 24564 MiB, 351.76 W
2026/04/07 03:33:01.594, 66 %, 23 %, 18714 MiB, 24564 MiB, 322.76 W
2026/04/07 03:33:02.595, 94 %, 96 %, 18714 MiB, 24564 MiB, 357.98 W
2026/04/07 03:33:03.595, 95 %, 97 %, 18714 MiB, 24564 MiB, 356.27 W
2026/04/07 03:33:04.595, 94 %, 96 %, 18714 MiB, 24564 MiB, 354.47 W
2026/04/07 03:33:05.596, 94 %, 96 %, 18714 MiB, 24564 MiB, 356.86 W
2026/04/07 03:33:06.596, 95 %, 97 %, 18714 MiB, 24564 MiB, 356.77 W
2026/04/07 03:33:07.596, 95 %, 97 %, 18714 MiB, 24564 MiB, 356.64 W
2026/04/07 03:33:08.597, 94 %, 96 %, 18714 MiB, 24564 MiB, 356.98 W
2026/04/07 03:33:09.597, 94 %, 96 %, 18714 MiB, 24564 MiB, 357.16 W
2026/04/07 03:33:10.597, 95 %, 96 %, 18714 MiB, 24564 MiB, 355.31 W
2026/04/07 03:33:11.598, 95 %, 96 %, 18714 MiB, 24564 MiB, 358.02 W
2026/04/07 03:33:12.598, 94 %, 96 %, 18714 MiB, 24564 MiB, 358.20 W
2026/04/07 03:33:13.598, 94 %, 96 %, 18714 MiB, 24564 MiB, 358.29 W
2026/04/07 03:33:14.599, 94 %, 96 %, 18714 MiB, 24564 MiB, 358.70 W
2026/04/07 03:33:15.601, 95 %, 97 %, 18714 MiB, 24564 MiB, 358.81 W
2026/04/07 03:33:16.602, 94 %, 96 %, 18714 MiB, 24564 MiB, 356.50 W
2026/04/07 03:33:17.602, 94 %, 96 %, 18714 MiB, 24564 MiB, 359.25 W
