timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/04/07 03:40:58.292, 0 %, 0 %, 17660 MiB, 24564 MiB, 90.11 W
2026/04/07 03:40:59.292, 94 %, 95 %, 17680 MiB, 24564 MiB, 198.89 W
2026/04/07 03:41:00.293, 90 %, 90 %, 17680 MiB, 24564 MiB, 354.33 W
2026/04/07 03:41:01.293, 93 %, 94 %, 17680 MiB, 24564 MiB, 357.86 W
2026/04/07 03:41:02.293, 94 %, 95 %, 17680 MiB, 24564 MiB, 359.12 W
2026/04/07 03:41:03.294, 94 %, 95 %, 17680 MiB, 24564 MiB, 359.63 W
2026/04/07 03:41:04.294, 94 %, 95 %, 17680 MiB, 24564 MiB, 360.29 W
2026/04/07 03:41:05.294, 94 %, 95 %, 17680 MiB, 24564 MiB, 360.50 W
2026/04/07 03:41:06.295, 94 %, 95 %, 17680 MiB, 24564 MiB, 358.79 W
2026/04/07 03:41:07.295, 94 %, 95 %, 17680 MiB, 24564 MiB, 361.71 W
2026/04/07 03:41:08.295, 94 %, 94 %, 17680 MiB, 24564 MiB, 362.18 W
2026/04/07 03:41:09.296, 94 %, 95 %, 17680 MiB, 24564 MiB, 362.30 W
2026/04/07 03:41:10.296, 94 %, 95 %, 17680 MiB, 24564 MiB, 362.50 W
2026/04/07 03:41:11.296, 94 %, 95 %, 17680 MiB, 24564 MiB, 362.96 W
2026/04/07 03:41:12.297, 94 %, 95 %, 17680 MiB, 24564 MiB, 362.90 W
2026/04/07 03:41:13.297, 94 %, 95 %, 17680 MiB, 24564 MiB, 367.60 W
2026/04/07 03:41:14.297, 94 %, 95 %, 17680 MiB, 24564 MiB, 367.98 W
2026/04/07 03:41:15.297, 94 %, 94 %, 17680 MiB, 24564 MiB, 368.94 W
2026/04/07 03:41:16.298, 94 %, 95 %, 17680 MiB, 24564 MiB, 369.13 W
2026/04/07 03:41:17.298, 90 %, 90 %, 17680 MiB, 24564 MiB, 367.09 W
2026/04/07 03:41:18.298, 94 %, 94 %, 17680 MiB, 24564 MiB, 369.93 W
2026/04/07 03:41:19.299, 98 %, 45 %, 17680 MiB, 24564 MiB, 356.86 W
2026/04/07 03:41:20.299, 94 %, 95 %, 17680 MiB, 24564 MiB, 368.64 W
2026/04/07 03:41:21.305, 94 %, 94 %, 17680 MiB, 24564 MiB, 366.84 W
2026/04/07 03:41:22.307, 94 %, 95 %, 17680 MiB, 24564 MiB, 369.97 W
2026/04/07 03:41:23.307, 94 %, 95 %, 17680 MiB, 24564 MiB, 370.16 W
2026/04/07 03:41:24.307, 94 %, 94 %, 17680 MiB, 24564 MiB, 370.43 W
2026/04/07 03:41:25.308, 94 %, 95 %, 17680 MiB, 24564 MiB, 370.19 W
2026/04/07 03:41:26.308, 94 %, 95 %, 17680 MiB, 24564 MiB, 367.96 W
2026/04/07 03:41:27.308, 94 %, 95 %, 17680 MiB, 24564 MiB, 370.99 W
2026/04/07 03:41:28.309, 94 %, 94 %, 17680 MiB, 24564 MiB, 370.88 W
2026/04/07 03:41:29.309, 94 %, 95 %, 17680 MiB, 24564 MiB, 371.36 W
2026/04/07 03:41:30.309, 94 %, 95 %, 17680 MiB, 24564 MiB, 371.41 W
2026/04/07 03:41:31.310, 94 %, 94 %, 17680 MiB, 24564 MiB, 370.92 W
2026/04/07 03:41:32.310, 94 %, 95 %, 17680 MiB, 24564 MiB, 369.19 W
2026/04/07 03:41:33.310, 94 %, 94 %, 17680 MiB, 24564 MiB, 372.02 W
2026/04/07 03:41:34.311, 94 %, 94 %, 17680 MiB, 24564 MiB, 372.30 W
2026/04/07 03:41:35.311, 94 %, 94 %, 17680 MiB, 24564 MiB, 372.77 W
2026/04/07 03:41:36.311, 94 %, 94 %, 17680 MiB, 24564 MiB, 372.72 W
2026/04/07 03:41:37.312, 94 %, 94 %, 17680 MiB, 24564 MiB, 372.64 W
2026/04/07 03:41:38.312, 94 %, 94 %, 17680 MiB, 24564 MiB, 370.21 W
2026/04/07 03:41:39.312, 94 %, 94 %, 17680 MiB, 24564 MiB, 372.85 W
2026/04/07 03:41:40.313, 94 %, 94 %, 17680 MiB, 24564 MiB, 372.66 W
2026/04/07 03:41:41.313, 94 %, 94 %, 17680 MiB, 24564 MiB, 373.18 W
2026/04/07 03:41:42.313, 94 %, 95 %, 17680 MiB, 24564 MiB, 359.80 W
2026/04/07 03:41:43.314, 94 %, 95 %, 17680 MiB, 24564 MiB, 370.23 W
2026/04/07 03:41:44.314, 94 %, 95 %, 17680 MiB, 24564 MiB, 372.90 W
2026/04/07 03:41:45.314, 94 %, 94 %, 17680 MiB, 24564 MiB, 373.37 W
2026/04/07 03:41:46.315, 94 %, 95 %, 17680 MiB, 24564 MiB, 373.06 W
2026/04/07 03:41:47.315, 94 %, 94 %, 17680 MiB, 24564 MiB, 373.42 W
2026/04/07 03:41:48.315, 94 %, 95 %, 17680 MiB, 24564 MiB, 373.32 W
2026/04/07 03:41:49.316, 94 %, 95 %, 17680 MiB, 24564 MiB, 371.08 W
2026/04/07 03:41:50.316, 94 %, 94 %, 17680 MiB, 24564 MiB, 373.16 W
2026/04/07 03:41:51.316, 94 %, 95 %, 17680 MiB, 24564 MiB, 373.65 W
2026/04/07 03:41:52.317, 94 %, 94 %, 17680 MiB, 24564 MiB, 373.38 W
2026/04/07 03:41:53.317, 94 %, 95 %, 17680 MiB, 24564 MiB, 373.17 W
2026/04/07 03:41:54.317, 93 %, 94 %, 17680 MiB, 24564 MiB, 370.97 W
2026/04/07 03:41:55.318, 94 %, 95 %, 17680 MiB, 24564 MiB, 373.73 W
2026/04/07 03:41:56.318, 94 %, 95 %, 17680 MiB, 24564 MiB, 374.01 W
2026/04/07 03:41:57.318, 94 %, 95 %, 17680 MiB, 24564 MiB, 374.55 W
2026/04/07 03:41:58.319, 94 %, 94 %, 17680 MiB, 24564 MiB, 374.46 W
2026/04/07 03:41:59.319, 94 %, 94 %, 17680 MiB, 24564 MiB, 374.40 W
2026/04/07 03:42:00.319, 94 %, 94 %, 17680 MiB, 24564 MiB, 372.21 W
2026/04/07 03:42:01.320, 94 %, 94 %, 17680 MiB, 24564 MiB, 374.75 W
2026/04/07 03:42:02.320, 91 %, 91 %, 17680 MiB, 24564 MiB, 358.66 W
2026/04/07 03:42:03.321, 94 %, 94 %, 17680 MiB, 24564 MiB, 371.95 W
2026/04/07 03:42:04.321, 94 %, 94 %, 17680 MiB, 24564 MiB, 374.15 W
2026/04/07 03:42:05.321, 94 %, 94 %, 17680 MiB, 24564 MiB, 371.20 W
2026/04/07 03:42:06.322, 95 %, 95 %, 17680 MiB, 24564 MiB, 374.52 W
2026/04/07 03:42:07.322, 94 %, 94 %, 17680 MiB, 24564 MiB, 374.50 W
2026/04/07 03:42:08.322, 94 %, 94 %, 17680 MiB, 24564 MiB, 374.51 W
2026/04/07 03:42:09.322, 94 %, 94 %, 17680 MiB, 24564 MiB, 374.70 W
2026/04/07 03:42:10.323, 94 %, 94 %, 17680 MiB, 24564 MiB, 374.95 W
2026/04/07 03:42:11.323, 94 %, 95 %, 17680 MiB, 24564 MiB, 372.60 W
2026/04/07 03:42:12.323, 94 %, 94 %, 17680 MiB, 24564 MiB, 375.34 W
