timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/04/07 04:12:11.327, 0 %, 0 %, 18692 MiB, 24564 MiB, 59.99 W
2026/04/07 04:12:12.328, 75 %, 43 %, 18712 MiB, 24564 MiB, 171.59 W
2026/04/07 04:12:13.328, 94 %, 96 %, 18712 MiB, 24564 MiB, 354.25 W
2026/04/07 04:12:14.328, 94 %, 96 %, 18712 MiB, 24564 MiB, 355.71 W
2026/04/07 04:12:15.329, 95 %, 97 %, 18712 MiB, 24564 MiB, 355.80 W
2026/04/07 04:12:16.329, 95 %, 97 %, 18712 MiB, 24564 MiB, 356.49 W
2026/04/07 04:12:17.329, 94 %, 96 %, 18712 MiB, 24564 MiB, 354.66 W
2026/04/07 04:12:18.329, 95 %, 96 %, 18712 MiB, 24564 MiB, 357.25 W
2026/04/07 04:12:19.329, 95 %, 97 %, 18712 MiB, 24564 MiB, 357.55 W
2026/04/07 04:12:20.330, 95 %, 97 %, 18712 MiB, 24564 MiB, 358.31 W
2026/04/07 04:12:21.330, 94 %, 96 %, 18712 MiB, 24564 MiB, 357.89 W
2026/04/07 04:12:22.330, 94 %, 96 %, 18712 MiB, 24564 MiB, 358.32 W
2026/04/07 04:12:23.330, 95 %, 97 %, 18712 MiB, 24564 MiB, 356.29 W
2026/04/07 04:12:24.331, 94 %, 96 %, 18712 MiB, 24564 MiB, 359.47 W
2026/04/07 04:12:25.331, 94 %, 96 %, 18712 MiB, 24564 MiB, 359.63 W
2026/04/07 04:12:26.331, 94 %, 96 %, 18712 MiB, 24564 MiB, 360.67 W
2026/04/07 04:12:27.332, 95 %, 97 %, 18712 MiB, 24564 MiB, 361.14 W
2026/04/07 04:12:28.332, 94 %, 96 %, 18712 MiB, 24564 MiB, 361.15 W
2026/04/07 04:12:29.332, 94 %, 96 %, 18712 MiB, 24564 MiB, 359.10 W
2026/04/07 04:12:30.332, 94 %, 96 %, 18712 MiB, 24564 MiB, 361.14 W
2026/04/07 04:12:31.333, 95 %, 96 %, 18712 MiB, 24564 MiB, 363.27 W
2026/04/07 04:12:32.333, 95 %, 97 %, 18712 MiB, 24564 MiB, 365.99 W
2026/04/07 04:12:33.333, 94 %, 96 %, 18712 MiB, 24564 MiB, 366.40 W
2026/04/07 04:12:34.333, 95 %, 96 %, 18712 MiB, 24564 MiB, 366.88 W
2026/04/07 04:12:35.334, 94 %, 96 %, 18712 MiB, 24564 MiB, 365.13 W
2026/04/07 04:12:36.334, 95 %, 96 %, 18712 MiB, 24564 MiB, 367.85 W
2026/04/07 04:12:37.335, 92 %, 74 %, 18712 MiB, 24564 MiB, 339.24 W
2026/04/07 04:12:38.335, 94 %, 96 %, 18712 MiB, 24564 MiB, 365.63 W
2026/04/07 04:12:39.335, 95 %, 97 %, 18712 MiB, 24564 MiB, 366.91 W
2026/04/07 04:12:40.335, 95 %, 97 %, 18712 MiB, 24564 MiB, 367.09 W
2026/04/07 04:12:41.335, 94 %, 96 %, 18712 MiB, 24564 MiB, 367.46 W
2026/04/07 04:12:42.336, 95 %, 96 %, 18712 MiB, 24564 MiB, 365.40 W
2026/04/07 04:12:43.336, 95 %, 97 %, 18712 MiB, 24564 MiB, 368.24 W
2026/04/07 04:12:44.337, 94 %, 96 %, 18712 MiB, 24564 MiB, 368.32 W
2026/04/07 04:12:45.337, 95 %, 97 %, 18712 MiB, 24564 MiB, 368.22 W
2026/04/07 04:12:46.338, 94 %, 96 %, 18712 MiB, 24564 MiB, 368.41 W
2026/04/07 04:12:47.338, 94 %, 96 %, 18712 MiB, 24564 MiB, 368.81 W
2026/04/07 04:12:48.338, 95 %, 97 %, 18712 MiB, 24564 MiB, 366.61 W
2026/04/07 04:12:49.338, 94 %, 96 %, 18712 MiB, 24564 MiB, 369.18 W
2026/04/07 04:12:50.339, 94 %, 96 %, 18712 MiB, 24564 MiB, 369.25 W
2026/04/07 04:12:51.339, 94 %, 96 %, 18712 MiB, 24564 MiB, 369.57 W
2026/04/07 04:12:52.339, 94 %, 96 %, 18712 MiB, 24564 MiB, 369.33 W
2026/04/07 04:12:53.339, 94 %, 96 %, 18712 MiB, 24564 MiB, 369.87 W
2026/04/07 04:12:54.341, 94 %, 96 %, 18712 MiB, 24564 MiB, 368.40 W
2026/04/07 04:12:55.341, 94 %, 96 %, 18712 MiB, 24564 MiB, 370.94 W
2026/04/07 04:12:56.341, 95 %, 97 %, 18712 MiB, 24564 MiB, 370.73 W
2026/04/07 04:12:57.342, 95 %, 97 %, 18712 MiB, 24564 MiB, 370.24 W
2026/04/07 04:12:58.342, 94 %, 96 %, 18712 MiB, 24564 MiB, 370.55 W
2026/04/07 04:12:59.342, 92 %, 78 %, 18712 MiB, 24564 MiB, 320.08 W
2026/04/07 04:13:00.342, 94 %, 96 %, 18712 MiB, 24564 MiB, 366.89 W
2026/04/07 04:13:01.343, 94 %, 96 %, 18712 MiB, 24564 MiB, 369.32 W
2026/04/07 04:13:02.343, 95 %, 97 %, 18712 MiB, 24564 MiB, 369.64 W
2026/04/07 04:13:03.343, 95 %, 97 %, 18712 MiB, 24564 MiB, 370.18 W
2026/04/07 04:13:04.344, 94 %, 96 %, 18712 MiB, 24564 MiB, 342.09 W
2026/04/07 04:13:05.344, 94 %, 96 %, 18712 MiB, 24564 MiB, 366.85 W
