timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/04/07 04:14:59.239, 0 %, 0 %, 17660 MiB, 24564 MiB, 92.54 W
2026/04/07 04:15:00.240, 94 %, 95 %, 17680 MiB, 24564 MiB, 288.04 W
2026/04/07 04:15:01.240, 94 %, 95 %, 17680 MiB, 24564 MiB, 367.67 W
2026/04/07 04:15:02.240, 94 %, 95 %, 17680 MiB, 24564 MiB, 368.84 W
2026/04/07 04:15:03.240, 94 %, 95 %, 17680 MiB, 24564 MiB, 370.31 W
2026/04/07 04:15:04.241, 94 %, 95 %, 17680 MiB, 24564 MiB, 370.57 W
2026/04/07 04:15:05.241, 94 %, 95 %, 17680 MiB, 24564 MiB, 367.81 W
2026/04/07 04:15:06.241, 94 %, 95 %, 17680 MiB, 24564 MiB, 370.69 W
2026/04/07 04:15:07.242, 94 %, 94 %, 17680 MiB, 24564 MiB, 371.23 W
2026/04/07 04:15:08.242, 94 %, 95 %, 17680 MiB, 24564 MiB, 371.44 W
2026/04/07 04:15:09.242, 94 %, 95 %, 17680 MiB, 24564 MiB, 371.43 W
2026/04/07 04:15:10.243, 94 %, 94 %, 17680 MiB, 24564 MiB, 370.45 W
2026/04/07 04:15:11.244, 94 %, 95 %, 17680 MiB, 24564 MiB, 370.02 W
2026/04/07 04:15:12.244, 94 %, 95 %, 17680 MiB, 24564 MiB, 372.60 W
2026/04/07 04:15:13.244, 94 %, 94 %, 17680 MiB, 24564 MiB, 372.72 W
2026/04/07 04:15:14.245, 94 %, 95 %, 17680 MiB, 24564 MiB, 373.55 W
2026/04/07 04:15:15.245, 94 %, 95 %, 17680 MiB, 24564 MiB, 373.72 W
2026/04/07 04:15:16.245, 90 %, 90 %, 17680 MiB, 24564 MiB, 371.29 W
2026/04/07 04:15:17.246, 94 %, 94 %, 17680 MiB, 24564 MiB, 374.30 W
2026/04/07 04:15:18.246, 94 %, 94 %, 17680 MiB, 24564 MiB, 374.79 W
2026/04/07 04:15:19.246, 94 %, 95 %, 17680 MiB, 24564 MiB, 374.49 W
2026/04/07 04:15:20.247, 94 %, 95 %, 17680 MiB, 24564 MiB, 374.93 W
2026/04/07 04:15:21.247, 94 %, 94 %, 17680 MiB, 24564 MiB, 375.74 W
2026/04/07 04:15:22.247, 94 %, 94 %, 17680 MiB, 24564 MiB, 373.04 W
2026/04/07 04:15:23.248, 94 %, 94 %, 17680 MiB, 24564 MiB, 376.17 W
2026/04/07 04:15:24.248, 94 %, 94 %, 17680 MiB, 24564 MiB, 376.17 W
2026/04/07 04:15:25.248, 94 %, 94 %, 17680 MiB, 24564 MiB, 376.15 W
2026/04/07 04:15:26.248, 94 %, 94 %, 17680 MiB, 24564 MiB, 376.07 W
2026/04/07 04:15:27.249, 95 %, 95 %, 17680 MiB, 24564 MiB, 376.81 W
2026/04/07 04:15:28.249, 94 %, 94 %, 17680 MiB, 24564 MiB, 373.90 W
2026/04/07 04:15:29.252, 94 %, 94 %, 17680 MiB, 24564 MiB, 376.49 W
2026/04/07 04:15:30.253, 94 %, 94 %, 17680 MiB, 24564 MiB, 377.44 W
2026/04/07 04:15:31.253, 94 %, 95 %, 17680 MiB, 24564 MiB, 377.46 W
2026/04/07 04:15:32.253, 94 %, 95 %, 17680 MiB, 24564 MiB, 377.01 W
2026/04/07 04:15:33.254, 94 %, 94 %, 17680 MiB, 24564 MiB, 374.66 W
2026/04/07 04:15:34.254, 94 %, 94 %, 17680 MiB, 24564 MiB, 373.68 W
2026/04/07 04:15:35.254, 94 %, 94 %, 17680 MiB, 24564 MiB, 376.76 W
2026/04/07 04:15:36.255, 94 %, 94 %, 17680 MiB, 24564 MiB, 377.17 W
2026/04/07 04:15:37.255, 94 %, 94 %, 17680 MiB, 24564 MiB, 377.32 W
2026/04/07 04:15:38.255, 94 %, 94 %, 17680 MiB, 24564 MiB, 377.40 W
2026/04/07 04:15:39.256, 94 %, 94 %, 17680 MiB, 24564 MiB, 374.70 W
2026/04/07 04:15:40.256, 94 %, 94 %, 17680 MiB, 24564 MiB, 377.91 W
2026/04/07 04:15:41.256, 94 %, 94 %, 17680 MiB, 24564 MiB, 378.23 W
2026/04/07 04:15:42.257, 94 %, 94 %, 17680 MiB, 24564 MiB, 378.17 W
2026/04/07 04:15:43.257, 94 %, 94 %, 17680 MiB, 24564 MiB, 378.28 W
2026/04/07 04:15:44.257, 94 %, 94 %, 17680 MiB, 24564 MiB, 378.24 W
2026/04/07 04:15:45.258, 94 %, 94 %, 17680 MiB, 24564 MiB, 376.14 W
2026/04/07 04:15:46.258, 94 %, 94 %, 17680 MiB, 24564 MiB, 378.55 W
2026/04/07 04:15:47.258, 94 %, 94 %, 17680 MiB, 24564 MiB, 378.79 W
2026/04/07 04:15:48.259, 94 %, 94 %, 17680 MiB, 24564 MiB, 379.05 W
2026/04/07 04:15:49.259, 94 %, 94 %, 17680 MiB, 24564 MiB, 363.96 W
2026/04/07 04:15:50.263, 94 %, 94 %, 17680 MiB, 24564 MiB, 343.71 W
2026/04/07 04:15:51.264, 94 %, 95 %, 17680 MiB, 24564 MiB, 376.76 W
2026/04/07 04:15:52.264, 94 %, 94 %, 17680 MiB, 24564 MiB, 376.62 W
2026/04/07 04:15:53.264, 94 %, 95 %, 17680 MiB, 24564 MiB, 377.24 W
2026/04/07 04:15:54.265, 90 %, 90 %, 17680 MiB, 24564 MiB, 374.33 W
2026/04/07 04:15:55.265, 94 %, 94 %, 17680 MiB, 24564 MiB, 376.90 W
