timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/04/23 00:20:28.075, 0 %, 0 %, 21980 MiB, 24564 MiB, 5.21 W
2026/04/23 00:20:29.076, 0 %, 0 %, 21980 MiB, 24564 MiB, 5.16 W
2026/04/23 00:20:30.076, 0 %, 0 %, 21980 MiB, 24564 MiB, 4.95 W
2026/04/23 00:20:31.077, 0 %, 0 %, 21980 MiB, 24564 MiB, 4.87 W
2026/04/23 00:20:32.077, 0 %, 0 %, 21980 MiB, 24564 MiB, 4.86 W
2026/04/23 00:20:33.077, 0 %, 0 %, 21980 MiB, 24564 MiB, 5.01 W
2026/04/23 00:20:34.078, 0 %, 0 %, 21980 MiB, 24564 MiB, 5.35 W
2026/04/23 00:20:35.078, 0 %, 0 %, 21980 MiB, 24564 MiB, 5.44 W
2026/04/23 00:20:36.078, 0 %, 0 %, 21980 MiB, 24564 MiB, 5.22 W
2026/04/23 00:20:37.079, 0 %, 0 %, 21980 MiB, 24564 MiB, 5.22 W
2026/04/23 00:20:38.079, 0 %, 0 %, 21980 MiB, 24564 MiB, 5.18 W
2026/04/23 00:20:39.079, 0 %, 0 %, 21980 MiB, 24564 MiB, 5.38 W
2026/04/23 00:20:40.080, 0 %, 0 %, 21980 MiB, 24564 MiB, 5.43 W
2026/04/23 00:20:41.080, 76 %, 35 %, 22000 MiB, 24564 MiB, 68.41 W
2026/04/23 00:20:42.080, 95 %, 99 %, 22000 MiB, 24564 MiB, 346.98 W
2026/04/23 00:20:43.081, 95 %, 98 %, 22000 MiB, 24564 MiB, 343.38 W
2026/04/23 00:20:44.081, 95 %, 99 %, 22000 MiB, 24564 MiB, 344.34 W
2026/04/23 00:20:45.081, 95 %, 99 %, 22000 MiB, 24564 MiB, 344.84 W
2026/04/23 00:20:46.082, 95 %, 99 %, 22000 MiB, 24564 MiB, 346.45 W
2026/04/23 00:20:47.082, 95 %, 99 %, 22000 MiB, 24564 MiB, 344.39 W
2026/04/23 00:20:48.083, 95 %, 99 %, 22000 MiB, 24564 MiB, 346.57 W
2026/04/23 00:20:49.083, 95 %, 98 %, 22000 MiB, 24564 MiB, 347.11 W
2026/04/23 00:20:50.085, 95 %, 98 %, 22000 MiB, 24564 MiB, 348.01 W
2026/04/23 00:20:51.086, 95 %, 98 %, 22000 MiB, 24564 MiB, 348.05 W
2026/04/23 00:20:52.086, 95 %, 98 %, 22000 MiB, 24564 MiB, 348.36 W
2026/04/23 00:20:53.086, 95 %, 99 %, 22000 MiB, 24564 MiB, 345.63 W
2026/04/23 00:20:54.087, 95 %, 98 %, 22000 MiB, 24564 MiB, 346.20 W
2026/04/23 00:20:55.087, 95 %, 98 %, 22000 MiB, 24564 MiB, 349.67 W
2026/04/23 00:20:56.087, 95 %, 98 %, 22000 MiB, 24564 MiB, 350.35 W
