timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/04/22 23:47:57.082, 0 %, 0 %, 19844 MiB, 24564 MiB, 5.65 W
2026/04/22 23:47:58.083, 0 %, 0 %, 19844 MiB, 24564 MiB, 5.76 W
2026/04/22 23:47:59.083, 0 %, 0 %, 19844 MiB, 24564 MiB, 5.79 W
2026/04/22 23:48:00.083, 0 %, 0 %, 19844 MiB, 24564 MiB, 5.63 W
2026/04/22 23:48:01.084, 0 %, 0 %, 19844 MiB, 24564 MiB, 5.57 W
2026/04/22 23:48:02.084, 0 %, 0 %, 19844 MiB, 24564 MiB, 5.68 W
2026/04/22 23:48:03.085, 0 %, 0 %, 19844 MiB, 24564 MiB, 5.90 W
2026/04/22 23:48:04.085, 0 %, 0 %, 19844 MiB, 24564 MiB, 5.82 W
2026/04/22 23:48:05.085, 0 %, 0 %, 19844 MiB, 24564 MiB, 5.65 W
2026/04/22 23:48:06.086, 0 %, 0 %, 19844 MiB, 24564 MiB, 5.68 W
2026/04/22 23:48:07.086, 0 %, 0 %, 19844 MiB, 24564 MiB, 5.82 W
2026/04/22 23:48:08.086, 0 %, 0 %, 19844 MiB, 24564 MiB, 5.75 W
2026/04/22 23:48:09.087, 0 %, 0 %, 19844 MiB, 24564 MiB, 5.56 W
2026/04/22 23:48:10.087, 0 %, 0 %, 19844 MiB, 24564 MiB, 5.56 W
2026/04/22 23:48:11.087, 93 %, 95 %, 19864 MiB, 24564 MiB, 151.65 W
2026/04/22 23:48:12.088, 95 %, 96 %, 19864 MiB, 24564 MiB, 330.17 W
2026/04/22 23:48:13.091, 94 %, 96 %, 19864 MiB, 24564 MiB, 333.88 W
2026/04/22 23:48:14.091, 94 %, 96 %, 19864 MiB, 24564 MiB, 334.18 W
2026/04/22 23:48:15.092, 94 %, 96 %, 19864 MiB, 24564 MiB, 334.71 W
2026/04/22 23:48:16.092, 94 %, 96 %, 19864 MiB, 24564 MiB, 337.64 W
2026/04/22 23:48:17.092, 95 %, 97 %, 19864 MiB, 24564 MiB, 334.87 W
2026/04/22 23:48:18.093, 94 %, 96 %, 19864 MiB, 24564 MiB, 335.08 W
2026/04/22 23:48:19.093, 94 %, 96 %, 19864 MiB, 24564 MiB, 337.93 W
2026/04/22 23:48:20.093, 94 %, 96 %, 19864 MiB, 24564 MiB, 338.32 W
2026/04/22 23:48:21.094, 95 %, 97 %, 19864 MiB, 24564 MiB, 338.34 W
2026/04/22 23:48:22.094, 95 %, 97 %, 19864 MiB, 24564 MiB, 339.10 W
2026/04/22 23:48:23.094, 95 %, 97 %, 19864 MiB, 24564 MiB, 340.14 W
2026/04/22 23:48:24.095, 94 %, 96 %, 19864 MiB, 24564 MiB, 337.94 W
2026/04/22 23:48:25.095, 94 %, 96 %, 19864 MiB, 24564 MiB, 340.68 W
2026/04/22 23:48:26.095, 94 %, 96 %, 19864 MiB, 24564 MiB, 340.88 W
2026/04/22 23:48:27.096, 94 %, 96 %, 19864 MiB, 24564 MiB, 340.62 W
2026/04/22 23:48:28.098, 94 %, 96 %, 19864 MiB, 24564 MiB, 341.36 W
2026/04/22 23:48:29.099, 95 %, 97 %, 19864 MiB, 24564 MiB, 341.74 W
2026/04/22 23:48:30.099, 94 %, 96 %, 19864 MiB, 24564 MiB, 339.58 W
2026/04/22 23:48:31.099, 0 %, 0 %, 19864 MiB, 24564 MiB, 94.09 W
2026/04/22 23:48:32.100, 94 %, 96 %, 19864 MiB, 24564 MiB, 248.13 W
2026/04/22 23:48:33.100, 90 %, 92 %, 19864 MiB, 24564 MiB, 333.20 W
2026/04/22 23:48:34.100, 95 %, 97 %, 19864 MiB, 24564 MiB, 341.15 W
2026/04/22 23:48:35.101, 94 %, 96 %, 19864 MiB, 24564 MiB, 342.08 W
2026/04/22 23:48:36.101, 94 %, 96 %, 19864 MiB, 24564 MiB, 343.02 W
2026/04/22 23:48:37.101, 94 %, 96 %, 19864 MiB, 24564 MiB, 343.29 W
2026/04/22 23:48:38.102, 94 %, 96 %, 19864 MiB, 24564 MiB, 343.85 W
