timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/04/22 22:38:50.774, 0 %, 0 %, 22478 MiB, 24564 MiB, 4.78 W
2026/04/22 22:38:51.775, 0 %, 0 %, 22478 MiB, 24564 MiB, 4.72 W
2026/04/22 22:38:52.775, 0 %, 0 %, 22478 MiB, 24564 MiB, 4.66 W
2026/04/22 22:38:53.776, 0 %, 0 %, 22478 MiB, 24564 MiB, 4.79 W
2026/04/22 22:38:54.776, 0 %, 0 %, 22478 MiB, 24564 MiB, 4.69 W
2026/04/22 22:38:55.776, 0 %, 0 %, 22478 MiB, 24564 MiB, 4.77 W
2026/04/22 22:38:56.777, 0 %, 0 %, 22478 MiB, 24564 MiB, 4.91 W
2026/04/22 22:38:57.777, 0 %, 0 %, 22478 MiB, 24564 MiB, 4.81 W
2026/04/22 22:38:58.777, 0 %, 0 %, 22478 MiB, 24564 MiB, 4.99 W
2026/04/22 22:38:59.778, 0 %, 0 %, 22478 MiB, 24564 MiB, 5.21 W
2026/04/22 22:39:00.778, 0 %, 0 %, 22478 MiB, 24564 MiB, 5.32 W
2026/04/22 22:39:01.778, 0 %, 0 %, 22478 MiB, 24564 MiB, 5.32 W
2026/04/22 22:39:02.779, 0 %, 0 %, 22478 MiB, 24564 MiB, 5.39 W
2026/04/22 22:39:03.779, 0 %, 0 %, 22478 MiB, 24564 MiB, 5.52 W
2026/04/22 22:39:04.779, 0 %, 0 %, 22478 MiB, 24564 MiB, 5.60 W
2026/04/22 22:39:05.780, 0 %, 0 %, 22478 MiB, 24564 MiB, 5.57 W
2026/04/22 22:39:06.780, 0 %, 0 %, 22478 MiB, 24564 MiB, 5.46 W
2026/04/22 22:39:07.781, 0 %, 0 %, 22478 MiB, 24564 MiB, 5.28 W
2026/04/22 22:39:08.781, 0 %, 0 %, 22478 MiB, 24564 MiB, 5.38 W
2026/04/22 22:39:09.781, 0 %, 0 %, 22478 MiB, 24564 MiB, 5.43 W
2026/04/22 22:39:10.782, 0 %, 0 %, 22478 MiB, 24564 MiB, 5.27 W
2026/04/22 22:39:11.782, 0 %, 0 %, 22478 MiB, 24564 MiB, 5.17 W
2026/04/22 22:39:12.782, 0 %, 0 %, 22478 MiB, 24564 MiB, 5.13 W
2026/04/22 22:39:13.783, 0 %, 0 %, 22478 MiB, 24564 MiB, 5.17 W
2026/04/22 22:39:14.783, 0 %, 0 %, 22496 MiB, 24564 MiB, 27.44 W
2026/04/22 22:39:15.785, 96 %, 42 %, 22496 MiB, 24564 MiB, 394.60 W
2026/04/22 22:39:16.785, 95 %, 42 %, 22500 MiB, 24564 MiB, 430.39 W
2026/04/22 22:39:17.795, 95 %, 41 %, 22510 MiB, 24564 MiB, 427.99 W
2026/04/22 22:39:18.796, 95 %, 40 %, 22520 MiB, 24564 MiB, 410.29 W
2026/04/22 22:39:19.796, 97 %, 40 %, 22528 MiB, 24564 MiB, 430.04 W
2026/04/22 22:39:20.796, 95 %, 39 %, 22538 MiB, 24564 MiB, 429.08 W
2026/04/22 22:39:21.797, 97 %, 39 %, 22546 MiB, 24564 MiB, 415.36 W
2026/04/22 22:39:22.797, 94 %, 38 %, 22556 MiB, 24564 MiB, 427.29 W
2026/04/22 22:39:23.797, 94 %, 37 %, 22564 MiB, 24564 MiB, 424.35 W
2026/04/22 22:39:24.798, 100 %, 41 %, 22572 MiB, 24564 MiB, 430.11 W
2026/04/22 22:39:25.798, 100 %, 41 %, 22580 MiB, 24564 MiB, 412.63 W
2026/04/22 22:39:26.798, 94 %, 35 %, 22588 MiB, 24564 MiB, 423.61 W
2026/04/22 22:39:27.799, 94 %, 35 %, 22596 MiB, 24564 MiB, 430.37 W
2026/04/22 22:39:28.799, 93 %, 34 %, 22604 MiB, 24564 MiB, 430.22 W
2026/04/22 22:39:29.800, 100 %, 39 %, 22612 MiB, 24564 MiB, 416.70 W
2026/04/22 22:39:30.812, 93 %, 34 %, 22620 MiB, 24564 MiB, 419.45 W
2026/04/22 22:39:31.813, 93 %, 33 %, 22628 MiB, 24564 MiB, 425.14 W
2026/04/22 22:39:32.813, 93 %, 33 %, 22636 MiB, 24564 MiB, 427.27 W
2026/04/22 22:39:33.813, 93 %, 33 %, 22642 MiB, 24564 MiB, 413.84 W
2026/04/22 22:39:34.814, 93 %, 32 %, 22650 MiB, 24564 MiB, 424.08 W
2026/04/22 22:39:35.814, 100 %, 36 %, 22658 MiB, 24564 MiB, 424.46 W
2026/04/22 22:39:36.814, 96 %, 33 %, 22664 MiB, 24564 MiB, 420.19 W
2026/04/22 22:39:37.815, 93 %, 32 %, 22670 MiB, 24564 MiB, 422.20 W
2026/04/22 22:39:38.815, 92 %, 31 %, 22678 MiB, 24564 MiB, 420.95 W
2026/04/22 22:39:39.815, 99 %, 34 %, 22684 MiB, 24564 MiB, 416.19 W
2026/04/22 22:39:40.816, 92 %, 30 %, 22692 MiB, 24564 MiB, 423.32 W
2026/04/22 22:39:41.816, 92 %, 30 %, 22698 MiB, 24564 MiB, 423.43 W
2026/04/22 22:39:42.816, 99 %, 33 %, 22704 MiB, 24564 MiB, 401.52 W
2026/04/22 22:39:43.817, 92 %, 30 %, 22710 MiB, 24564 MiB, 409.47 W
2026/04/22 22:39:44.817, 92 %, 29 %, 22718 MiB, 24564 MiB, 429.86 W
2026/04/22 22:39:45.817, 92 %, 29 %, 22724 MiB, 24564 MiB, 428.56 W
2026/04/22 22:39:46.818, 92 %, 29 %, 22730 MiB, 24564 MiB, 417.56 W
2026/04/22 22:39:47.818, 86 %, 25 %, 22736 MiB, 24564 MiB, 416.87 W
2026/04/22 22:39:48.818, 100 %, 35 %, 22742 MiB, 24564 MiB, 394.17 W
2026/04/22 22:39:49.819, 94 %, 32 %, 22748 MiB, 24564 MiB, 411.60 W
2026/04/22 22:39:50.819, 93 %, 28 %, 22754 MiB, 24564 MiB, 416.80 W
2026/04/22 22:39:51.819, 97 %, 33 %, 22760 MiB, 24564 MiB, 424.09 W
2026/04/22 22:39:52.820, 100 %, 34 %, 22766 MiB, 24564 MiB, 424.32 W
2026/04/22 22:39:53.820, 96 %, 29 %, 22772 MiB, 24564 MiB, 411.58 W
2026/04/22 22:39:54.820, 91 %, 27 %, 22778 MiB, 24564 MiB, 424.80 W
2026/04/22 22:39:55.821, 100 %, 34 %, 22784 MiB, 24564 MiB, 423.47 W
2026/04/22 22:39:56.821, 100 %, 33 %, 22790 MiB, 24564 MiB, 409.68 W
2026/04/22 22:39:57.822, 91 %, 27 %, 22796 MiB, 24564 MiB, 414.28 W
2026/04/22 22:39:58.822, 100 %, 33 %, 22802 MiB, 24564 MiB, 410.52 W
2026/04/22 22:39:59.822, 100 %, 33 %, 22806 MiB, 24564 MiB, 423.47 W
2026/04/22 22:40:00.822, 92 %, 27 %, 22812 MiB, 24564 MiB, 414.38 W
2026/04/22 22:40:01.823, 100 %, 33 %, 22818 MiB, 24564 MiB, 413.25 W
2026/04/22 22:40:02.823, 90 %, 26 %, 22824 MiB, 24564 MiB, 422.58 W
2026/04/22 22:40:03.839, 100 %, 33 %, 22828 MiB, 24564 MiB, 421.16 W
2026/04/22 22:40:04.839, 90 %, 25 %, 22834 MiB, 24564 MiB, 412.92 W
2026/04/22 22:40:05.840, 90 %, 25 %, 22840 MiB, 24564 MiB, 414.41 W
2026/04/22 22:40:06.840, 90 %, 25 %, 22844 MiB, 24564 MiB, 418.06 W
2026/04/22 22:40:07.840, 90 %, 25 %, 22850 MiB, 24564 MiB, 420.29 W
2026/04/22 22:40:08.840, 90 %, 25 %, 22856 MiB, 24564 MiB, 417.81 W
2026/04/22 22:40:09.841, 100 %, 32 %, 22860 MiB, 24564 MiB, 418.87 W
2026/04/22 22:40:10.841, 100 %, 32 %, 22866 MiB, 24564 MiB, 402.87 W
2026/04/22 22:40:11.841, 100 %, 33 %, 22870 MiB, 24564 MiB, 416.62 W
2026/04/22 22:40:12.841, 90 %, 25 %, 22876 MiB, 24564 MiB, 418.81 W
2026/04/22 22:40:13.842, 97 %, 31 %, 22882 MiB, 24564 MiB, 434.11 W
2026/04/22 22:40:14.842, 93 %, 27 %, 22886 MiB, 24564 MiB, 408.95 W
2026/04/22 22:40:15.842, 91 %, 28 %, 22892 MiB, 24564 MiB, 425.59 W
2026/04/22 22:40:16.855, 85 %, 23 %, 22896 MiB, 24564 MiB, 403.35 W
2026/04/22 22:40:17.855, 100 %, 32 %, 22902 MiB, 24564 MiB, 435.47 W
2026/04/22 22:40:18.855, 89 %, 24 %, 22906 MiB, 24564 MiB, 415.10 W
2026/04/22 22:40:19.856, 100 %, 31 %, 22912 MiB, 24564 MiB, 432.11 W
2026/04/22 22:40:20.856, 77 %, 21 %, 22916 MiB, 24564 MiB, 408.61 W
2026/04/22 22:40:21.856, 100 %, 31 %, 22920 MiB, 24564 MiB, 421.73 W
2026/04/22 22:40:22.857, 90 %, 25 %, 22926 MiB, 24564 MiB, 414.87 W
