timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/04/22 23:08:59.896, 0 %, 0 %, 20828 MiB, 24564 MiB, 5.99 W
2026/04/22 23:09:00.896, 0 %, 0 %, 20828 MiB, 24564 MiB, 6.12 W
2026/04/22 23:09:01.897, 0 %, 0 %, 20828 MiB, 24564 MiB, 5.97 W
2026/04/22 23:09:02.897, 0 %, 0 %, 20828 MiB, 24564 MiB, 5.74 W
2026/04/22 23:09:03.897, 0 %, 0 %, 20828 MiB, 24564 MiB, 5.82 W
2026/04/22 23:09:04.898, 0 %, 0 %, 20828 MiB, 24564 MiB, 6.02 W
2026/04/22 23:09:05.898, 0 %, 0 %, 20828 MiB, 24564 MiB, 5.92 W
2026/04/22 23:09:06.898, 0 %, 0 %, 20828 MiB, 24564 MiB, 5.69 W
2026/04/22 23:09:07.899, 0 %, 0 %, 20828 MiB, 24564 MiB, 5.88 W
2026/04/22 23:09:08.899, 0 %, 0 %, 20828 MiB, 24564 MiB, 5.89 W
2026/04/22 23:09:09.900, 0 %, 0 %, 20828 MiB, 24564 MiB, 5.84 W
2026/04/22 23:09:10.901, 0 %, 0 %, 20828 MiB, 24564 MiB, 5.84 W
2026/04/22 23:09:11.902, 95 %, 99 %, 20848 MiB, 24564 MiB, 170.46 W
2026/04/22 23:09:12.902, 95 %, 99 %, 20848 MiB, 24564 MiB, 340.30 W
2026/04/22 23:09:13.902, 95 %, 99 %, 20848 MiB, 24564 MiB, 341.40 W
2026/04/22 23:09:14.903, 95 %, 99 %, 20848 MiB, 24564 MiB, 342.04 W
2026/04/22 23:09:15.903, 95 %, 98 %, 20848 MiB, 24564 MiB, 342.65 W
2026/04/22 23:09:16.903, 91 %, 93 %, 20848 MiB, 24564 MiB, 342.33 W
2026/04/22 23:09:17.904, 95 %, 99 %, 20848 MiB, 24564 MiB, 345.27 W
2026/04/22 23:09:18.904, 95 %, 99 %, 20848 MiB, 24564 MiB, 345.27 W
2026/04/22 23:09:19.904, 95 %, 99 %, 20848 MiB, 24564 MiB, 345.34 W
2026/04/22 23:09:20.905, 95 %, 99 %, 20848 MiB, 24564 MiB, 346.33 W
2026/04/22 23:09:21.905, 95 %, 98 %, 20848 MiB, 24564 MiB, 346.25 W
2026/04/22 23:09:22.905, 95 %, 98 %, 20848 MiB, 24564 MiB, 346.58 W
2026/04/22 23:09:23.906, 95 %, 99 %, 20848 MiB, 24564 MiB, 344.71 W
2026/04/22 23:09:24.906, 95 %, 98 %, 20848 MiB, 24564 MiB, 347.42 W
2026/04/22 23:09:25.906, 95 %, 99 %, 20848 MiB, 24564 MiB, 349.35 W
2026/04/22 23:09:26.906, 95 %, 99 %, 20848 MiB, 24564 MiB, 351.85 W
2026/04/22 23:09:27.907, 95 %, 98 %, 20848 MiB, 24564 MiB, 352.07 W
2026/04/22 23:09:28.907, 95 %, 98 %, 20848 MiB, 24564 MiB, 352.79 W
2026/04/22 23:09:29.907, 95 %, 98 %, 20848 MiB, 24564 MiB, 353.69 W
2026/04/22 23:09:30.908, 95 %, 99 %, 20848 MiB, 24564 MiB, 352.17 W
2026/04/22 23:09:31.908, 95 %, 99 %, 20848 MiB, 24564 MiB, 355.04 W
2026/04/22 23:09:32.908, 95 %, 98 %, 20848 MiB, 24564 MiB, 355.35 W
2026/04/22 23:09:33.909, 95 %, 98 %, 20848 MiB, 24564 MiB, 355.69 W
2026/04/22 23:09:34.909, 95 %, 98 %, 20848 MiB, 24564 MiB, 356.10 W
2026/04/22 23:09:35.909, 0 %, 0 %, 20848 MiB, 24564 MiB, 289.82 W
2026/04/22 23:09:36.910, 0 %, 0 %, 20848 MiB, 24564 MiB, 106.37 W
2026/04/22 23:09:37.910, 95 %, 99 %, 20848 MiB, 24564 MiB, 254.86 W
2026/04/22 23:09:38.910, 95 %, 99 %, 20848 MiB, 24564 MiB, 355.24 W
2026/04/22 23:09:39.911, 95 %, 99 %, 20848 MiB, 24564 MiB, 355.89 W
2026/04/22 23:09:40.911, 95 %, 99 %, 20848 MiB, 24564 MiB, 356.48 W
2026/04/22 23:09:41.911, 95 %, 99 %, 20848 MiB, 24564 MiB, 356.45 W
2026/04/22 23:09:42.912, 93 %, 97 %, 20848 MiB, 24564 MiB, 354.39 W
2026/04/22 23:09:43.912, 95 %, 98 %, 20848 MiB, 24564 MiB, 357.32 W
2026/04/22 23:09:44.912, 95 %, 98 %, 20848 MiB, 24564 MiB, 358.12 W
2026/04/22 23:09:45.913, 95 %, 99 %, 20848 MiB, 24564 MiB, 358.43 W
2026/04/22 23:09:46.913, 95 %, 99 %, 20848 MiB, 24564 MiB, 358.58 W
2026/04/22 23:09:47.913, 95 %, 99 %, 20848 MiB, 24564 MiB, 359.05 W
2026/04/22 23:09:48.914, 95 %, 98 %, 20848 MiB, 24564 MiB, 359.16 W
2026/04/22 23:09:49.914, 95 %, 99 %, 20848 MiB, 24564 MiB, 357.40 W
2026/04/22 23:09:50.914, 95 %, 99 %, 20848 MiB, 24564 MiB, 360.77 W
2026/04/22 23:09:51.915, 95 %, 98 %, 20848 MiB, 24564 MiB, 361.36 W
2026/04/22 23:09:52.915, 95 %, 98 %, 20848 MiB, 24564 MiB, 361.23 W
2026/04/22 23:09:53.915, 95 %, 98 %, 20848 MiB, 24564 MiB, 361.47 W
2026/04/22 23:09:54.916, 95 %, 98 %, 20848 MiB, 24564 MiB, 362.22 W
2026/04/22 23:09:55.916, 95 %, 99 %, 20848 MiB, 24564 MiB, 360.33 W
2026/04/22 23:09:56.916, 95 %, 98 %, 20848 MiB, 24564 MiB, 363.08 W
2026/04/22 23:09:57.917, 95 %, 98 %, 20848 MiB, 24564 MiB, 363.29 W
2026/04/22 23:09:58.917, 95 %, 98 %, 20848 MiB, 24564 MiB, 363.43 W
2026/04/22 23:09:59.917, 95 %, 98 %, 20848 MiB, 24564 MiB, 363.56 W
2026/04/22 23:10:00.918, 0 %, 0 %, 20848 MiB, 24564 MiB, 263.84 W
2026/04/22 23:10:01.918, 0 %, 0 %, 20848 MiB, 24564 MiB, 104.21 W
2026/04/22 23:10:02.918, 95 %, 98 %, 20848 MiB, 24564 MiB, 240.54 W
2026/04/22 23:10:03.919, 95 %, 99 %, 20848 MiB, 24564 MiB, 355.54 W
2026/04/22 23:10:04.919, 95 %, 99 %, 20848 MiB, 24564 MiB, 358.46 W
2026/04/22 23:10:05.919, 95 %, 98 %, 20848 MiB, 24564 MiB, 358.65 W
