timestamp, memory.used [MiB], utilization.gpu [%], power.draw [W]
2026/05/04 00:23:45.940, 3 MiB, 0 %, 5.02 W
2026/05/04 00:23:46.945, 3 MiB, 17 %, 32.69 W
2026/05/04 00:23:47.945, 3 MiB, 0 %, 53.89 W
2026/05/04 00:23:48.946, 16422 MiB, 0 %, 29.36 W
2026/05/04 00:23:49.946, 16422 MiB, 82 %, 60.30 W
2026/05/04 00:23:50.946, 16422 MiB, 78 %, 66.88 W
2026/05/04 00:23:51.947, 18176 MiB, 49 %, 66.81 W
2026/05/04 00:23:52.947, 20416 MiB, 60 %, 113.11 W
2026/05/04 00:23:53.947, 20424 MiB, 72 %, 244.32 W
2026/05/04 00:23:54.947, 3 MiB, 0 %, 133.44 W
2026/05/04 00:23:55.948, 3 MiB, 0 %, 66.23 W
2026/05/04 00:23:56.948, 16422 MiB, 1 %, 48.59 W
2026/05/04 00:23:57.948, 16422 MiB, 82 %, 61.32 W
2026/05/04 00:23:58.949, 16422 MiB, 70 %, 66.89 W
2026/05/04 00:23:59.949, 18176 MiB, 50 %, 66.82 W
2026/05/04 00:24:00.949, 20198 MiB, 61 %, 149.18 W
2026/05/04 00:24:01.950, 438 MiB, 85 %, 217.96 W
2026/05/04 00:24:02.950, 16422 MiB, 77 %, 68.79 W
2026/05/04 00:24:03.950, 16422 MiB, 77 %, 67.11 W
2026/05/04 00:24:04.951, 16422 MiB, 77 %, 66.94 W
2026/05/04 00:24:05.951, 18770 MiB, 79 %, 99.47 W
2026/05/04 00:24:06.951, 20200 MiB, 83 %, 212.96 W
2026/05/04 00:24:07.952, 438 MiB, 100 %, 199.44 W
2026/05/04 00:24:08.952, 16422 MiB, 75 %, 67.93 W
2026/05/04 00:24:09.952, 16422 MiB, 75 %, 67.16 W
2026/05/04 00:24:10.952, 16422 MiB, 77 %, 67.33 W
2026/05/04 00:24:11.953, 20128 MiB, 70 %, 114.98 W
2026/05/04 00:24:12.953, 20198 MiB, 78 %, 206.37 W
2026/05/04 00:24:13.953, 438 MiB, 100 %, 217.53 W
2026/05/04 00:24:14.954, 16422 MiB, 77 %, 71.62 W
