ts,memory_used_mib,memory_free_mib,utilization_gpu_pct,power_w,temperature_c,error
1786934595.9999616,22686.0,1531.0,0.0,170.0,41.0,
1786934597.0193622,22686.0,1531.0,73.0,260.14,53.0,
1786934598.038371,22686.0,1531.0,81.0,271.8,51.0,
1786934599.0561147,22686.0,1531.0,76.0,317.44,50.0,
1786934600.0755687,22686.0,1531.0,42.0,271.35,48.0,
1786934601.1238537,22686.0,1531.0,74.0,288.89,46.0,
1786934602.142353,22686.0,1531.0,75.0,295.55,52.0,
1786934603.1602402,22686.0,1531.0,81.0,327.15,50.0,
1786934604.1789253,22686.0,1531.0,75.0,318.53,54.0,
1786934605.199163,22686.0,1531.0,85.0,323.4,54.0,
