ts,memory_used_mib,memory_free_mib,utilization_gpu_pct,power_w,temperature_c,error
1786935746.3162706,3.0,24213.0,3.0,80.7,64.0,
1786935747.3365724,394.0,23823.0,0.0,79.63,64.0,
1786935748.352965,394.0,23823.0,0.0,67.72,62.0,
1786935749.374009,16796.0,7421.0,96.0,66.82,63.0,
1786935750.3956277,16796.0,7421.0,95.0,81.53,63.0,
1786935751.4204304,19868.0,4349.0,1.0,79.81,62.0,
1786935752.4465437,20566.0,3651.0,0.0,91.26,62.0,
1786935753.4705238,20600.0,3617.0,75.0,184.43,73.0,
1786935754.493307,20600.0,3617.0,81.0,310.18,74.0,
1786935755.5156765,20600.0,3617.0,85.0,353.59,73.0,
1786935756.5344863,20600.0,3617.0,84.0,354.95,72.0,
1786935757.593107,20600.0,3617.0,63.0,306.06,73.0,
1786935758.6116812,20600.0,3617.0,85.0,347.46,73.0,
1786935759.6304536,20600.0,3617.0,83.0,350.92,73.0,
1786935760.6680725,20600.0,3617.0,87.0,349.02,71.0,
