ts,memory_used_mib,memory_free_mib,utilization_gpu_pct,power_w,temperature_c,error
1786935777.9161415,3.0,24213.0,1.0,65.84,58.0,
1786935778.9354105,394.0,23823.0,0.0,71.1,58.0,
1786935779.9556162,394.0,23823.0,0.0,62.74,57.0,
1786935780.97588,16796.0,7421.0,96.0,64.36,58.0,
1786935781.9953744,16796.0,7421.0,96.0,74.49,58.0,
1786935783.0151615,19868.0,4349.0,2.0,73.2,62.0,
1786935784.0374074,20566.0,3651.0,0.0,86.25,58.0,
1786935785.0585363,20588.0,3629.0,100.0,206.66,73.0,
1786935786.0831025,20596.0,3621.0,100.0,427.82,67.0,
1786935787.1034744,20600.0,3617.0,74.0,372.67,72.0,
1786935788.1231663,20600.0,3617.0,91.0,353.11,70.0,
1786935789.1625645,20600.0,3617.0,100.0,399.01,76.0,
1786935790.2049618,20600.0,3617.0,94.0,438.35,68.0,
1786935791.2249992,20600.0,3617.0,76.0,343.55,71.0,
1786935792.2448764,20600.0,3617.0,82.0,338.56,73.0,
1786935793.2647643,20600.0,3617.0,72.0,333.73,73.0,
1786935794.2853494,20600.0,3617.0,91.0,363.87,73.0,
1786935795.3057656,20600.0,3617.0,88.0,348.19,68.0,
1786935796.3625424,20600.0,3617.0,54.0,317.2,73.0,
