ts,memory_used_mib,memory_free_mib,utilization_gpu_pct,power_w,temperature_c,error
1786935129.7954292,3.0,24213.0,89.0,121.74,66.0,
1786935130.8162744,394.0,23823.0,0.0,81.14,65.0,
1786935131.8368196,394.0,23823.0,0.0,75.99,64.0,
1786935132.8575003,16796.0,7421.0,96.0,67.13,64.0,
1786935133.8800461,16796.0,7421.0,96.0,83.62,64.0,
1786935134.9016798,18108.0,6109.0,0.0,81.04,68.0,
1786935135.9257593,18546.0,5671.0,0.0,91.98,63.0,
1786935136.954195,18572.0,5645.0,59.0,143.57,70.0,
1786935138.007396,18572.0,5645.0,80.0,329.89,73.0,
1786935139.0343032,18572.0,5645.0,78.0,339.02,72.0,
1786935140.057929,18572.0,5645.0,79.0,327.37,73.0,
1786935141.0803554,18572.0,5645.0,78.0,341.55,71.0,
1786935142.1026773,18576.0,5641.0,37.0,275.44,70.0,
1786935143.126303,18576.0,5641.0,77.0,334.92,74.0,
1786935144.1523118,18576.0,5641.0,85.0,350.29,74.0,
1786935145.174501,18576.0,5641.0,86.0,350.26,74.0,
1786935146.1976407,18576.0,5641.0,84.0,341.64,74.0,
1786935147.2207055,18576.0,5641.0,81.0,350.32,74.0,
1786935148.2444808,18576.0,5641.0,81.0,334.27,74.0,
1786935149.2714412,18576.0,5641.0,77.0,341.28,75.0,
1786935150.2944863,18576.0,5641.0,84.0,344.21,75.0,
1786935151.3189166,18576.0,5641.0,75.0,342.07,76.0,
1786935152.3426535,18576.0,5641.0,79.0,349.97,74.0,
1786935153.3670845,18576.0,5641.0,79.0,352.94,75.0,
1786935154.3867984,18576.0,5641.0,81.0,351.38,74.0,
1786935155.406651,18576.0,5641.0,87.0,360.67,74.0,
1786935156.4264734,18576.0,5641.0,77.0,351.81,74.0,
1786935157.4465792,18576.0,5641.0,81.0,349.86,75.0,
1786935158.466379,18576.0,5641.0,80.0,357.84,76.0,
1786935159.4867513,18576.0,5641.0,74.0,345.53,75.0,
1786935160.5064816,18580.0,5637.0,49.0,294.73,75.0,
1786935161.5267723,18580.0,5637.0,77.0,336.51,75.0,
1786935162.544636,18580.0,5637.0,84.0,352.45,75.0,
1786935163.5646508,18580.0,5637.0,80.0,339.71,74.0,
1786935164.5843034,18580.0,5637.0,84.0,361.26,75.0,
1786935165.6040351,18580.0,5637.0,80.0,348.76,77.0,
1786935166.6304646,18580.0,5637.0,87.0,367.94,75.0,
1786935167.6509092,18580.0,5637.0,76.0,340.62,78.0,
1786935168.6713293,18580.0,5637.0,85.0,364.81,75.0,
1786935169.6913884,18580.0,5637.0,85.0,382.23,77.0,
1786935170.7503812,18580.0,5637.0,88.0,401.21,77.0,
1786935171.7710185,18580.0,5637.0,85.0,363.58,77.0,
1786935172.7910795,18580.0,5637.0,90.0,388.01,75.0,
1786935173.811053,18580.0,5637.0,77.0,377.85,75.0,
1786935174.8310304,18580.0,5637.0,79.0,348.87,74.0,
1786935175.8506622,18580.0,5637.0,84.0,382.64,78.0,
1786935176.8709648,18580.0,5637.0,82.0,379.38,76.0,
1786935177.8918166,18580.0,5637.0,85.0,396.09,79.0,
1786935178.9115613,18580.0,5637.0,85.0,389.1,78.0,
1786935179.931331,18580.0,5637.0,80.0,385.68,73.0,
1786935180.951434,18580.0,5637.0,81.0,384.85,79.0,
1786935181.9721544,18580.0,5637.0,78.0,383.7,78.0,
1786935182.9923794,18580.0,5637.0,88.0,394.89,80.0,
1786935184.013306,18580.0,5637.0,88.0,415.91,77.0,
1786935185.0380914,18580.0,5637.0,80.0,368.3,79.0,
1786935186.0593317,18580.0,5637.0,83.0,369.23,75.0,
1786935187.081367,18580.0,5637.0,17.0,232.24,69.0,
1786935188.1012607,18580.0,5637.0,80.0,335.58,76.0,
1786935189.121395,18580.0,5637.0,79.0,356.22,76.0,
1786935190.1406763,18580.0,5637.0,81.0,351.08,73.0,
1786935191.161087,18580.0,5637.0,81.0,277.2,76.0,
1786935192.1814249,18580.0,5637.0,86.0,358.91,75.0,
1786935193.2014277,18580.0,5637.0,78.0,350.03,76.0,
1786935194.2216122,18580.0,5637.0,86.0,343.45,76.0,
1786935195.2436223,18580.0,5637.0,77.0,351.48,72.0,
1786935196.2638326,18580.0,5637.0,75.0,283.84,75.0,
1786935197.2850146,18580.0,5637.0,81.0,345.83,75.0,
1786935198.3046246,18580.0,5637.0,91.0,343.1,74.0,
1786935199.3256934,18580.0,5637.0,82.0,343.85,75.0,
1786935200.3533273,18580.0,5637.0,83.0,348.74,76.0,
1786935201.3738153,18580.0,5637.0,85.0,356.36,75.0,
1786935202.3954248,18580.0,5637.0,88.0,351.01,75.0,
1786935203.417291,18580.0,5637.0,82.0,344.3,75.0,
1786935204.4372513,18580.0,5637.0,78.0,345.07,75.0,
1786935205.4573894,18580.0,5637.0,88.0,364.99,76.0,
1786935206.4772632,18580.0,5637.0,81.0,354.68,74.0,
1786935207.4979212,18580.0,5637.0,85.0,346.78,76.0,
1786935208.5198767,18580.0,5637.0,81.0,352.09,76.0,
1786935209.5410416,18580.0,5637.0,86.0,352.92,76.0,
1786935210.5624547,18580.0,5637.0,87.0,355.62,74.0,
