ts,memory_used_mib,memory_free_mib,utilization_gpu_pct,power_w,temperature_c,error
1786934702.852288,3.0,24213.0,0.0,64.29,43.0,
1786934703.8732107,394.0,23823.0,0.0,66.02,43.0,
1786934704.8936133,16524.0,7693.0,0.0,59.46,42.0,
1786934705.9154975,16524.0,7693.0,96.0,65.93,43.0,
1786934706.9363327,16524.0,7693.0,86.0,67.55,43.0,
1786934707.9626362,17684.0,6533.0,0.0,79.52,43.0,
1786934708.9844358,17692.0,6525.0,16.0,69.19,45.0,
1786934710.0063434,17698.0,6519.0,96.0,281.95,53.0,
1786934711.0279093,17698.0,6519.0,97.0,345.23,55.0,
1786934712.0496857,17698.0,6519.0,97.0,347.38,56.0,
1786934713.0724542,17698.0,6519.0,97.0,348.45,56.0,
1786934714.0930912,17698.0,6519.0,97.0,343.44,57.0,
1786934715.1347625,17698.0,6519.0,35.0,314.21,50.0,
1786934716.1611533,17700.0,6517.0,97.0,278.28,57.0,
1786934717.1826246,17700.0,6517.0,97.0,346.47,58.0,
1786934718.2049308,17700.0,6517.0,97.0,346.79,58.0,
1786934719.2265534,17700.0,6517.0,97.0,346.44,57.0,
1786934720.24895,17700.0,6517.0,97.0,343.02,59.0,
1786934721.2707317,17700.0,6517.0,97.0,347.56,59.0,
1786934722.2960603,17700.0,6517.0,97.0,348.46,59.0,
1786934723.3186553,17700.0,6517.0,97.0,348.73,60.0,
1786934724.3412359,17700.0,6517.0,97.0,349.01,60.0,
1786934725.3623323,17700.0,6517.0,97.0,346.52,60.0,
1786934726.3851266,17700.0,6517.0,97.0,349.61,61.0,
1786934727.4058363,17700.0,6517.0,97.0,351.21,61.0,
1786934728.4294598,17700.0,6517.0,97.0,354.72,62.0,
1786934729.451357,17700.0,6517.0,97.0,355.25,62.0,
1786934730.477513,17700.0,6517.0,97.0,354.89,62.0,
1786934731.5013096,17700.0,6517.0,97.0,353.61,63.0,
1786934732.523139,17700.0,6517.0,97.0,356.97,63.0,
1786934733.5456896,17700.0,6517.0,97.0,357.66,63.0,
1786934734.569358,17700.0,6517.0,97.0,357.38,64.0,
1786934735.5951283,17700.0,6517.0,97.0,358.36,64.0,
1786934736.6178381,17700.0,6517.0,93.0,357.17,64.0,
1786934737.6650043,17700.0,6517.0,97.0,360.06,64.0,
1786934738.6913111,17702.0,6515.0,82.0,280.35,63.0,
1786934739.7150426,17702.0,6515.0,97.0,354.8,64.0,
1786934740.7377708,17702.0,6515.0,97.0,358.53,65.0,
1786934741.7615035,17702.0,6515.0,97.0,359.19,65.0,
1786934742.7863393,17702.0,6515.0,97.0,355.23,65.0,
1786934743.8140266,17702.0,6515.0,97.0,360.32,65.0,
1786934744.8379128,17702.0,6515.0,97.0,360.76,66.0,
1786934745.8614795,17702.0,6515.0,97.0,361.24,66.0,
1786934746.888846,17702.0,6515.0,97.0,361.24,66.0,
1786934747.912554,17702.0,6515.0,97.0,361.57,66.0,
1786934748.9347022,17702.0,6515.0,97.0,359.64,67.0,
1786934749.9575987,17702.0,6515.0,97.0,362.65,67.0,
1786934750.9829912,17702.0,6515.0,97.0,362.95,67.0,
1786934752.0066326,17702.0,6515.0,97.0,363.36,67.0,
1786934753.0313878,17702.0,6515.0,97.0,363.6,67.0,
1786934754.050273,17702.0,6515.0,93.0,361.6,68.0,
1786934755.0700064,17702.0,6515.0,97.0,364.57,68.0,
1786934756.0899737,17702.0,6515.0,97.0,365.31,68.0,
1786934757.1101265,17702.0,6515.0,97.0,365.38,68.0,
1786934758.130077,17702.0,6515.0,97.0,365.92,68.0,
1786934759.1501844,17702.0,6515.0,97.0,366.24,69.0,
1786934760.166366,17702.0,6515.0,97.0,364.28,69.0,
1786934761.1863883,17702.0,6515.0,97.0,366.98,69.0,
1786934762.206225,17702.0,6515.0,97.0,367.42,69.0,
1786934763.2263288,17702.0,6515.0,97.0,367.78,69.0,
1786934764.2467148,17702.0,6515.0,97.0,368.2,70.0,
1786934765.2666547,17702.0,6515.0,97.0,368.73,69.0,
1786934766.2867615,17702.0,6515.0,97.0,366.17,70.0,
1786934767.3068554,17702.0,6515.0,97.0,369.2,70.0,
1786934768.3267994,17702.0,6515.0,97.0,369.72,70.0,
1786934769.3466914,17702.0,6515.0,97.0,369.78,70.0,
1786934770.3666637,17702.0,6515.0,96.0,369.61,70.0,
1786934771.386918,17702.0,6515.0,97.0,367.36,70.0,
1786934772.4068682,17702.0,6515.0,97.0,370.29,71.0,
1786934773.4269576,17702.0,6515.0,97.0,370.62,71.0,
1786934774.4469573,17702.0,6515.0,97.0,371.13,71.0,
1786934775.4671378,17702.0,6515.0,97.0,370.93,71.0,
1786934776.4871452,17702.0,6515.0,97.0,367.53,71.0,
1786934777.5075068,17702.0,6515.0,97.0,364.89,71.0,
1786934778.5277164,17702.0,6515.0,97.0,367.5,71.0,
1786934779.5475695,17702.0,6515.0,97.0,367.48,71.0,
1786934780.5675402,17702.0,6515.0,96.0,367.36,71.0,
1786934781.587643,17702.0,6515.0,97.0,367.95,72.0,
1786934782.607562,17702.0,6515.0,93.0,366.32,72.0,
1786934783.6275823,17702.0,6515.0,97.0,368.61,72.0,
1786934784.6478891,17702.0,6515.0,32.0,289.9,69.0,
1786934785.6685684,17702.0,6515.0,43.0,279.23,70.0,
1786934786.6858804,17702.0,6515.0,96.0,365.05,71.0,
1786934787.707177,17702.0,6515.0,97.0,365.81,72.0,
1786934788.7277992,17702.0,6515.0,97.0,366.05,72.0,
1786934789.7891786,17702.0,6515.0,46.0,283.04,70.0,
1786934790.8092306,17702.0,6515.0,97.0,357.69,71.0,
1786934791.82979,17702.0,6515.0,97.0,366.63,72.0,
1786934792.852363,17702.0,6515.0,97.0,367.09,72.0,
1786934793.8770313,17702.0,6515.0,93.0,365.59,69.0,
1786934794.897551,17702.0,6515.0,97.0,363.52,72.0,
1786934795.9469037,17702.0,6515.0,76.0,290.54,71.0,
1786934796.9685519,17702.0,6515.0,97.0,363.17,72.0,
1786934797.990373,17702.0,6515.0,97.0,367.23,72.0,
1786934799.0150802,17702.0,6515.0,97.0,367.3,72.0,
1786934800.0363784,17702.0,6515.0,91.0,363.56,72.0,
1786934801.0575678,17702.0,6515.0,97.0,367.88,73.0,
1786934802.0797276,17702.0,6515.0,97.0,368.49,73.0,
1786934803.100266,17702.0,6515.0,97.0,368.57,73.0,
1786934804.120796,17702.0,6515.0,97.0,369.24,73.0,
1786934805.1421368,17702.0,6515.0,97.0,369.48,73.0,
1786934806.1641796,17702.0,6515.0,97.0,366.82,73.0,
1786934807.1865516,17702.0,6515.0,97.0,369.25,73.0,
1786934808.212658,17702.0,6515.0,97.0,369.38,73.0,
1786934809.2332401,17702.0,6515.0,97.0,369.33,73.0,
1786934810.253944,17702.0,6515.0,97.0,369.69,73.0,
1786934811.276546,17702.0,6515.0,93.0,367.11,73.0,
1786934812.2971783,17702.0,6515.0,97.0,370.18,74.0,
1786934813.3177426,17702.0,6515.0,97.0,370.43,73.0,
1786934814.3403323,17702.0,6515.0,97.0,370.52,74.0,
1786934815.361259,17702.0,6515.0,97.0,370.94,74.0,
1786934816.3827815,17702.0,6515.0,97.0,371.09,74.0,
1786934817.405719,17702.0,6515.0,97.0,368.71,74.0,
1786934818.4303539,17702.0,6515.0,97.0,371.99,74.0,
1786934819.4524443,17702.0,6515.0,90.0,290.8,73.0,
1786934820.474299,17702.0,6515.0,97.0,369.83,74.0,
1786934821.497113,17702.0,6515.0,97.0,370.47,74.0,
1786934822.5187283,17702.0,6515.0,97.0,370.81,74.0,
1786934823.5422535,17702.0,6515.0,97.0,366.75,74.0,
1786934824.5688353,17702.0,6515.0,97.0,371.14,74.0,
1786934825.5904295,17702.0,6515.0,97.0,371.25,74.0,
1786934826.6126907,17702.0,6515.0,97.0,371.7,74.0,
1786934827.6347795,17702.0,6515.0,97.0,371.48,74.0,
1786934828.6573734,17702.0,6515.0,97.0,370.46,74.0,
1786934829.6794848,17702.0,6515.0,97.0,370.23,75.0,
1786934830.698555,17702.0,6515.0,97.0,372.18,74.0,
1786934831.7260382,17702.0,6515.0,97.0,372.01,75.0,
1786934832.749509,17702.0,6515.0,97.0,372.34,75.0,
1786934833.7734702,17702.0,6515.0,97.0,372.44,75.0,
1786934834.7976985,17702.0,6515.0,97.0,369.82,75.0,
1786934835.8256383,17702.0,6515.0,97.0,373.14,75.0,
1786934836.849639,17702.0,6515.0,97.0,373.48,75.0,
