ts,memory_used_mib,memory_free_mib,utilization_gpu_pct,power_w,temperature_c,error
1786935819.8642101,3.0,24213.0,5.0,63.3,55.0,
1786935820.8836484,394.0,23823.0,0.0,69.19,55.0,
1786935821.9037774,394.0,23823.0,0.0,60.92,55.0,
1786935822.9236581,16796.0,7421.0,97.0,60.84,55.0,
1786935823.9435563,16796.0,7421.0,96.0,71.21,55.0,
1786935824.9638848,20406.0,3811.0,18.0,77.89,57.0,
1786935825.987331,20566.0,3651.0,0.0,84.3,55.0,
1786935827.0105457,20590.0,3627.0,38.0,160.17,62.0,
1786935828.0317345,20596.0,3621.0,46.0,281.32,64.0,
1786935829.0517926,20596.0,3621.0,86.0,288.01,66.0,
